Fecha,País destino,Femenino,Masculino,Total
2012-07,Macao,0,1,1
2013-09,Macao,3,0,3
2014-01,Macao,1,0,1
2014-05,Macao,0,1,1
2014-11,Macao,0,1,1
2015-01,Macao,1,0,1
2015-02,Macao,1,0,1
2015-03,Macao,1,1,2
2015-05,Macao,2,1,3
2015-06,Macao,0,1,1
2016-01,Macao,1,0,1
2016-04,Macao,1,1,2
2016-07,Macao,1,0,1
2016-08,Macao,1,0,1
2017-06,Macao,1,0,1
2017-12,Macao,0,1,1
2018-01,Macao,1,0,1
2018-02,Macao,0,1,1
2018-03,Macao,1,2,3
2018-09,Macao,0,1,1
2018-12,Macao,1,0,1
2019-02,Macao,1,1,2
2019-03,Macao,0,1,1
2019-04,Macao,0,1,1
2019-06,Macao,0,1,1
2019-08,Macao,1,0,1
2019-09,Macao,2,0,2
2019-10,Macao,1,2,3
2019-11,Macao,0,1,1
2019-12,Macao,1,0,1
2020-10,Macao,0,1,1
2021-01,Macao,0,1,1
2021-04,Macao,1,0,1
2021-06,Macao,0,1,1
2021-10,Macao,1,0,1
2021-11,Macao,0,1,1
2022-05,Macao,1,1,2
2022-06,Macao,0,1,1
2022-08,Macao,0,1,1
2022-09,Macao,1,0,1
2022-10,Macao,3,2,5
2022-11,Macao,3,2,5
2022-12,Macao,18,4,22
2023-01,Macao,12,8,20
2023-02,Macao,0,3,3
2023-03,Macao,6,2,8
2023-04,Macao,3,4,7
2023-05,Macao,6,6,12
2023-06,Macao,3,1,4
2023-07,Macao,7,2,9
2023-08,Macao,5,4,9
2023-09,Macao,1,1,2
2023-10,Macao,2,1,3
2023-11,Macao,8,1,9
2023-12,Macao,4,7,11
2024-02,Macao,6,5,11
2024-03,Macao,2,8,10
2024-04,Macao,0,1,1
2024-05,Macao,2,2,4
2024-06,Macao,1,1,2
2024-07,Macao,1,0,1
2024-08,Macao,3,1,4
2024-10,Macao,0,1,1
2024-12,Macao,1,0,1
2025-01,Macao,0,1,1
2025-04,Macao,2,1,3
2025-05,Macao,1,0,1
2025-06,Macao,0,2,2
2025-07,Macao,0,1,1
2025-12,Macao,1,1,2
