Fecha,País destino,Femenino,Masculino,Total
2013-03,Macedonia Del Norte,0,2,2
2013-09,Macedonia Del Norte,0,1,1
2013-10,Macedonia Del Norte,1,0,1
2013-11,Macedonia Del Norte,0,1,1
2013-12,Macedonia Del Norte,1,0,1
2015-03,Macedonia Del Norte,1,0,1
2015-12,Macedonia Del Norte,0,1,1
2016-02,Macedonia Del Norte,1,0,1
2017-12,Macedonia Del Norte,1,0,1
2018-03,Macedonia Del Norte,1,0,1
2018-06,Macedonia Del Norte,1,0,1
2019-02,Macedonia Del Norte,1,0,1
2019-06,Macedonia Del Norte,1,1,2
2019-11,Macedonia Del Norte,0,1,1
2020-03,Macedonia Del Norte,1,1,2
2021-01,Macedonia Del Norte,1,0,1
2021-05,Macedonia Del Norte,1,0,1
2021-07,Macedonia Del Norte,2,1,3
2022-03,Macedonia Del Norte,1,1,2
2022-05,Macedonia Del Norte,2,2,4
2022-06,Macedonia Del Norte,0,1,1
2022-07,Macedonia Del Norte,0,1,1
2022-09,Macedonia Del Norte,0,2,2
2022-10,Macedonia Del Norte,3,2,5
2023-02,Macedonia Del Norte,1,0,1
2023-04,Macedonia Del Norte,0,1,1
2023-06,Macedonia Del Norte,1,0,1
2023-09,Macedonia Del Norte,1,1,2
2024-01,Macedonia Del Norte,2,0,2
2024-02,Macedonia Del Norte,1,0,1
2024-05,Macedonia Del Norte,2,0,2
2024-07,Macedonia Del Norte,0,1,1
2024-09,Macedonia Del Norte,1,0,1
2024-12,Macedonia Del Norte,1,0,1
2025-01,Macedonia Del Norte,2,1,3
2025-02,Macedonia Del Norte,0,1,1
2025-03,Macedonia Del Norte,0,1,1
2025-04,Macedonia Del Norte,2,1,3
2025-05,Macedonia Del Norte,2,0,2
2025-07,Macedonia Del Norte,0,2,2
2025-09,Macedonia Del Norte,1,0,1
2025-10,Macedonia Del Norte,1,0,1
2025-12,Macedonia Del Norte,1,0,1
