Fecha,País destino,Femenino,Masculino,Total
2012-01,Malasia,6,17,23
2012-02,Malasia,5,14,19
2012-03,Malasia,1,14,15
2012-04,Malasia,4,4,8
2012-05,Malasia,5,8,13
2012-06,Malasia,4,9,13
2012-07,Malasia,1,3,4
2012-08,Malasia,5,10,15
2012-09,Malasia,5,8,13
2012-10,Malasia,9,3,12
2012-11,Malasia,8,6,14
2012-12,Malasia,7,7,14
2013-01,Malasia,9,12,21
2013-02,Malasia,8,13,21
2013-03,Malasia,7,15,22
2013-04,Malasia,9,16,25
2013-05,Malasia,10,9,19
2013-06,Malasia,11,20,31
2013-07,Malasia,15,12,27
2013-08,Malasia,11,14,25
2013-09,Malasia,7,6,13
2013-10,Malasia,5,10,15
2013-11,Malasia,4,21,25
2013-12,Malasia,10,7,17
2014-01,Malasia,25,30,55
2014-02,Malasia,9,16,25
2014-03,Malasia,11,16,27
2014-04,Malasia,9,5,14
2014-05,Malasia,1,8,9
2014-06,Malasia,11,5,16
2014-07,Malasia,10,13,23
2014-08,Malasia,15,24,39
2014-09,Malasia,11,17,28
2014-10,Malasia,11,9,20
2014-11,Malasia,7,5,12
2014-12,Malasia,8,8,16
2015-01,Malasia,18,26,44
2015-02,Malasia,9,14,23
2015-03,Malasia,1,12,13
2015-04,Malasia,1,9,10
2015-05,Malasia,10,20,30
2015-06,Malasia,5,5,10
2015-07,Malasia,15,15,30
2015-08,Malasia,12,17,29
2015-09,Malasia,46,79,125
2015-10,Malasia,9,20,29
2015-11,Malasia,7,14,21
2015-12,Malasia,7,7,14
2016-01,Malasia,13,21,34
2016-02,Malasia,4,13,17
2016-03,Malasia,3,5,8
2016-04,Malasia,7,6,13
2016-05,Malasia,7,11,18
2016-06,Malasia,3,5,8
2016-07,Malasia,4,7,11
2016-08,Malasia,11,6,17
2016-09,Malasia,2,6,8
2016-10,Malasia,13,25,38
2016-11,Malasia,5,5,10
2016-12,Malasia,5,3,8
2017-01,Malasia,12,15,27
2017-02,Malasia,5,12,17
2017-03,Malasia,2,3,5
2017-04,Malasia,1,2,3
2017-05,Malasia,5,5,10
2017-06,Malasia,0,1,1
2017-07,Malasia,5,5,10
2017-08,Malasia,1,2,3
2017-09,Malasia,2,1,3
2017-11,Malasia,6,19,25
2017-12,Malasia,4,2,6
2018-01,Malasia,3,3,6
2018-02,Malasia,13,10,23
2018-03,Malasia,1,4,5
2018-04,Malasia,4,2,6
2018-05,Malasia,5,3,8
2018-06,Malasia,4,2,6
2018-07,Malasia,6,3,9
2018-08,Malasia,5,2,7
2018-09,Malasia,2,3,5
2018-10,Malasia,7,16,23
2018-11,Malasia,1,2,3
2018-12,Malasia,5,2,7
2019-01,Malasia,9,12,21
2019-02,Malasia,4,5,9
2019-03,Malasia,3,3,6
2019-04,Malasia,3,7,10
2019-05,Malasia,3,3,6
2019-06,Malasia,3,5,8
2019-07,Malasia,5,5,10
2019-08,Malasia,8,10,18
2019-09,Malasia,0,17,17
2019-10,Malasia,4,4,8
2019-11,Malasia,16,32,48
2019-12,Malasia,2,2,4
2020-01,Malasia,5,8,13
2020-02,Malasia,7,2,9
2020-03,Malasia,0,1,1
2020-11,Malasia,1,0,1
2020-12,Malasia,1,2,3
2021-01,Malasia,5,3,8
2021-02,Malasia,2,2,4
2021-05,Malasia,3,3,6
2021-06,Malasia,1,0,1
2021-07,Malasia,2,2,4
2021-08,Malasia,0,1,1
2021-10,Malasia,3,0,3
2021-11,Malasia,1,0,1
2021-12,Malasia,1,2,3
2022-01,Malasia,8,8,16
2022-02,Malasia,2,2,4
2022-03,Malasia,2,0,2
2022-04,Malasia,2,2,4
2022-05,Malasia,2,3,5
2022-06,Malasia,1,3,4
2022-07,Malasia,4,3,7
2022-08,Malasia,8,8,16
2022-09,Malasia,5,9,14
2022-10,Malasia,4,3,7
2022-11,Malasia,8,14,22
2022-12,Malasia,3,5,8
2023-01,Malasia,7,11,18
2023-02,Malasia,4,6,10
2023-03,Malasia,3,4,7
2023-04,Malasia,2,3,5
2023-05,Malasia,10,13,23
2023-06,Malasia,6,7,13
2023-07,Malasia,4,5,9
2023-08,Malasia,5,1,6
2023-09,Malasia,37,56,93
2023-10,Malasia,1,18,19
2023-11,Malasia,2,6,8
2023-12,Malasia,2,5,7
2024-01,Malasia,6,3,9
2024-02,Malasia,1,4,5
2024-03,Malasia,1,1,2
2024-04,Malasia,3,6,9
2024-05,Malasia,1,1,2
2024-06,Malasia,2,1,3
2024-07,Malasia,19,29,48
2024-08,Malasia,6,5,11
2024-09,Malasia,9,26,35
2024-10,Malasia,0,2,2
2024-11,Malasia,2,5,7
2024-12,Malasia,6,5,11
2025-01,Malasia,6,9,15
2025-02,Malasia,2,1,3
2025-03,Malasia,1,0,1
2025-04,Malasia,1,0,1
2025-05,Malasia,1,2,3
2025-06,Malasia,4,5,9
2025-07,Malasia,11,9,20
2025-08,Malasia,3,2,5
2025-09,Malasia,7,10,17
2025-10,Malasia,3,3,6
2025-11,Malasia,3,5,8
2025-12,Malasia,1,1,2
