Fecha,País destino,Femenino,Masculino,Total
2012-10,Malawi,0,1,1
2013-02,Malawi,1,0,1
2013-06,Malawi,0,1,1
2013-07,Malawi,0,1,1
2014-06,Malawi,0,1,1
2014-08,Malawi,2,2,4
2014-09,Malawi,0,1,1
2015-02,Malawi,1,1,2
2015-05,Malawi,0,1,1
2015-06,Malawi,1,0,1
2015-07,Malawi,0,1,1
2016-01,Malawi,0,1,1
2016-02,Malawi,1,0,1
2016-04,Malawi,0,1,1
2016-11,Malawi,0,1,1
2017-01,Malawi,1,1,2
2017-06,Malawi,0,1,1
2017-08,Malawi,0,1,1
2018-02,Malawi,1,0,1
2018-08,Malawi,2,2,4
2018-10,Malawi,1,0,1
2019-01,Malawi,1,1,2
2019-09,Malawi,0,1,1
2020-02,Malawi,0,1,1
2020-03,Malawi,0,1,1
2021-02,Malawi,0,1,1
2021-04,Malawi,1,0,1
2021-05,Malawi,1,0,1
2021-06,Malawi,1,0,1
2022-03,Malawi,2,0,2
2022-06,Malawi,0,1,1
2022-11,Malawi,0,1,1
2023-11,Malawi,0,1,1
2024-09,Malawi,1,0,1
2025-08,Malawi,2,0,2
