Fecha,País destino,Femenino,Masculino,Total
2012-01,Malta,8,5,13
2012-02,Malta,7,1,8
2012-03,Malta,3,5,8
2012-04,Malta,0,4,4
2012-05,Malta,4,1,5
2012-06,Malta,3,5,8
2012-07,Malta,6,3,9
2012-08,Malta,7,3,10
2012-09,Malta,6,4,10
2012-10,Malta,1,1,2
2012-11,Malta,4,2,6
2012-12,Malta,2,1,3
2013-01,Malta,8,4,12
2013-02,Malta,4,4,8
2013-03,Malta,10,1,11
2013-04,Malta,4,1,5
2013-05,Malta,9,2,11
2013-06,Malta,3,6,9
2013-07,Malta,3,1,4
2013-08,Malta,7,6,13
2013-09,Malta,5,4,9
2013-10,Malta,4,1,5
2013-11,Malta,4,1,5
2013-12,Malta,2,1,3
2014-01,Malta,11,10,21
2014-02,Malta,3,1,4
2014-03,Malta,7,4,11
2014-04,Malta,4,5,9
2014-05,Malta,7,6,13
2014-06,Malta,5,6,11
2014-07,Malta,8,3,11
2014-08,Malta,10,7,17
2014-09,Malta,12,0,12
2014-10,Malta,2,5,7
2014-11,Malta,3,2,5
2014-12,Malta,6,6,12
2015-01,Malta,15,11,26
2015-02,Malta,10,10,20
2015-03,Malta,11,9,20
2015-04,Malta,6,7,13
2015-05,Malta,8,7,15
2015-06,Malta,20,6,26
2015-07,Malta,16,10,26
2015-08,Malta,12,8,20
2015-09,Malta,19,12,31
2015-10,Malta,3,6,9
2015-11,Malta,6,4,10
2015-12,Malta,7,7,14
2016-01,Malta,24,13,37
2016-02,Malta,23,10,33
2016-03,Malta,23,12,35
2016-04,Malta,13,11,24
2016-05,Malta,12,8,20
2016-06,Malta,20,18,38
2016-07,Malta,17,12,29
2016-08,Malta,12,11,23
2016-09,Malta,22,9,31
2016-10,Malta,10,6,16
2016-11,Malta,9,13,22
2016-12,Malta,16,8,24
2017-01,Malta,41,26,67
2017-02,Malta,23,12,35
2017-03,Malta,35,14,49
2017-04,Malta,20,15,35
2017-05,Malta,23,21,44
2017-06,Malta,27,23,50
2017-07,Malta,25,14,39
2017-08,Malta,13,11,24
2017-09,Malta,23,15,38
2017-10,Malta,0,1,1
2017-11,Malta,12,7,19
2017-12,Malta,13,13,26
2018-01,Malta,32,20,52
2018-02,Malta,34,18,52
2018-03,Malta,25,9,34
2018-04,Malta,23,11,34
2018-05,Malta,23,18,41
2018-06,Malta,34,27,61
2018-07,Malta,25,14,39
2018-08,Malta,24,19,43
2018-09,Malta,31,31,62
2018-10,Malta,27,19,46
2018-11,Malta,29,18,47
2018-12,Malta,19,14,33
2019-01,Malta,65,32,97
2019-02,Malta,53,41,94
2019-03,Malta,41,29,70
2019-04,Malta,52,31,83
2019-05,Malta,33,27,60
2019-06,Malta,36,29,65
2019-07,Malta,34,30,64
2019-08,Malta,38,24,62
2019-09,Malta,41,31,72
2019-10,Malta,36,28,64
2019-11,Malta,26,18,44
2019-12,Malta,35,17,52
2020-01,Malta,57,35,92
2020-02,Malta,36,53,89
2020-03,Malta,19,15,34
2020-08,Malta,0,1,1
2020-09,Malta,1,0,1
2020-10,Malta,2,1,3
2020-11,Malta,9,8,17
2020-12,Malta,6,11,17
2021-01,Malta,23,31,54
2021-02,Malta,31,26,57
2021-03,Malta,24,23,47
2021-04,Malta,25,18,43
2021-05,Malta,41,33,74
2021-06,Malta,30,26,56
2021-07,Malta,35,25,60
2021-08,Malta,26,18,44
2021-09,Malta,25,26,51
2021-10,Malta,25,13,38
2021-11,Malta,50,55,105
2021-12,Malta,79,66,145
2022-01,Malta,120,87,207
2022-02,Malta,173,152,325
2022-03,Malta,158,165,323
2022-04,Malta,146,114,260
2022-05,Malta,184,161,345
2022-06,Malta,179,144,323
2022-07,Malta,178,150,328
2022-08,Malta,96,104,200
2022-09,Malta,148,126,274
2022-10,Malta,157,130,287
2022-11,Malta,118,110,228
2022-12,Malta,113,88,201
2023-01,Malta,205,163,368
2023-02,Malta,188,165,353
2023-03,Malta,205,178,383
2023-04,Malta,168,151,319
2023-05,Malta,165,160,325
2023-06,Malta,107,79,186
2023-07,Malta,77,67,144
2023-08,Malta,54,50,104
2023-09,Malta,64,39,103
2023-10,Malta,70,59,129
2023-11,Malta,59,50,109
2023-12,Malta,67,38,105
2024-01,Malta,78,69,147
2024-02,Malta,97,75,172
2024-03,Malta,112,103,215
2024-04,Malta,116,90,206
2024-05,Malta,93,85,178
2024-06,Malta,76,87,163
2024-07,Malta,57,57,114
2024-08,Malta,60,44,104
2024-09,Malta,76,52,128
2024-10,Malta,60,38,98
2024-11,Malta,61,39,100
2024-12,Malta,74,47,121
2025-01,Malta,81,45,126
2025-02,Malta,47,45,92
2025-03,Malta,96,56,152
2025-04,Malta,72,61,133
2025-05,Malta,76,76,152
2025-06,Malta,83,50,133
2025-07,Malta,60,46,106
2025-08,Malta,52,53,105
2025-09,Malta,81,55,136
2025-10,Malta,84,68,152
2025-11,Malta,38,23,61
2025-12,Malta,69,42,111
