Fecha,País destino,Femenino,Masculino,Total
2012-01,Malí,0,1,1
2012-06,Malí,0,1,1
2012-09,Malí,1,0,1
2012-10,Malí,1,0,1
2013-02,Malí,2,1,3
2013-06,Malí,1,2,3
2013-07,Malí,1,7,8
2013-09,Malí,3,1,4
2014-01,Malí,0,3,3
2014-03,Malí,0,1,1
2014-04,Malí,0,2,2
2014-07,Malí,1,0,1
2014-08,Malí,3,0,3
2014-09,Malí,1,0,1
2014-11,Malí,1,1,2
2014-12,Malí,0,1,1
2015-01,Malí,1,2,3
2015-02,Malí,1,1,2
2015-03,Malí,1,0,1
2015-07,Malí,0,1,1
2015-08,Malí,1,1,2
2015-09,Malí,2,2,4
2015-11,Malí,0,1,1
2015-12,Malí,2,0,2
2016-01,Malí,2,1,3
2016-02,Malí,1,0,1
2016-03,Malí,4,1,5
2016-06,Malí,0,1,1
2016-08,Malí,0,2,2
2016-10,Malí,2,1,3
2017-01,Malí,0,1,1
2017-03,Malí,0,1,1
2017-05,Malí,0,1,1
2017-07,Malí,0,1,1
2017-08,Malí,0,1,1
2018-01,Malí,1,0,1
2018-02,Malí,1,0,1
2018-04,Malí,0,1,1
2018-05,Malí,1,0,1
2018-07,Malí,0,1,1
2018-09,Malí,1,0,1
2018-10,Malí,2,0,2
2018-11,Malí,0,1,1
2018-12,Malí,1,0,1
2019-05,Malí,0,1,1
2019-06,Malí,0,1,1
2019-08,Malí,2,2,4
2019-09,Malí,0,1,1
2020-01,Malí,0,1,1
2020-09,Malí,0,1,1
2020-10,Malí,1,0,1
2020-11,Malí,2,2,4
2020-12,Malí,0,1,1
2021-01,Malí,1,2,3
2021-02,Malí,1,3,4
2021-04,Malí,2,3,5
2021-05,Malí,2,0,2
2021-06,Malí,1,2,3
2021-07,Malí,2,3,5
2021-08,Malí,0,2,2
2021-09,Malí,0,2,2
2021-10,Malí,1,5,6
2021-11,Malí,0,1,1
2022-01,Malí,3,4,7
2022-02,Malí,2,1,3
2022-03,Malí,0,3,3
2022-05,Malí,0,2,2
2022-06,Malí,3,2,5
2022-07,Malí,2,3,5
2022-08,Malí,0,1,1
2022-09,Malí,0,2,2
2022-11,Malí,3,4,7
2023-01,Malí,2,1,3
2023-02,Malí,0,1,1
2023-04,Malí,1,2,3
2023-06,Malí,0,2,2
2023-08,Malí,3,0,3
2023-09,Malí,1,1,2
2024-01,Malí,0,1,1
2024-03,Malí,2,1,3
2024-05,Malí,0,1,1
2024-06,Malí,1,2,3
2024-07,Malí,0,1,1
2024-09,Malí,0,1,1
2024-11,Malí,0,1,1
2025-01,Malí,0,1,1
2025-03,Malí,0,1,1
2025-04,Malí,1,1,2
2025-05,Malí,1,1,2
2025-09,Malí,1,1,2
