Fecha,País destino,Femenino,Masculino,Total
2012-01,Marruecos,5,8,13
2012-02,Marruecos,3,2,5
2012-03,Marruecos,7,6,13
2012-04,Marruecos,5,4,9
2012-05,Marruecos,10,10,20
2012-06,Marruecos,6,3,9
2012-07,Marruecos,1,2,3
2012-08,Marruecos,2,4,6
2012-09,Marruecos,10,6,16
2012-10,Marruecos,4,10,14
2012-11,Marruecos,10,9,19
2012-12,Marruecos,7,11,18
2013-01,Marruecos,8,8,16
2013-02,Marruecos,4,2,6
2013-03,Marruecos,5,4,9
2013-04,Marruecos,10,6,16
2013-05,Marruecos,6,5,11
2013-06,Marruecos,24,13,37
2013-07,Marruecos,11,3,14
2013-08,Marruecos,9,2,11
2013-09,Marruecos,18,11,29
2013-10,Marruecos,7,9,16
2013-11,Marruecos,4,4,8
2013-12,Marruecos,10,14,24
2014-01,Marruecos,7,4,11
2014-02,Marruecos,2,1,3
2014-03,Marruecos,39,98,137
2014-04,Marruecos,9,18,27
2014-05,Marruecos,28,22,50
2014-06,Marruecos,8,5,13
2014-07,Marruecos,3,1,4
2014-08,Marruecos,9,9,18
2014-09,Marruecos,12,14,26
2014-10,Marruecos,13,9,22
2014-11,Marruecos,6,11,17
2014-12,Marruecos,11,15,26
2015-01,Marruecos,5,2,7
2015-02,Marruecos,6,2,8
2015-03,Marruecos,9,4,13
2015-04,Marruecos,26,13,39
2015-05,Marruecos,42,47,89
2015-06,Marruecos,12,3,15
2015-07,Marruecos,12,3,15
2015-08,Marruecos,2,2,4
2015-09,Marruecos,9,6,15
2015-10,Marruecos,8,3,11
2015-11,Marruecos,26,19,45
2015-12,Marruecos,15,7,22
2016-01,Marruecos,5,7,12
2016-02,Marruecos,7,2,9
2016-03,Marruecos,13,7,20
2016-04,Marruecos,11,17,28
2016-05,Marruecos,13,5,18
2016-06,Marruecos,13,11,24
2016-07,Marruecos,10,8,18
2016-08,Marruecos,11,5,16
2016-09,Marruecos,15,7,22
2016-10,Marruecos,52,24,76
2016-11,Marruecos,14,26,40
2016-12,Marruecos,13,15,28
2017-01,Marruecos,6,4,10
2017-02,Marruecos,2,3,5
2017-03,Marruecos,10,3,13
2017-04,Marruecos,23,22,45
2017-05,Marruecos,7,4,11
2017-06,Marruecos,14,7,21
2017-07,Marruecos,10,7,17
2017-08,Marruecos,6,9,15
2017-09,Marruecos,6,3,9
2017-10,Marruecos,2,1,3
2017-11,Marruecos,9,3,12
2017-12,Marruecos,18,15,33
2018-01,Marruecos,10,9,19
2018-02,Marruecos,4,14,18
2018-03,Marruecos,7,6,13
2018-04,Marruecos,18,21,39
2018-05,Marruecos,26,11,37
2018-06,Marruecos,17,15,32
2018-07,Marruecos,11,3,14
2018-08,Marruecos,11,7,18
2018-09,Marruecos,26,13,39
2018-10,Marruecos,29,16,45
2018-11,Marruecos,6,8,14
2018-12,Marruecos,38,16,54
2019-01,Marruecos,9,3,12
2019-02,Marruecos,11,2,13
2019-03,Marruecos,11,4,15
2019-04,Marruecos,21,20,41
2019-05,Marruecos,19,9,28
2019-06,Marruecos,12,11,23
2019-07,Marruecos,14,10,24
2019-08,Marruecos,14,10,24
2019-09,Marruecos,30,10,40
2019-10,Marruecos,17,13,30
2019-11,Marruecos,10,7,17
2019-12,Marruecos,19,11,30
2020-01,Marruecos,8,6,14
2020-02,Marruecos,11,2,13
2020-03,Marruecos,4,4,8
2020-12,Marruecos,0,1,1
2021-01,Marruecos,5,4,9
2021-02,Marruecos,5,0,5
2021-03,Marruecos,6,2,8
2021-06,Marruecos,3,2,5
2021-07,Marruecos,2,1,3
2021-08,Marruecos,6,4,10
2021-09,Marruecos,3,5,8
2021-10,Marruecos,2,2,4
2021-11,Marruecos,5,2,7
2022-01,Marruecos,1,1,2
2022-02,Marruecos,11,2,13
2022-03,Marruecos,26,12,38
2022-04,Marruecos,27,15,42
2022-05,Marruecos,55,37,92
2022-06,Marruecos,38,27,65
2022-07,Marruecos,25,12,37
2022-08,Marruecos,13,13,26
2022-09,Marruecos,39,30,69
2022-10,Marruecos,37,25,62
2022-11,Marruecos,53,40,93
2022-12,Marruecos,37,19,56
2023-01,Marruecos,12,4,16
2023-02,Marruecos,30,32,62
2023-03,Marruecos,50,38,88
2023-04,Marruecos,46,27,73
2023-05,Marruecos,84,40,124
2023-06,Marruecos,25,21,46
2023-07,Marruecos,13,7,20
2023-08,Marruecos,5,10,15
2023-09,Marruecos,28,15,43
2023-10,Marruecos,19,16,35
2023-11,Marruecos,15,5,20
2023-12,Marruecos,9,2,11
2024-01,Marruecos,8,4,12
2024-02,Marruecos,10,8,18
2024-03,Marruecos,13,4,17
2024-04,Marruecos,34,11,45
2024-05,Marruecos,16,16,32
2024-06,Marruecos,7,11,18
2024-07,Marruecos,30,8,38
2024-08,Marruecos,8,7,15
2024-09,Marruecos,12,14,26
2024-10,Marruecos,15,12,27
2024-11,Marruecos,7,8,15
2024-12,Marruecos,15,8,23
2025-01,Marruecos,7,3,10
2025-02,Marruecos,6,3,9
2025-03,Marruecos,9,3,12
2025-04,Marruecos,16,16,32
2025-05,Marruecos,22,17,39
2025-06,Marruecos,11,4,15
2025-07,Marruecos,7,6,13
2025-08,Marruecos,7,2,9
2025-09,Marruecos,17,16,33
2025-10,Marruecos,30,13,43
2025-11,Marruecos,3,5,8
2025-12,Marruecos,17,8,25
