Fecha,País destino,Femenino,Masculino,Total
2012-01,Martinica,0,3,3
2012-02,Martinica,0,1,1
2012-05,Martinica,0,3,3
2012-06,Martinica,3,2,5
2012-07,Martinica,0,4,4
2012-08,Martinica,0,1,1
2012-09,Martinica,0,2,2
2012-10,Martinica,2,0,2
2012-11,Martinica,0,22,22
2013-01,Martinica,1,2,3
2013-03,Martinica,1,1,2
2013-08,Martinica,0,1,1
2013-09,Martinica,1,0,1
2013-11,Martinica,1,2,3
2014-01,Martinica,1,0,1
2014-02,Martinica,1,0,1
2014-03,Martinica,1,0,1
2014-04,Martinica,1,0,1
2014-05,Martinica,1,0,1
2014-06,Martinica,0,1,1
2014-08,Martinica,2,0,2
2015-01,Martinica,2,2,4
2015-02,Martinica,1,0,1
2015-04,Martinica,0,2,2
2015-07,Martinica,1,2,3
2015-08,Martinica,4,1,5
2015-09,Martinica,1,3,4
2015-11,Martinica,0,1,1
2016-01,Martinica,1,0,1
2016-05,Martinica,1,1,2
2016-08,Martinica,2,2,4
2016-09,Martinica,1,0,1
2016-10,Martinica,3,0,3
2016-11,Martinica,1,0,1
2017-01,Martinica,1,4,5
2017-02,Martinica,3,1,4
2017-04,Martinica,0,1,1
2017-06,Martinica,0,1,1
2017-07,Martinica,1,0,1
2017-08,Martinica,2,0,2
2017-12,Martinica,4,0,4
2018-02,Martinica,0,1,1
2018-03,Martinica,1,0,1
2018-05,Martinica,1,3,4
2018-06,Martinica,1,3,4
2018-08,Martinica,2,1,3
2018-09,Martinica,0,1,1
2018-10,Martinica,0,1,1
2018-11,Martinica,2,1,3
2018-12,Martinica,1,1,2
2019-01,Martinica,2,1,3
2019-02,Martinica,0,2,2
2019-04,Martinica,2,1,3
2019-05,Martinica,0,2,2
2019-06,Martinica,2,2,4
2019-07,Martinica,1,1,2
2019-08,Martinica,2,2,4
2019-09,Martinica,1,1,2
2019-10,Martinica,0,1,1
2019-11,Martinica,0,1,1
2019-12,Martinica,1,0,1
2020-01,Martinica,1,0,1
2020-02,Martinica,0,1,1
2020-03,Martinica,2,0,2
2020-11,Martinica,0,1,1
2021-05,Martinica,0,1,1
2021-07,Martinica,2,1,3
2021-08,Martinica,1,0,1
2021-09,Martinica,1,1,2
2021-11,Martinica,1,1,2
2021-12,Martinica,1,1,2
2022-01,Martinica,1,1,2
2022-02,Martinica,1,1,2
2022-03,Martinica,2,3,5
2022-04,Martinica,3,1,4
2022-05,Martinica,1,1,2
2022-06,Martinica,1,2,3
2022-07,Martinica,1,0,1
2022-08,Martinica,2,1,3
2022-09,Martinica,3,0,3
2022-10,Martinica,2,1,3
2022-11,Martinica,2,0,2
2022-12,Martinica,2,7,9
2023-01,Martinica,1,2,3
2023-02,Martinica,1,0,1
2023-03,Martinica,3,7,10
2023-04,Martinica,1,0,1
2023-06,Martinica,1,0,1
2023-07,Martinica,2,0,2
2023-08,Martinica,4,2,6
2023-09,Martinica,1,0,1
2023-10,Martinica,0,3,3
2023-12,Martinica,2,1,3
2024-01,Martinica,1,1,2
2024-02,Martinica,0,1,1
2024-03,Martinica,2,0,2
2024-04,Martinica,2,0,2
2024-05,Martinica,0,1,1
2024-06,Martinica,0,1,1
2024-07,Martinica,0,2,2
2024-08,Martinica,0,1,1
2024-09,Martinica,2,1,3
2024-10,Martinica,1,3,4
2024-12,Martinica,1,0,1
2025-01,Martinica,1,1,2
2025-02,Martinica,2,1,3
2025-03,Martinica,1,0,1
2025-04,Martinica,0,26,26
2025-05,Martinica,2,0,2
2025-07,Martinica,1,0,1
2025-08,Martinica,4,0,4
2025-10,Martinica,1,1,2
2025-11,Martinica,0,1,1
2025-12,Martinica,2,0,2
