Fecha,País destino,Femenino,Masculino,Total
2012-10,Micronesia (Estados Federados De),1,0,1
2014-07,Micronesia (Estados Federados De),0,1,1
2015-11,Micronesia (Estados Federados De),0,1,1
2016-07,Micronesia (Estados Federados De),1,0,1
2016-09,Micronesia (Estados Federados De),1,0,1
2017-03,Micronesia (Estados Federados De),1,0,1
2018-03,Micronesia (Estados Federados De),1,0,1
2019-03,Micronesia (Estados Federados De),0,1,1
2019-05,Micronesia (Estados Federados De),1,0,1
2019-08,Micronesia (Estados Federados De),1,0,1
2020-01,Micronesia (Estados Federados De),0,1,1
2020-02,Micronesia (Estados Federados De),2,0,2
2022-04,Micronesia (Estados Federados De),0,3,3
2022-05,Micronesia (Estados Federados De),1,2,3
2022-06,Micronesia (Estados Federados De),0,1,1
2022-07,Micronesia (Estados Federados De),2,1,3
2022-08,Micronesia (Estados Federados De),2,6,8
2022-09,Micronesia (Estados Federados De),1,1,2
2022-10,Micronesia (Estados Federados De),3,1,4
2022-11,Micronesia (Estados Federados De),2,0,2
2023-01,Micronesia (Estados Federados De),0,2,2
2023-02,Micronesia (Estados Federados De),1,0,1
2023-04,Micronesia (Estados Federados De),1,0,1
2023-12,Micronesia (Estados Federados De),1,0,1
2024-09,Micronesia (Estados Federados De),0,1,1
2025-05,Micronesia (Estados Federados De),1,0,1
