Fecha,País destino,Femenino,Masculino,Total
2012-01,Nauru,0,1,1
2012-02,Nauru,1,0,1
2012-03,Nauru,2,0,2
2012-11,Nauru,1,0,1
2013-09,Nauru,1,0,1
2013-10,Nauru,1,0,1
2013-12,Nauru,1,0,1
2014-05,Nauru,0,2,2
2014-11,Nauru,1,0,1
2015-05,Nauru,0,1,1
2015-07,Nauru,0,1,1
2016-01,Nauru,1,0,1
2016-09,Nauru,1,0,1
2017-03,Nauru,0,1,1
2017-09,Nauru,0,1,1
2018-03,Nauru,0,1,1
2018-07,Nauru,1,0,1
2018-10,Nauru,1,0,1
2018-11,Nauru,1,0,1
2019-01,Nauru,0,1,1
2019-03,Nauru,2,0,2
2019-04,Nauru,0,1,1
2019-06,Nauru,4,1,5
2019-07,Nauru,1,1,2
2019-08,Nauru,0,2,2
2020-01,Nauru,1,0,1
2021-10,Nauru,0,1,1
2021-11,Nauru,1,0,1
2022-07,Nauru,1,0,1
2023-09,Nauru,0,1,1
2024-05,Nauru,1,0,1
2025-08,Nauru,1,0,1
2025-10,Nauru,1,0,1
2025-12,Nauru,1,0,1
