Fecha,País destino,Femenino,Masculino,Total
2012-01,Nigeria,5,33,38
2012-02,Nigeria,0,19,19
2012-03,Nigeria,1,10,11
2012-04,Nigeria,2,23,25
2012-05,Nigeria,0,21,21
2012-06,Nigeria,2,17,19
2012-07,Nigeria,0,25,25
2012-08,Nigeria,5,20,25
2012-09,Nigeria,3,20,23
2012-10,Nigeria,0,30,30
2012-11,Nigeria,1,15,16
2012-12,Nigeria,0,10,10
2013-01,Nigeria,4,32,36
2013-02,Nigeria,1,11,12
2013-03,Nigeria,1,15,16
2013-04,Nigeria,3,16,19
2013-05,Nigeria,2,9,11
2013-06,Nigeria,2,9,11
2013-07,Nigeria,3,11,14
2013-08,Nigeria,0,11,11
2013-09,Nigeria,1,10,11
2013-10,Nigeria,2,9,11
2013-11,Nigeria,0,5,5
2013-12,Nigeria,0,5,5
2014-01,Nigeria,3,20,23
2014-02,Nigeria,0,13,13
2014-03,Nigeria,3,9,12
2014-04,Nigeria,0,13,13
2014-05,Nigeria,2,14,16
2014-06,Nigeria,0,7,7
2014-07,Nigeria,0,10,10
2014-08,Nigeria,0,15,15
2014-09,Nigeria,0,8,8
2014-10,Nigeria,0,6,6
2014-11,Nigeria,0,12,12
2014-12,Nigeria,1,6,7
2015-01,Nigeria,3,16,19
2015-02,Nigeria,1,6,7
2015-03,Nigeria,0,16,16
2015-04,Nigeria,0,12,12
2015-05,Nigeria,6,10,16
2015-06,Nigeria,1,9,10
2015-07,Nigeria,0,9,9
2015-08,Nigeria,1,7,8
2015-09,Nigeria,3,6,9
2015-10,Nigeria,1,3,4
2015-11,Nigeria,1,7,8
2015-12,Nigeria,0,4,4
2016-01,Nigeria,1,12,13
2016-02,Nigeria,2,5,7
2016-03,Nigeria,0,7,7
2016-04,Nigeria,1,9,10
2016-05,Nigeria,2,5,7
2016-06,Nigeria,3,6,9
2016-07,Nigeria,1,7,8
2016-08,Nigeria,0,9,9
2016-09,Nigeria,3,6,9
2016-10,Nigeria,1,8,9
2016-11,Nigeria,0,5,5
2016-12,Nigeria,0,3,3
2017-01,Nigeria,4,17,21
2017-02,Nigeria,0,9,9
2017-03,Nigeria,0,7,7
2017-04,Nigeria,0,6,6
2017-05,Nigeria,1,13,14
2017-06,Nigeria,3,2,5
2017-07,Nigeria,0,7,7
2017-08,Nigeria,1,5,6
2017-09,Nigeria,1,7,8
2017-11,Nigeria,0,4,4
2017-12,Nigeria,1,2,3
2018-01,Nigeria,1,13,14
2018-02,Nigeria,1,4,5
2018-03,Nigeria,2,3,5
2018-04,Nigeria,0,9,9
2018-05,Nigeria,0,6,6
2018-06,Nigeria,0,3,3
2018-07,Nigeria,0,10,10
2018-08,Nigeria,1,2,3
2018-09,Nigeria,1,6,7
2018-10,Nigeria,0,6,6
2018-11,Nigeria,0,4,4
2018-12,Nigeria,1,4,5
2019-01,Nigeria,1,13,14
2019-02,Nigeria,2,3,5
2019-03,Nigeria,1,7,8
2019-04,Nigeria,0,7,7
2019-05,Nigeria,0,4,4
2019-06,Nigeria,0,5,5
2019-07,Nigeria,2,6,8
2019-08,Nigeria,3,7,10
2019-09,Nigeria,1,5,6
2019-10,Nigeria,0,3,3
2019-11,Nigeria,1,4,5
2019-12,Nigeria,1,4,5
2020-01,Nigeria,2,6,8
2020-02,Nigeria,1,8,9
2020-03,Nigeria,1,3,4
2020-09,Nigeria,0,1,1
2020-10,Nigeria,1,1,2
2020-12,Nigeria,1,1,2
2021-01,Nigeria,1,5,6
2021-02,Nigeria,1,3,4
2021-03,Nigeria,1,4,5
2021-04,Nigeria,1,4,5
2021-05,Nigeria,1,2,3
2021-06,Nigeria,1,2,3
2021-07,Nigeria,2,8,10
2021-08,Nigeria,0,2,2
2021-09,Nigeria,0,7,7
2021-10,Nigeria,2,4,6
2021-11,Nigeria,0,2,2
2021-12,Nigeria,1,1,2
2022-01,Nigeria,1,7,8
2022-02,Nigeria,0,6,6
2022-03,Nigeria,1,2,3
2022-04,Nigeria,3,2,5
2022-05,Nigeria,0,3,3
2022-06,Nigeria,3,4,7
2022-07,Nigeria,0,6,6
2022-08,Nigeria,0,5,5
2022-09,Nigeria,3,5,8
2022-10,Nigeria,2,1,3
2022-11,Nigeria,1,6,7
2022-12,Nigeria,1,1,2
2023-01,Nigeria,5,11,16
2023-02,Nigeria,2,2,4
2023-03,Nigeria,2,5,7
2023-04,Nigeria,0,2,2
2023-05,Nigeria,0,4,4
2023-06,Nigeria,1,4,5
2023-07,Nigeria,0,1,1
2023-08,Nigeria,8,3,11
2023-09,Nigeria,1,3,4
2023-10,Nigeria,0,1,1
2023-11,Nigeria,1,3,4
2023-12,Nigeria,1,1,2
2024-01,Nigeria,2,5,7
2024-03,Nigeria,1,1,2
2024-04,Nigeria,0,3,3
2024-05,Nigeria,0,4,4
2024-06,Nigeria,0,1,1
2024-07,Nigeria,1,8,9
2024-08,Nigeria,1,3,4
2024-09,Nigeria,0,4,4
2024-10,Nigeria,3,9,12
2024-11,Nigeria,0,4,4
2025-01,Nigeria,5,7,12
2025-02,Nigeria,1,0,1
2025-03,Nigeria,1,4,5
2025-04,Nigeria,2,1,3
2025-05,Nigeria,0,5,5
2025-06,Nigeria,0,2,2
2025-07,Nigeria,3,3,6
2025-08,Nigeria,0,2,2
2025-09,Nigeria,3,3,6
2025-10,Nigeria,0,1,1
2025-11,Nigeria,1,0,1
2025-12,Nigeria,3,0,3
