Fecha,País destino,Femenino,Masculino,Total
2012-01,Nueva Caledonia,1,0,1
2012-02,Nueva Caledonia,0,1,1
2012-03,Nueva Caledonia,0,1,1
2012-05,Nueva Caledonia,1,0,1
2012-06,Nueva Caledonia,0,1,1
2012-07,Nueva Caledonia,3,1,4
2012-09,Nueva Caledonia,1,0,1
2012-10,Nueva Caledonia,1,2,3
2013-01,Nueva Caledonia,0,2,2
2013-02,Nueva Caledonia,2,0,2
2013-03,Nueva Caledonia,0,1,1
2013-07,Nueva Caledonia,3,2,5
2013-08,Nueva Caledonia,0,1,1
2013-09,Nueva Caledonia,0,1,1
2014-01,Nueva Caledonia,0,2,2
2014-10,Nueva Caledonia,1,0,1
2014-11,Nueva Caledonia,2,1,3
2015-01,Nueva Caledonia,1,0,1
2015-02,Nueva Caledonia,0,1,1
2015-03,Nueva Caledonia,0,2,2
2015-04,Nueva Caledonia,1,0,1
2015-05,Nueva Caledonia,0,1,1
2015-07,Nueva Caledonia,0,1,1
2015-11,Nueva Caledonia,1,0,1
2016-03,Nueva Caledonia,1,0,1
2016-05,Nueva Caledonia,1,0,1
2016-11,Nueva Caledonia,0,1,1
2016-12,Nueva Caledonia,0,3,3
2017-01,Nueva Caledonia,1,0,1
2017-03,Nueva Caledonia,2,0,2
2017-04,Nueva Caledonia,0,1,1
2017-11,Nueva Caledonia,1,0,1
2018-04,Nueva Caledonia,0,1,1
2018-05,Nueva Caledonia,1,0,1
2018-06,Nueva Caledonia,0,1,1
2018-10,Nueva Caledonia,0,1,1
2019-01,Nueva Caledonia,0,2,2
2019-02,Nueva Caledonia,0,1,1
2019-07,Nueva Caledonia,0,1,1
2019-08,Nueva Caledonia,0,2,2
2019-10,Nueva Caledonia,0,1,1
2019-11,Nueva Caledonia,0,1,1
2019-12,Nueva Caledonia,1,0,1
2020-03,Nueva Caledonia,2,0,2
2020-12,Nueva Caledonia,0,2,2
2021-03,Nueva Caledonia,0,1,1
2021-08,Nueva Caledonia,2,1,3
2021-11,Nueva Caledonia,1,0,1
2022-02,Nueva Caledonia,1,0,1
2022-04,Nueva Caledonia,2,0,2
2022-07,Nueva Caledonia,1,1,2
2022-08,Nueva Caledonia,1,0,1
2022-10,Nueva Caledonia,0,2,2
2022-11,Nueva Caledonia,1,0,1
2022-12,Nueva Caledonia,1,3,4
2023-01,Nueva Caledonia,3,1,4
2023-02,Nueva Caledonia,2,1,3
2023-03,Nueva Caledonia,0,1,1
2023-05,Nueva Caledonia,4,0,4
2023-06,Nueva Caledonia,1,1,2
2023-08,Nueva Caledonia,0,1,1
2023-11,Nueva Caledonia,0,1,1
2023-12,Nueva Caledonia,1,1,2
2024-01,Nueva Caledonia,2,4,6
2024-03,Nueva Caledonia,2,0,2
2024-05,Nueva Caledonia,1,0,1
2025-04,Nueva Caledonia,1,0,1
