Fecha,País destino,Femenino,Masculino,Total
2012-01,Nueva Zelanda,31,29,60
2012-02,Nueva Zelanda,18,23,41
2012-03,Nueva Zelanda,19,17,36
2012-04,Nueva Zelanda,15,21,36
2012-05,Nueva Zelanda,13,13,26
2012-06,Nueva Zelanda,12,13,25
2012-07,Nueva Zelanda,38,31,69
2012-08,Nueva Zelanda,30,14,44
2012-09,Nueva Zelanda,21,13,34
2012-10,Nueva Zelanda,17,13,30
2012-11,Nueva Zelanda,21,20,41
2012-12,Nueva Zelanda,21,17,38
2013-01,Nueva Zelanda,42,33,75
2013-02,Nueva Zelanda,36,34,70
2013-03,Nueva Zelanda,24,21,45
2013-04,Nueva Zelanda,17,16,33
2013-05,Nueva Zelanda,16,8,24
2013-06,Nueva Zelanda,16,12,28
2013-07,Nueva Zelanda,33,55,88
2013-08,Nueva Zelanda,21,14,35
2013-09,Nueva Zelanda,11,12,23
2013-10,Nueva Zelanda,30,46,76
2013-11,Nueva Zelanda,11,13,24
2013-12,Nueva Zelanda,19,17,36
2014-01,Nueva Zelanda,32,37,69
2014-02,Nueva Zelanda,27,18,45
2014-03,Nueva Zelanda,16,6,22
2014-04,Nueva Zelanda,18,18,36
2014-05,Nueva Zelanda,20,19,39
2014-06,Nueva Zelanda,34,23,57
2014-07,Nueva Zelanda,32,24,56
2014-08,Nueva Zelanda,30,28,58
2014-09,Nueva Zelanda,31,23,54
2014-10,Nueva Zelanda,27,19,46
2014-11,Nueva Zelanda,21,24,45
2014-12,Nueva Zelanda,31,29,60
2015-01,Nueva Zelanda,63,60,123
2015-02,Nueva Zelanda,37,29,66
2015-03,Nueva Zelanda,40,21,61
2015-04,Nueva Zelanda,32,39,71
2015-05,Nueva Zelanda,17,30,47
2015-06,Nueva Zelanda,33,31,64
2015-07,Nueva Zelanda,30,27,57
2015-08,Nueva Zelanda,28,19,47
2015-09,Nueva Zelanda,33,22,55
2015-10,Nueva Zelanda,24,21,45
2015-11,Nueva Zelanda,27,47,74
2015-12,Nueva Zelanda,40,28,68
2016-01,Nueva Zelanda,63,47,110
2016-02,Nueva Zelanda,44,36,80
2016-03,Nueva Zelanda,28,24,52
2016-04,Nueva Zelanda,35,38,73
2016-05,Nueva Zelanda,19,17,36
2016-06,Nueva Zelanda,44,28,72
2016-07,Nueva Zelanda,34,22,56
2016-08,Nueva Zelanda,40,20,60
2016-09,Nueva Zelanda,49,35,84
2016-10,Nueva Zelanda,26,19,45
2016-11,Nueva Zelanda,38,21,59
2016-12,Nueva Zelanda,55,40,95
2017-01,Nueva Zelanda,68,60,128
2017-02,Nueva Zelanda,53,45,98
2017-03,Nueva Zelanda,32,26,58
2017-04,Nueva Zelanda,40,34,74
2017-05,Nueva Zelanda,15,18,33
2017-06,Nueva Zelanda,34,33,67
2017-07,Nueva Zelanda,30,45,75
2017-08,Nueva Zelanda,36,34,70
2017-09,Nueva Zelanda,23,18,41
2017-10,Nueva Zelanda,0,1,1
2017-11,Nueva Zelanda,23,20,43
2017-12,Nueva Zelanda,42,20,62
2018-01,Nueva Zelanda,90,64,154
2018-02,Nueva Zelanda,54,32,86
2018-03,Nueva Zelanda,37,33,70
2018-04,Nueva Zelanda,29,37,66
2018-05,Nueva Zelanda,39,27,66
2018-06,Nueva Zelanda,48,31,79
2018-07,Nueva Zelanda,48,46,94
2018-08,Nueva Zelanda,45,31,76
2018-09,Nueva Zelanda,23,18,41
2018-10,Nueva Zelanda,41,30,71
2018-11,Nueva Zelanda,29,28,57
2018-12,Nueva Zelanda,64,36,100
2019-01,Nueva Zelanda,116,78,194
2019-02,Nueva Zelanda,52,43,95
2019-03,Nueva Zelanda,54,43,97
2019-04,Nueva Zelanda,52,31,83
2019-05,Nueva Zelanda,30,25,55
2019-06,Nueva Zelanda,38,27,65
2019-07,Nueva Zelanda,49,42,91
2019-08,Nueva Zelanda,59,48,107
2019-09,Nueva Zelanda,35,27,62
2019-10,Nueva Zelanda,42,45,87
2019-11,Nueva Zelanda,62,27,89
2019-12,Nueva Zelanda,44,32,76
2020-01,Nueva Zelanda,92,64,156
2020-02,Nueva Zelanda,50,37,87
2020-03,Nueva Zelanda,19,16,35
2020-05,Nueva Zelanda,2,0,2
2020-06,Nueva Zelanda,4,0,4
2020-09,Nueva Zelanda,1,2,3
2020-10,Nueva Zelanda,2,0,2
2020-11,Nueva Zelanda,3,0,3
2020-12,Nueva Zelanda,1,2,3
2021-01,Nueva Zelanda,4,2,6
2021-02,Nueva Zelanda,7,0,7
2021-03,Nueva Zelanda,2,3,5
2021-04,Nueva Zelanda,1,1,2
2021-05,Nueva Zelanda,4,2,6
2021-06,Nueva Zelanda,5,5,10
2021-08,Nueva Zelanda,2,3,5
2021-09,Nueva Zelanda,0,1,1
2021-10,Nueva Zelanda,1,1,2
2021-11,Nueva Zelanda,2,2,4
2021-12,Nueva Zelanda,0,1,1
2022-01,Nueva Zelanda,3,6,9
2022-02,Nueva Zelanda,8,2,10
2022-03,Nueva Zelanda,9,4,13
2022-04,Nueva Zelanda,19,9,28
2022-05,Nueva Zelanda,18,5,23
2022-06,Nueva Zelanda,22,20,42
2022-07,Nueva Zelanda,39,37,76
2022-08,Nueva Zelanda,37,23,60
2022-09,Nueva Zelanda,33,26,59
2022-10,Nueva Zelanda,39,31,70
2022-11,Nueva Zelanda,76,53,129
2022-12,Nueva Zelanda,53,38,91
2023-01,Nueva Zelanda,175,138,313
2023-02,Nueva Zelanda,105,79,184
2023-03,Nueva Zelanda,58,62,120
2023-04,Nueva Zelanda,55,40,95
2023-05,Nueva Zelanda,40,31,71
2023-06,Nueva Zelanda,42,40,82
2023-07,Nueva Zelanda,25,23,48
2023-08,Nueva Zelanda,34,32,66
2023-09,Nueva Zelanda,48,37,85
2023-10,Nueva Zelanda,34,28,62
2023-11,Nueva Zelanda,48,27,75
2023-12,Nueva Zelanda,47,21,68
2024-01,Nueva Zelanda,91,54,145
2024-02,Nueva Zelanda,39,31,70
2024-03,Nueva Zelanda,48,25,73
2024-04,Nueva Zelanda,29,28,57
2024-05,Nueva Zelanda,21,11,32
2024-06,Nueva Zelanda,31,10,41
2024-07,Nueva Zelanda,21,18,39
2024-08,Nueva Zelanda,29,20,49
2024-09,Nueva Zelanda,35,20,55
2024-10,Nueva Zelanda,29,31,60
2024-11,Nueva Zelanda,47,24,71
2024-12,Nueva Zelanda,45,39,84
2025-01,Nueva Zelanda,76,41,117
2025-02,Nueva Zelanda,26,16,42
2025-03,Nueva Zelanda,25,19,44
2025-04,Nueva Zelanda,27,20,47
2025-05,Nueva Zelanda,37,30,67
2025-06,Nueva Zelanda,26,15,41
2025-07,Nueva Zelanda,29,19,48
2025-08,Nueva Zelanda,38,14,52
2025-09,Nueva Zelanda,28,12,40
2025-10,Nueva Zelanda,31,24,55
2025-11,Nueva Zelanda,32,26,58
2025-12,Nueva Zelanda,48,25,73
