Fecha,País destino,Femenino,Masculino,Total
2012-01,Omán,3,3,6
2012-02,Omán,3,1,4
2012-03,Omán,1,0,1
2012-04,Omán,3,2,5
2012-06,Omán,1,3,4
2012-07,Omán,5,6,11
2012-08,Omán,4,11,15
2012-09,Omán,0,2,2
2012-10,Omán,8,17,25
2012-11,Omán,1,6,7
2012-12,Omán,5,6,11
2013-01,Omán,4,5,9
2013-02,Omán,1,1,2
2013-03,Omán,1,4,5
2013-04,Omán,1,2,3
2013-05,Omán,0,6,6
2013-06,Omán,1,6,7
2013-07,Omán,2,5,7
2013-08,Omán,11,16,27
2013-09,Omán,5,7,12
2013-10,Omán,0,4,4
2013-11,Omán,4,2,6
2013-12,Omán,2,4,6
2014-01,Omán,5,9,14
2014-02,Omán,0,1,1
2014-03,Omán,0,4,4
2014-04,Omán,2,5,7
2014-05,Omán,2,5,7
2014-06,Omán,0,3,3
2014-07,Omán,4,14,18
2014-08,Omán,14,12,26
2014-09,Omán,5,6,11
2014-10,Omán,0,4,4
2014-11,Omán,2,5,7
2014-12,Omán,7,7,14
2015-01,Omán,5,13,18
2015-02,Omán,4,3,7
2015-03,Omán,1,5,6
2015-04,Omán,0,9,9
2015-05,Omán,1,4,5
2015-06,Omán,0,6,6
2015-07,Omán,9,10,19
2015-08,Omán,10,16,26
2015-09,Omán,6,9,15
2015-10,Omán,0,3,3
2015-11,Omán,0,6,6
2015-12,Omán,7,6,13
2016-01,Omán,2,9,11
2016-02,Omán,1,0,1
2016-03,Omán,2,3,5
2016-04,Omán,0,4,4
2016-05,Omán,1,3,4
2016-06,Omán,0,5,5
2016-07,Omán,4,7,11
2016-08,Omán,11,13,24
2016-09,Omán,4,8,12
2016-10,Omán,1,4,5
2016-11,Omán,1,3,4
2016-12,Omán,7,2,9
2017-01,Omán,8,10,18
2017-02,Omán,1,5,6
2017-03,Omán,2,10,12
2017-04,Omán,0,3,3
2017-05,Omán,2,4,6
2017-06,Omán,1,4,5
2017-07,Omán,5,13,18
2017-08,Omán,18,14,32
2017-09,Omán,3,3,6
2017-11,Omán,5,7,12
2017-12,Omán,4,2,6
2018-01,Omán,3,12,15
2018-02,Omán,0,3,3
2018-03,Omán,1,3,4
2018-04,Omán,0,6,6
2018-05,Omán,3,7,10
2018-06,Omán,2,5,7
2018-07,Omán,5,11,16
2018-08,Omán,8,14,22
2018-09,Omán,3,3,6
2018-10,Omán,2,5,7
2018-11,Omán,7,7,14
2018-12,Omán,0,5,5
2019-01,Omán,4,18,22
2019-02,Omán,7,9,16
2019-03,Omán,4,4,8
2019-04,Omán,1,3,4
2019-05,Omán,1,3,4
2019-06,Omán,2,7,9
2019-07,Omán,5,9,14
2019-08,Omán,4,10,14
2019-09,Omán,4,5,9
2019-10,Omán,7,8,15
2019-11,Omán,1,3,4
2019-12,Omán,5,6,11
2020-01,Omán,6,10,16
2020-02,Omán,1,4,5
2020-03,Omán,1,4,5
2020-04,Omán,2,0,2
2020-05,Omán,2,0,2
2020-09,Omán,0,1,1
2020-10,Omán,0,4,4
2020-11,Omán,0,2,2
2020-12,Omán,4,6,10
2021-01,Omán,1,8,9
2021-02,Omán,7,5,12
2021-03,Omán,4,3,7
2021-04,Omán,0,3,3
2021-05,Omán,2,3,5
2021-06,Omán,0,4,4
2021-07,Omán,0,8,8
2021-08,Omán,3,2,5
2021-09,Omán,3,6,9
2021-10,Omán,7,7,14
2021-11,Omán,2,4,6
2021-12,Omán,6,11,17
2022-01,Omán,8,11,19
2022-02,Omán,4,10,14
2022-03,Omán,1,8,9
2022-04,Omán,6,6,12
2022-05,Omán,9,8,17
2022-06,Omán,6,11,17
2022-07,Omán,5,6,11
2022-08,Omán,10,19,29
2022-09,Omán,1,6,7
2022-10,Omán,5,9,14
2022-11,Omán,5,12,17
2022-12,Omán,9,3,12
2023-01,Omán,12,14,26
2023-02,Omán,1,7,8
2023-03,Omán,2,7,9
2023-04,Omán,2,4,6
2023-05,Omán,1,2,3
2023-06,Omán,5,2,7
2023-07,Omán,2,3,5
2023-08,Omán,3,7,10
2023-09,Omán,0,1,1
2023-10,Omán,2,4,6
2023-11,Omán,1,2,3
2023-12,Omán,4,9,13
2024-01,Omán,2,3,5
2024-02,Omán,3,3,6
2024-03,Omán,2,1,3
2024-04,Omán,1,3,4
2024-06,Omán,1,0,1
2024-07,Omán,1,4,5
2024-08,Omán,3,2,5
2024-09,Omán,1,0,1
2024-10,Omán,0,1,1
2024-11,Omán,1,1,2
2024-12,Omán,2,2,4
2025-01,Omán,1,3,4
2025-03,Omán,1,1,2
2025-05,Omán,0,1,1
2025-06,Omán,0,1,1
2025-07,Omán,2,3,5
2025-08,Omán,2,4,6
2025-09,Omán,1,0,1
2025-11,Omán,0,1,1
2025-12,Omán,1,1,2
