Fecha,País destino,Femenino,Masculino,Total
2012-01,Paraguay,40,87,127
2012-02,Paraguay,52,85,137
2012-03,Paraguay,40,71,111
2012-04,Paraguay,34,89,123
2012-05,Paraguay,48,99,147
2012-06,Paraguay,38,134,172
2012-07,Paraguay,37,98,135
2012-08,Paraguay,59,144,203
2012-09,Paraguay,44,120,164
2012-10,Paraguay,105,182,287
2012-11,Paraguay,71,133,204
2012-12,Paraguay,80,111,191
2013-01,Paraguay,50,114,164
2013-02,Paraguay,40,106,146
2013-03,Paraguay,51,159,210
2013-04,Paraguay,54,139,193
2013-05,Paraguay,43,135,178
2013-06,Paraguay,50,180,230
2013-07,Paraguay,37,121,158
2013-08,Paraguay,57,202,259
2013-09,Paraguay,81,136,217
2013-10,Paraguay,111,343,454
2013-11,Paraguay,81,120,201
2013-12,Paraguay,85,130,215
2014-01,Paraguay,59,112,171
2014-02,Paraguay,47,129,176
2014-03,Paraguay,67,148,215
2014-04,Paraguay,75,226,301
2014-05,Paraguay,93,182,275
2014-06,Paraguay,157,353,510
2014-07,Paraguay,67,198,265
2014-08,Paraguay,61,173,234
2014-09,Paraguay,64,188,252
2014-10,Paraguay,76,158,234
2014-11,Paraguay,83,180,263
2014-12,Paraguay,89,169,258
2015-01,Paraguay,85,175,260
2015-02,Paraguay,80,214,294
2015-03,Paraguay,108,232,340
2015-04,Paraguay,87,190,277
2015-05,Paraguay,69,142,211
2015-06,Paraguay,128,187,315
2015-07,Paraguay,78,175,253
2015-08,Paraguay,81,214,295
2015-09,Paraguay,104,212,316
2015-10,Paraguay,75,196,271
2015-11,Paraguay,92,245,337
2015-12,Paraguay,186,235,421
2016-01,Paraguay,82,207,289
2016-02,Paraguay,107,260,367
2016-03,Paraguay,131,227,358
2016-04,Paraguay,85,255,340
2016-05,Paraguay,79,202,281
2016-06,Paraguay,87,199,286
2016-07,Paraguay,114,205,319
2016-08,Paraguay,136,245,381
2016-09,Paraguay,98,328,426
2016-10,Paraguay,145,437,582
2016-11,Paraguay,90,237,327
2016-12,Paraguay,104,164,268
2017-01,Paraguay,97,226,323
2017-02,Paraguay,131,297,428
2017-03,Paraguay,123,242,365
2017-04,Paraguay,123,298,421
2017-05,Paraguay,105,316,421
2017-06,Paraguay,128,254,382
2017-07,Paraguay,134,259,393
2017-08,Paraguay,182,344,526
2017-09,Paraguay,97,248,345
2017-10,Paraguay,41,124,165
2017-11,Paraguay,119,264,383
2017-12,Paraguay,141,231,372
2018-01,Paraguay,124,314,438
2018-02,Paraguay,91,236,327
2018-03,Paraguay,227,351,578
2018-04,Paraguay,161,489,650
2018-05,Paraguay,153,319,472
2018-06,Paraguay,158,244,402
2018-07,Paraguay,139,335,474
2018-08,Paraguay,178,355,533
2018-09,Paraguay,148,323,471
2018-10,Paraguay,132,245,377
2018-11,Paraguay,164,268,432
2018-12,Paraguay,162,226,388
2019-01,Paraguay,167,305,472
2019-02,Paraguay,154,323,477
2019-03,Paraguay,152,319,471
2019-04,Paraguay,138,293,431
2019-05,Paraguay,136,284,420
2019-06,Paraguay,162,220,382
2019-07,Paraguay,123,198,321
2019-08,Paraguay,150,325,475
2019-09,Paraguay,158,289,447
2019-10,Paraguay,176,253,429
