Fecha,País destino,Femenino,Masculino,Total
2012-01,Países Bajos,1038,745,599
2012-02,Países Bajos,978,639,320
2012-03,Países Bajos,585,368,953
2012-04,Países Bajos,362,268,630
2012-05,Países Bajos,262,152,414
2012-06,Países Bajos,260,201,461
2012-07,Países Bajos,282,178,460
2012-08,Países Bajos,432,262,694
2012-09,Países Bajos,216,176,392
2012-10,Países Bajos,241,180,421
2012-11,Países Bajos,186,140,326
2012-12,Países Bajos,815,545,1360
2013-01,Países Bajos,628,389,1017
2013-02,Países Bajos,417,285,702
2013-03,Países Bajos,491,349,840
2013-04,Países Bajos,369,266,635
2013-05,Países Bajos,466,300,766
2013-06,Países Bajos,623,438,1061
2013-07,Países Bajos,466,386,852
2013-08,Países Bajos,427,267,694
2013-09,Países Bajos,243,179,422
2013-10,Países Bajos,201,163,364
2013-11,Países Bajos,192,179,371
2013-12,Países Bajos,431,293,724
2014-01,Países Bajos,449,285,734
2014-02,Países Bajos,196,132,328
2014-03,Países Bajos,231,126,357
2014-04,Países Bajos,260,128,388
2014-05,Países Bajos,227,163,390
2014-06,Países Bajos,297,185,482
2014-07,Países Bajos,306,236,542
2014-08,Países Bajos,482,293,775
2014-09,Países Bajos,231,175,406
2014-10,Países Bajos,273,194,467
2014-11,Países Bajos,278,176,454
2014-12,Países Bajos,346,193,539
2015-01,Países Bajos,585,408,993
2015-02,Países Bajos,283,155,438
2015-03,Países Bajos,887,601,425
2015-04,Países Bajos,882,671,505
2015-05,Países Bajos,1109,812,625
2015-06,Países Bajos,1287,1182,812
2015-07,Países Bajos,1333,1029,802
2015-08,Países Bajos,1592,1182,1024
2015-09,Países Bajos,1266,1010,839
2015-10,Países Bajos,1088,872,756
2015-11,Países Bajos,1036,842,689
2015-12,Países Bajos,1687,1208,1136
2016-01,Países Bajos,1610,1195,1206
2016-02,Países Bajos,1084,876,681
2016-03,Países Bajos,1319,864,820
2016-04,Países Bajos,1204,926,732
2016-05,Países Bajos,1522,1028,892
2016-06,Países Bajos,646,1313,1087
2016-07,Países Bajos,1648,1299,1210
2016-08,Países Bajos,1771,1237,1277
2016-09,Países Bajos,1444,1135,965
2016-10,Países Bajos,1232,1007,744
2016-11,Países Bajos,1128,888,658
2016-12,Países Bajos,1613,1255,1137
2017-01,Países Bajos,828,1428,1362
2017-02,Países Bajos,895,731,400
2017-03,Países Bajos,1111,880,407
2017-04,Países Bajos,345,1141,555
2017-05,Países Bajos,599,1295,1038
2017-06,Países Bajos,464,339,803
2017-07,Países Bajos,370,232,602
2017-08,Países Bajos,375,1195,612
2017-09,Países Bajos,926,944,341
2017-10,Países Bajos,722,860,342
2017-11,Países Bajos,1031,859,428
2017-12,Países Bajos,494,1339,842
2018-01,Países Bajos,743,493,1236
2018-02,Países Bajos,1127,965,533
2018-03,Países Bajos,1126,961,490
2018-04,Países Bajos,1144,989,511
2018-05,Países Bajos,372,1153,604
2018-06,Países Bajos,491,316,807
2018-07,Países Bajos,444,313,757
2018-08,Países Bajos,1402,1085,646
2018-09,Países Bajos,1350,1123,645
2018-10,Países Bajos,351,255,606
2018-11,Países Bajos,261,199,460
2018-12,Países Bajos,390,255,646
2019-01,Países Bajos,363,256,620
2019-02,Países Bajos,185,972,324
2019-03,Países Bajos,262,1066,416
2019-04,Países Bajos,280,198,478
2019-05,Países Bajos,406,259,665
2019-06,Países Bajos,407,246,654
2019-07,Países Bajos,375,244,619
2019-08,Países Bajos,1287,1058,604
2019-09,Países Bajos,1290,1043,569
2019-10,Países Bajos,423,1238,728
2019-11,Países Bajos,391,263,654
2019-12,Países Bajos,516,329,845
2020-01,Países Bajos,1456,1218,851
2020-02,Países Bajos,907,807,528
2020-03,Países Bajos,560,475,1035
2020-04,Países Bajos,50,73,123
2020-05,Países Bajos,123,83,206
2020-06,Países Bajos,97,81,178
2020-07,Países Bajos,79,98,177
2020-08,Países Bajos,138,136,274
2020-09,Países Bajos,192,187,379
2020-10,Países Bajos,309,241,550
2020-11,Países Bajos,254,274,528
