Fecha,País destino,Femenino,Masculino,Total
2012-01,Perú,635,793,1429
2012-02,Perú,384,520,905
2012-03,Perú,518,719,1238
2012-04,Perú,506,608,1115
2012-05,Perú,404,570,974
2012-06,Perú,574,717,1291
2012-07,Perú,543,606,1149
2012-08,Perú,570,636,1206
2012-09,Perú,652,760,1412
2012-10,Perú,829,958,1788
2012-11,Perú,759,915,1675
2012-12,Perú,929,853,1783
2013-01,Perú,863,963,1826
2013-02,Perú,543,605,1148
2013-03,Perú,819,881,1700
2013-04,Perú,557,687,1245
2013-05,Perú,594,791,1386
2013-06,Perú,809,963,1773
2013-07,Perú,624,791,1416
2013-08,Perú,540,700,1240
2013-09,Perú,700,906,1606
2013-10,Perú,754,993,1747
2013-11,Perú,829,1096,1926
2013-12,Perú,1243,1221,1292
2014-01,Perú,1230,1262,1161
2014-02,Perú,800,995,1795
2014-03,Perú,884,1044,1928
2014-04,Perú,1079,1211,1152
2014-05,Perú,850,999,1849
2014-06,Perú,1173,1380,1500
2014-07,Perú,935,1099,2035
2014-08,Perú,1035,1469,1367
2014-09,Perú,960,1191,2152
2014-10,Perú,958,1211,2170
2014-11,Perú,1108,1393,1493
2014-12,Perú,1356,1324,2681
2015-01,Perú,1052,1182,2235
2015-02,Perú,807,891,1698
2015-03,Perú,1015,1151,2166
2015-04,Perú,743,875,1618
2015-05,Perú,735,985,1721
2015-06,Perú,1065,1208,2273
2015-07,Perú,791,1023,1814
2015-08,Perú,745,958,1704
2015-09,Perú,592,902,1494
2015-10,Perú,814,1060,1875
2015-11,Perú,840,1133,1974
2015-12,Perú,1010,928,1938
2016-01,Perú,770,922,1693
2016-02,Perú,611,838,1450
2016-03,Perú,723,899,1623
2016-04,Perú,642,1043,1686
2016-05,Perú,688,872,1560
2016-06,Perú,877,944,1822
2016-07,Perú,804,932,1737
2016-08,Perú,858,932,1791
2016-09,Perú,718,1023,1742
2016-10,Perú,810,950,1760
2016-11,Perú,907,1129,2037
2016-12,Perú,1043,903,1946
2017-01,Perú,1026,1183,2209
2017-02,Perú,734,864,1598
2017-03,Perú,938,864,1803
2017-04,Perú,927,924,1851
2017-05,Perú,583,765,1348
2017-06,Perú,811,888,1700
2017-07,Perú,515,596,1111
2017-08,Perú,566,691,1258
2017-09,Perú,504,643,1147
2017-10,Perú,599,836,1435
2017-11,Perú,915,1169,2085
2017-12,Perú,1294,1098,2392
2018-01,Perú,1079,1132,2211
2018-02,Perú,953,1027,1981
2018-03,Perú,1297,1268,1462
2018-04,Perú,1174,1141,1265
2018-05,Perú,1017,1097,1065
2018-06,Perú,1340,1233,1334
2018-07,Perú,1114,1132,1235
2018-08,Perú,1013,1040,975
2018-09,Perú,983,1033,886
2018-10,Perú,1276,1327,1260
2018-11,Perú,1503,1584,1380
2018-12,Perú,1161,978,1055
2019-01,Perú,1028,1037,869
2019-02,Perú,1618,1657,667
2019-03,Perú,1960,2016,932
2019-04,Perú,1244,1197,1025
2019-05,Perú,1867,1079,902
2019-06,Perú,1044,1095,2140
2019-07,Perú,1606,1699,1560
2019-08,Perú,1627,1647,1457
2019-09,Perú,1485,1608,1471
2019-10,Perú,1669,1726,1504
2019-11,Perú,1896,2028,1966
2019-12,Perú,901,1659,1754
2020-01,Perú,1843,1847,1818
2020-02,Perú,1462,1647,1391
2020-03,Perú,725,831,1556
2020-04,Perú,32,78,110
2020-05,Perú,13,111,124
2020-06,Perú,74,155,229
2020-07,Perú,28,124,152
2020-08,Perú,43,125,168
2020-09,Perú,13,141,154
2020-10,Perú,487,684,52
2020-11,Perú,957,157,322
2020-12,Perú,266,221,487
2021-01,Perú,447,414,861
2021-02,Perú,705,875,278
2021-03,Perú,272,299,571
2021-04,Perú,1175,383,712
2021-05,Perú,350,402,752
2021-06,Perú,375,474,850
2021-07,Perú,583,571,1154
2021-08,Perú,513,531,1044
2021-09,Perú,761,717,324
2021-10,Perú,998,900,365
2021-11,Perú,958,889,386
2021-12,Perú,788,642,226
2022-01,Perú,899,988,372
2022-02,Perú,673,755,1428
2022-03,Perú,899,957,587
2022-04,Perú,1139,1006,720
2022-05,Perú,757,878,578
2022-06,Perú,1394,1330,1039
2022-07,Perú,1299,1348,1037
2022-08,Perú,1487,1612,1253
2022-09,Perú,1495,1600,1126
2022-10,Perú,528,1532,1114
2022-11,Perú,550,622,1173
2022-12,Perú,621,1474,1136
2023-01,Perú,621,735,1356
2023-02,Perú,1057,1070,1010
2023-03,Perú,1101,1133,2234
2023-04,Perú,875,941,1816
2023-05,Perú,910,1134,932
2023-06,Perú,1343,1267,956
2023-07,Perú,874,966,603
2023-08,Perú,922,923,589
2023-09,Perú,1083,1082,691
2023-10,Perú,1021,1079,801
2023-11,Perú,1330,1313,817
2023-12,Perú,690,518,1208
2024-01,Perú,637,650,1287
2024-02,Perú,1423,1463,1197
2024-03,Perú,611,692,1303
2024-04,Perú,579,1565,1177
2024-05,Perú,608,729,1338
2024-06,Perú,741,767,1509
2024-07,Perú,649,762,1412
2024-08,Perú,788,770,1559
2024-09,Perú,536,648,1185
2024-10,Perú,530,531,1062
2024-11,Perú,475,503,979
2024-12,Perú,734,549,1284
2025-01,Perú,535,646,1182
2025-02,Perú,523,535,1059
2025-03,Perú,525,475,1002
2025-04,Perú,639,672,1312
2025-05,Perú,354,477,832
2025-06,Perú,666,732,1398
2025-07,Perú,477,567,1046
2025-08,Perú,427,517,946
2025-09,Perú,528,619,1149
2025-10,Perú,482,563,1046
2025-11,Perú,537,565,1103
2025-12,Perú,654,580,1236
