Fecha,País destino,Femenino,Masculino,Total
2012-01,Polonia,10,17,27
2012-02,Polonia,8,8,16
2012-03,Polonia,4,10,14
2012-04,Polonia,6,8,14
2012-05,Polonia,8,25,33
2012-06,Polonia,35,40,75
2012-07,Polonia,10,12,22
2012-08,Polonia,9,16,25
2012-09,Polonia,17,17,34
2012-10,Polonia,9,14,23
2012-11,Polonia,9,11,20
2012-12,Polonia,9,9,18
2013-01,Polonia,12,22,34
2013-02,Polonia,6,12,18
2013-03,Polonia,11,20,31
2013-04,Polonia,4,8,12
2013-05,Polonia,23,35,58
2013-06,Polonia,33,37,70
2013-07,Polonia,21,24,45
2013-08,Polonia,14,14,28
2013-09,Polonia,16,19,35
2013-10,Polonia,12,22,34
2013-11,Polonia,17,25,42
2013-12,Polonia,9,12,21
2014-01,Polonia,6,7,13
2014-02,Polonia,9,8,17
2014-03,Polonia,5,17,22
2014-04,Polonia,17,20,37
2014-05,Polonia,22,25,47
2014-06,Polonia,32,32,64
2014-07,Polonia,19,21,40
2014-08,Polonia,16,10,26
2014-09,Polonia,17,34,51
2014-10,Polonia,14,17,31
2014-11,Polonia,8,12,20
2014-12,Polonia,17,16,33
2015-01,Polonia,14,18,32
2015-02,Polonia,4,15,19
2015-03,Polonia,12,17,29
2015-04,Polonia,7,9,16
2015-05,Polonia,11,18,29
2015-06,Polonia,25,47,72
2015-07,Polonia,14,14,28
2015-08,Polonia,5,9,14
2015-09,Polonia,13,31,44
2015-10,Polonia,7,22,29
2015-11,Polonia,10,9,19
2015-12,Polonia,19,22,41
2016-01,Polonia,8,11,19
2016-02,Polonia,11,12,23
2016-03,Polonia,7,15,22
2016-04,Polonia,4,6,10
2016-05,Polonia,8,19,27
2016-06,Polonia,27,40,67
2016-07,Polonia,210,150,360
2016-08,Polonia,26,21,47
2016-09,Polonia,20,33,53
2016-10,Polonia,13,12,25
2016-11,Polonia,7,17,24
2016-12,Polonia,11,16,27
2017-01,Polonia,15,18,33
2017-02,Polonia,8,13,21
2017-03,Polonia,12,20,32
2017-04,Polonia,12,11,23
2017-05,Polonia,25,26,51
2017-06,Polonia,29,28,57
2017-07,Polonia,32,39,71
2017-08,Polonia,17,23,40
2017-09,Polonia,13,23,36
2017-10,Polonia,0,1,1
2017-11,Polonia,3,11,14
2017-12,Polonia,11,15,26
2018-01,Polonia,9,20,29
2018-02,Polonia,5,15,20
2018-03,Polonia,7,19,26
2018-04,Polonia,11,27,38
2018-05,Polonia,18,21,39
2018-06,Polonia,28,33,61
2018-07,Polonia,21,20,41
2018-08,Polonia,14,29,43
2018-09,Polonia,29,42,71
2018-10,Polonia,15,32,47
2018-11,Polonia,14,35,49
2018-12,Polonia,27,31,58
2019-01,Polonia,26,49,75
2019-02,Polonia,26,15,41
2019-03,Polonia,9,24,33
2019-04,Polonia,10,11,21
2019-05,Polonia,9,30,39
2019-06,Polonia,21,29,50
2019-07,Polonia,11,28,39
2019-08,Polonia,25,26,51
2019-09,Polonia,41,32,73
2019-10,Polonia,12,21,33
2019-11,Polonia,9,20,29
2019-12,Polonia,13,17,30
2020-01,Polonia,11,18,29
2020-02,Polonia,15,25,40
2020-03,Polonia,6,9,15
2020-07,Polonia,1,0,1
2020-08,Polonia,2,0,2
2020-09,Polonia,1,6,7
2020-10,Polonia,8,5,13
2020-11,Polonia,9,21,30
2020-12,Polonia,9,7,16
2021-01,Polonia,9,33,42
2021-02,Polonia,6,11,17
2021-03,Polonia,5,10,15
2021-04,Polonia,13,22,35
2021-05,Polonia,20,36,56
2021-06,Polonia,16,22,38
2021-07,Polonia,15,37,52
2021-08,Polonia,18,30,48
2021-09,Polonia,16,30,46
2021-10,Polonia,14,19,33
2021-11,Polonia,16,15,31
2021-12,Polonia,17,31,48
2022-01,Polonia,23,35,58
2022-02,Polonia,23,43,66
2022-03,Polonia,17,70,87
2022-04,Polonia,28,60,88
2022-05,Polonia,35,68,103
2022-06,Polonia,57,73,130
2022-07,Polonia,55,100,155
2022-08,Polonia,49,117,166
2022-09,Polonia,59,110,169
2022-10,Polonia,60,135,195
2022-11,Polonia,59,172,231
2022-12,Polonia,82,170,252
2023-01,Polonia,56,105,161
2023-02,Polonia,72,143,215
2023-03,Polonia,64,157,221
2023-04,Polonia,62,152,214
2023-05,Polonia,99,243,342
2023-06,Polonia,79,224,303
2023-07,Polonia,77,201,278
2023-08,Polonia,60,150,210
2023-09,Polonia,95,233,328
2023-10,Polonia,121,283,404
2023-11,Polonia,83,228,311
2023-12,Polonia,79,138,217
2024-01,Polonia,109,212,321
2024-02,Polonia,125,329,454
2024-03,Polonia,88,251,339
2024-04,Polonia,115,317,432
2024-05,Polonia,162,360,522
2024-06,Polonia,127,332,459
2024-07,Polonia,212,515,727
2024-08,Polonia,151,307,458
2024-09,Polonia,128,276,404
2024-10,Polonia,168,323,491
2024-11,Polonia,149,262,411
2024-12,Polonia,77,117,194
2025-01,Polonia,53,100,153
2025-02,Polonia,85,162,247
2025-03,Polonia,79,148,227
2025-04,Polonia,61,92,153
2025-05,Polonia,94,172,266
2025-06,Polonia,83,120,203
2025-07,Polonia,68,113,181
2025-08,Polonia,58,90,148
2025-09,Polonia,77,93,170
2025-10,Polonia,102,137,239
2025-11,Polonia,86,142,228
2025-12,Polonia,102,105,207
