Fecha,País destino,Femenino,Masculino,Total
2012-01,Portugal,41,33,74
2012-02,Portugal,26,16,42
2012-03,Portugal,27,23,50
2012-04,Portugal,39,37,76
2012-05,Portugal,25,28,53
2012-06,Portugal,50,27,77
2012-07,Portugal,34,30,64
2012-08,Portugal,31,36,67
2012-09,Portugal,65,57,122
2012-10,Portugal,29,35,64
2012-11,Portugal,36,64,100
2012-12,Portugal,47,32,79
2013-01,Portugal,37,27,64
2013-02,Portugal,34,19,53
2013-03,Portugal,31,29,60
2013-04,Portugal,32,38,70
2013-05,Portugal,43,41,84
2013-06,Portugal,72,72,144
2013-07,Portugal,44,30,74
2013-08,Portugal,26,32,58
2013-09,Portugal,38,24,62
2013-10,Portugal,80,77,157
2013-11,Portugal,17,14,31
2013-12,Portugal,38,31,69
2014-01,Portugal,40,30,70
2014-02,Portugal,22,24,46
2014-03,Portugal,31,30,61
2014-04,Portugal,58,43,101
2014-05,Portugal,48,56,104
2014-06,Portugal,43,30,73
2014-07,Portugal,204,188,392
2014-08,Portugal,218,153,371
2014-09,Portugal,365,305,670
2014-10,Portugal,176,151,327
2014-11,Portugal,156,117,273
2014-12,Portugal,183,136,319
2015-01,Portugal,249,187,436
2015-02,Portugal,116,108,224
2015-03,Portugal,208,142,350
2015-04,Portugal,106,71,177
2015-05,Portugal,170,128,298
2015-06,Portugal,431,345,776
2015-07,Portugal,208,160,368
2015-08,Portugal,161,129,290
2015-09,Portugal,257,272,529
2015-10,Portugal,187,198,385
2015-11,Portugal,157,156,313
2015-12,Portugal,160,136,296
2016-01,Portugal,265,203,468
2016-02,Portugal,159,212,371
2016-03,Portugal,251,248,499
2016-04,Portugal,125,136,261
2016-05,Portugal,99,142,241
2016-06,Portugal,110,155,265
2016-07,Portugal,114,144,258
2016-08,Portugal,92,136,228
2016-09,Portugal,135,171,306
2016-10,Portugal,131,167,298
2016-11,Portugal,104,146,250
2016-12,Portugal,102,150,252
2017-01,Portugal,73,79,152
2017-02,Portugal,55,55,110
2017-03,Portugal,78,65,143
2017-04,Portugal,108,91,199
2017-05,Portugal,233,136,369
2017-06,Portugal,185,143,328
2017-07,Portugal,99,106,205
2017-08,Portugal,86,73,159
2017-09,Portugal,119,89,208
2017-10,Portugal,46,64,110
2017-11,Portugal,83,128,211
2017-12,Portugal,112,154,266
2018-01,Portugal,115,121,236
2018-02,Portugal,93,121,214
2018-03,Portugal,122,163,285
2018-04,Portugal,159,183,342
2018-05,Portugal,238,247,485
2018-06,Portugal,153,166,319
2018-07,Portugal,191,188,379
2018-08,Portugal,103,101,204
2018-09,Portugal,260,224,484
2018-10,Portugal,116,77,193
2018-11,Portugal,82,69,151
2018-12,Portugal,128,79,207
2019-01,Portugal,94,104,198
2019-02,Portugal,73,59,132
2019-03,Portugal,91,69,160
2019-04,Portugal,163,171,334
2019-05,Portugal,175,196,371
2019-06,Portugal,265,277,542
2019-07,Portugal,219,290,509
2019-08,Portugal,165,206,371
2019-09,Portugal,224,241,465
2019-10,Portugal,356,290,646
2019-11,Portugal,109,77,186
2019-12,Portugal,127,110,237
2020-01,Portugal,126,124,250
2020-02,Portugal,70,87,157
2020-03,Portugal,56,43,99
2020-05,Portugal,1,2,3
2020-06,Portugal,0,1,1
2020-07,Portugal,2,1,3
2020-08,Portugal,3,2,5
2020-09,Portugal,6,12,18
2020-10,Portugal,35,61,96
2020-11,Portugal,16,14,30
2020-12,Portugal,28,20,48
2021-01,Portugal,60,76,136
2021-02,Portugal,34,46,80
2021-03,Portugal,29,39,68
2021-04,Portugal,42,48,90
2021-05,Portugal,39,58,97
2021-06,Portugal,60,79,139
2021-07,Portugal,63,110,173
2021-08,Portugal,107,109,216
2021-09,Portugal,118,147,265
2021-10,Portugal,132,116,248
2021-11,Portugal,123,110,233
2021-12,Portugal,187,138,325
2022-01,Portugal,145,146,291
2022-02,Portugal,175,179,354
2022-03,Portugal,497,453,950
2022-04,Portugal,312,271,583
2022-05,Portugal,380,316,696
2022-06,Portugal,393,422,815
2022-07,Portugal,359,378,737
2022-08,Portugal,229,253,482
2022-09,Portugal,375,325,700
2022-10,Portugal,374,409,783
2022-11,Portugal,223,293,516
2022-12,Portugal,352,262,614
2023-01,Portugal,213,266,479
2023-02,Portugal,248,283,531
2023-03,Portugal,272,325,597
2023-04,Portugal,287,300,587
2023-05,Portugal,340,352,692
2023-06,Portugal,286,263,549
2023-07,Portugal,398,309,707
2023-08,Portugal,229,232,461
2023-09,Portugal,256,255,511
2023-10,Portugal,222,243,465
2023-11,Portugal,189,221,410
2023-12,Portugal,228,171,399
2024-01,Portugal,180,205,385
2024-02,Portugal,211,284,495
2024-03,Portugal,271,211,482
2024-04,Portugal,238,221,459
2024-05,Portugal,326,297,623
2024-06,Portugal,199,163,362
2024-07,Portugal,145,141,286
2024-08,Portugal,183,113,296
2024-09,Portugal,289,195,484
2024-10,Portugal,196,154,350
2024-11,Portugal,171,115,286
2024-12,Portugal,188,130,318
2025-01,Portugal,152,166,318
2025-02,Portugal,117,120,237
2025-03,Portugal,135,129,264
2025-04,Portugal,154,131,285
2025-05,Portugal,230,193,423
2025-06,Portugal,263,226,489
2025-07,Portugal,183,168,351
2025-08,Portugal,169,146,315
2025-09,Portugal,259,206,465
2025-10,Portugal,216,173,389
2025-11,Portugal,122,112,234
2025-12,Portugal,171,141,312
