Fecha,País destino,Femenino,Masculino,Total
2012-01,Puerto Rico,358,347,705
2012-02,Puerto Rico,168,172,340
2012-03,Puerto Rico,214,226,440
2012-04,Puerto Rico,212,197,409
2012-05,Puerto Rico,164,166,330
2012-06,Puerto Rico,239,226,465
2012-07,Puerto Rico,242,248,490
2012-08,Puerto Rico,249,302,551
2012-09,Puerto Rico,179,223,402
2012-10,Puerto Rico,187,195,382
2012-11,Puerto Rico,229,234,463
2012-12,Puerto Rico,355,306,661
2013-01,Puerto Rico,438,417,855
2013-02,Puerto Rico,139,187,326
2013-03,Puerto Rico,235,249,484
2013-04,Puerto Rico,227,256,483
2013-05,Puerto Rico,202,223,425
2013-06,Puerto Rico,241,237,478
2013-07,Puerto Rico,456,372,828
2013-08,Puerto Rico,620,564,1184
2013-09,Puerto Rico,354,365,719
2013-10,Puerto Rico,520,499,1019
2013-11,Puerto Rico,453,464,917
2013-12,Puerto Rico,773,626,341
2014-01,Puerto Rico,729,625,1354
2014-02,Puerto Rico,346,376,722
2014-03,Puerto Rico,361,411,772
2014-04,Puerto Rico,567,538,1105
2014-05,Puerto Rico,550,418,968
2014-06,Puerto Rico,541,447,988
2014-07,Puerto Rico,583,521,1104
2014-08,Puerto Rico,638,587,1225
2014-09,Puerto Rico,446,467,913
2014-10,Puerto Rico,670,636,246
2014-11,Puerto Rico,548,533,1081
2014-12,Puerto Rico,942,858,360
2015-01,Puerto Rico,801,749,348
2015-02,Puerto Rico,456,427,883
2015-03,Puerto Rico,727,711,281
2015-04,Puerto Rico,661,604,237
2015-05,Puerto Rico,761,683,263
2015-06,Puerto Rico,774,699,219
2015-07,Puerto Rico,691,518,1209
2015-08,Puerto Rico,722,668,269
2015-09,Puerto Rico,569,551,1120
2015-10,Puerto Rico,635,543,159
2015-11,Puerto Rico,757,654,234
2015-12,Puerto Rico,862,689,250
2016-01,Puerto Rico,882,794,365
2016-02,Puerto Rico,402,402,804
2016-03,Puerto Rico,640,568,1208
2016-04,Puerto Rico,494,428,922
2016-05,Puerto Rico,702,599,214
2016-06,Puerto Rico,699,638,172
2016-07,Puerto Rico,822,741,320
2016-08,Puerto Rico,735,648,251
2016-09,Puerto Rico,648,548,196
2016-10,Puerto Rico,715,640,252
2016-11,Puerto Rico,908,780,291
2016-12,Puerto Rico,1180,903,359
2017-01,Puerto Rico,958,870,327
2017-02,Puerto Rico,481,466,947
2017-03,Puerto Rico,659,632,225
2017-04,Puerto Rico,876,735,244
2017-05,Puerto Rico,598,533,1131
2017-06,Puerto Rico,863,722,256
2017-07,Puerto Rico,739,679,1418
2017-08,Puerto Rico,786,657,293
2017-09,Puerto Rico,315,292,607
2017-10,Puerto Rico,56,46,102
2017-11,Puerto Rico,256,243,499
2017-12,Puerto Rico,700,580,203
2018-01,Puerto Rico,737,550,238
2018-02,Puerto Rico,429,396,825
2018-03,Puerto Rico,666,578,164
2018-04,Puerto Rico,601,564,1165
2018-05,Puerto Rico,520,478,998
2018-06,Puerto Rico,626,556,1182
2018-07,Puerto Rico,576,529,1105
2018-08,Puerto Rico,579,532,1111
2018-09,Puerto Rico,379,373,752
2018-10,Puerto Rico,484,413,897
2018-11,Puerto Rico,597,473,1070
2018-12,Puerto Rico,949,750,252
2019-01,Puerto Rico,782,660,300
2019-02,Puerto Rico,486,446,932
2019-03,Puerto Rico,597,586,157
2019-04,Puerto Rico,776,614,295
2019-05,Puerto Rico,584,528,1112
2019-06,Puerto Rico,604,565,1169
2019-07,Puerto Rico,472,429,901
2019-08,Puerto Rico,575,521,1096
2019-09,Puerto Rico,465,435,900
2019-10,Puerto Rico,501,494,995
2019-11,Puerto Rico,629,619,164
2019-12,Puerto Rico,818,694,287
2020-01,Puerto Rico,681,663,242
2020-02,Puerto Rico,405,463,868
2020-03,Puerto Rico,340,331,671
2020-04,Puerto Rico,0,8,8
2020-05,Puerto Rico,0,11,11
2020-06,Puerto Rico,0,8,8
2020-07,Puerto Rico,2,0,2
2020-08,Puerto Rico,1,0,1
2020-09,Puerto Rico,8,10,18
2020-10,Puerto Rico,20,20,40
2020-11,Puerto Rico,92,69,161
2020-12,Puerto Rico,241,201,442
2021-01,Puerto Rico,280,228,509
2021-02,Puerto Rico,96,69,165
2021-03,Puerto Rico,136,124,260
2021-04,Puerto Rico,123,102,225
2021-05,Puerto Rico,112,117,229
2021-06,Puerto Rico,383,322,705
2021-07,Puerto Rico,394,309,703
2021-08,Puerto Rico,393,361,754
2021-09,Puerto Rico,359,306,665
2021-10,Puerto Rico,465,375,840
2021-11,Puerto Rico,569,486,1055
2021-12,Puerto Rico,781,613,304
2022-01,Puerto Rico,760,568,328
2022-02,Puerto Rico,495,423,918
2022-03,Puerto Rico,639,558,1197
2022-04,Puerto Rico,883,764,286
2022-05,Puerto Rico,762,675,206
2022-06,Puerto Rico,653,574,226
2022-07,Puerto Rico,580,592,1172
2022-08,Puerto Rico,488,480,968
2022-09,Puerto Rico,358,326,684
2022-10,Puerto Rico,436,367,803
2022-11,Puerto Rico,560,528,1088
2022-12,Puerto Rico,704,606,262
2023-01,Puerto Rico,858,710,359
2023-02,Puerto Rico,518,459,977
2023-03,Puerto Rico,629,609,1238
2023-04,Puerto Rico,718,575,241
2023-05,Puerto Rico,648,566,1214
2023-06,Puerto Rico,699,606,213
2023-07,Puerto Rico,637,559,1196
2023-08,Puerto Rico,616,513,1129
2023-09,Puerto Rico,402,303,705
2023-10,Puerto Rico,464,384,848
2023-11,Puerto Rico,628,512,1140
2023-12,Puerto Rico,1175,890,639
2024-01,Puerto Rico,1059,1019,836
2024-02,Puerto Rico,520,454,974
2024-03,Puerto Rico,808,687,222
2024-04,Puerto Rico,680,559,1239
2024-05,Puerto Rico,693,541,1234
2024-06,Puerto Rico,838,688,486
2024-07,Puerto Rico,946,779,570
2024-08,Puerto Rico,1049,891,433
2024-09,Puerto Rico,1012,902,412
2024-10,Puerto Rico,1280,1127,539
2024-11,Puerto Rico,1377,1190,765
2024-12,Puerto Rico,552,444,996
2025-01,Puerto Rico,604,522,1126
2025-02,Puerto Rico,1082,977,583
2025-03,Puerto Rico,1382,1199,768
2025-04,Puerto Rico,521,413,934
2025-05,Puerto Rico,502,1270,865
2025-06,Puerto Rico,533,395,928
2025-07,Puerto Rico,432,1192,800
2025-08,Puerto Rico,650,464,1114
2025-09,Puerto Rico,458,1316,844
2025-10,Puerto Rico,597,490,1087
2025-11,Puerto Rico,515,1380,962
2025-12,Puerto Rico,807,583,163
