Fecha,País destino,Femenino,Masculino,Total
2012-01,Republica Checa,10,8,18
2012-02,Republica Checa,3,10,13
2012-03,Republica Checa,10,12,22
2012-04,Republica Checa,3,5,8
2012-05,Republica Checa,10,7,17
2012-06,Republica Checa,6,13,19
2012-07,Republica Checa,12,9,21
2012-08,Republica Checa,30,45,75
2012-09,Republica Checa,11,11,22
2012-10,Republica Checa,7,4,11
2012-11,Republica Checa,6,6,12
2012-12,Republica Checa,5,5,10
2013-01,Republica Checa,8,8,16
2013-02,Republica Checa,7,10,17
2013-03,Republica Checa,4,9,13
2013-04,Republica Checa,10,8,18
2013-05,Republica Checa,11,7,18
2013-06,Republica Checa,16,12,28
2013-07,Republica Checa,25,15,40
2013-08,Republica Checa,7,8,15
2013-09,Republica Checa,13,9,22
2013-10,Republica Checa,1,6,7
2013-11,Republica Checa,10,10,20
2013-12,Republica Checa,3,3,6
2014-01,Republica Checa,6,4,10
2014-02,Republica Checa,5,6,11
2014-03,Republica Checa,6,7,13
2014-04,Republica Checa,8,11,19
2014-05,Republica Checa,9,6,15
2014-06,Republica Checa,15,11,26
2014-07,Republica Checa,9,5,14
2014-08,Republica Checa,9,12,21
2014-09,Republica Checa,12,15,27
2014-10,Republica Checa,13,14,27
2014-11,Republica Checa,2,6,8
2014-12,Republica Checa,4,7,11
2015-01,Republica Checa,4,10,14
2015-02,Republica Checa,15,10,25
2015-03,Republica Checa,4,12,16
2015-04,Republica Checa,5,9,14
2015-05,Republica Checa,12,18,30
2015-06,Republica Checa,28,30,58
2015-07,Republica Checa,12,9,21
2015-08,Republica Checa,4,3,7
2015-09,Republica Checa,11,13,24
2015-10,Republica Checa,9,6,15
2015-11,Republica Checa,3,8,11
2015-12,Republica Checa,8,3,11
2016-01,Republica Checa,7,12,19
2016-02,Republica Checa,3,5,8
2016-03,Republica Checa,10,9,19
2016-04,Republica Checa,6,10,16
2016-05,Republica Checa,10,11,21
2016-06,Republica Checa,23,12,35
2016-07,Republica Checa,10,10,20
2016-08,Republica Checa,9,6,15
2016-09,Republica Checa,16,26,42
2016-10,Republica Checa,8,11,19
2016-11,Republica Checa,7,3,10
2016-12,Republica Checa,4,2,6
2017-01,Republica Checa,7,14,21
2017-02,Republica Checa,3,6,9
2017-03,Republica Checa,8,20,28
2017-04,Republica Checa,12,11,23
2017-05,Republica Checa,39,35,74
2017-06,Republica Checa,21,26,47
2017-07,Republica Checa,18,11,29
2017-08,Republica Checa,11,15,26
2017-09,Republica Checa,8,13,21
2017-11,Republica Checa,4,11,15
2017-12,Republica Checa,19,10,29
2018-01,Republica Checa,13,18,31
2018-02,Republica Checa,15,10,25
2018-03,Republica Checa,17,30,47
2018-04,Republica Checa,15,7,22
