Fecha,País destino,Femenino,Masculino,Total
2012-10,República Centroafricana,0,1,1
2013-08,República Centroafricana,0,1,1
2013-10,República Centroafricana,1,5,6
2013-11,República Centroafricana,0,2,2
2014-01,República Centroafricana,1,0,1
2014-02,República Centroafricana,1,0,1
2014-03,República Centroafricana,1,0,1
2014-04,República Centroafricana,1,1,2
2014-06,República Centroafricana,2,2,4
2014-08,República Centroafricana,1,1,2
2014-10,República Centroafricana,2,1,3
2014-11,República Centroafricana,1,1,2
2014-12,República Centroafricana,0,3,3
2015-01,República Centroafricana,1,1,2
2015-02,República Centroafricana,3,0,3
2015-04,República Centroafricana,0,3,3
2015-05,República Centroafricana,3,1,4
2015-06,República Centroafricana,3,3,6
2015-07,República Centroafricana,1,3,4
2015-08,República Centroafricana,4,2,6
2015-09,República Centroafricana,1,2,3
2015-10,República Centroafricana,2,1,3
2015-11,República Centroafricana,1,0,1
2016-01,República Centroafricana,1,1,2
2016-02,República Centroafricana,1,2,3
2016-03,República Centroafricana,1,1,2
2016-05,República Centroafricana,1,2,3
2016-06,República Centroafricana,1,0,1
2016-07,República Centroafricana,2,3,5
2016-08,República Centroafricana,4,1,5
2016-10,República Centroafricana,1,1,2
2016-11,República Centroafricana,1,2,3
2016-12,República Centroafricana,6,3,9
2017-01,República Centroafricana,5,2,7
2017-03,República Centroafricana,0,2,2
2017-04,República Centroafricana,6,1,7
2017-05,República Centroafricana,3,0,3
2017-06,República Centroafricana,4,6,10
2017-07,República Centroafricana,6,2,8
2017-08,República Centroafricana,5,0,5
2017-09,República Centroafricana,1,0,1
2017-11,República Centroafricana,0,1,1
2017-12,República Centroafricana,0,1,1
2018-01,República Centroafricana,4,4,8
2018-02,República Centroafricana,1,2,3
2018-03,República Centroafricana,4,1,5
2018-04,República Centroafricana,5,1,6
2018-05,República Centroafricana,6,8,14
2018-06,República Centroafricana,8,5,13
2018-07,República Centroafricana,0,1,1
2018-08,República Centroafricana,1,2,3
2018-09,República Centroafricana,1,1,2
2018-10,República Centroafricana,5,4,9
2018-11,República Centroafricana,9,2,11
2018-12,República Centroafricana,4,3,7
2019-01,República Centroafricana,3,0,3
2019-02,República Centroafricana,3,2,5
2019-03,República Centroafricana,1,1,2
2019-04,República Centroafricana,2,1,3
2019-05,República Centroafricana,2,3,5
2019-06,República Centroafricana,3,2,5
2019-07,República Centroafricana,5,3,8
2019-08,República Centroafricana,6,2,8
2019-09,República Centroafricana,0,2,2
2019-11,República Centroafricana,0,1,1
2019-12,República Centroafricana,2,2,4
2020-01,República Centroafricana,1,1,2
2020-02,República Centroafricana,2,1,3
2020-03,República Centroafricana,1,2,3
2020-07,República Centroafricana,1,0,1
2020-11,República Centroafricana,2,1,3
2021-01,República Centroafricana,0,1,1
2021-02,República Centroafricana,2,1,3
2021-03,República Centroafricana,0,1,1
2021-04,República Centroafricana,0,1,1
2021-08,República Centroafricana,1,0,1
2021-09,República Centroafricana,1,0,1
2021-10,República Centroafricana,1,1,2
2021-11,República Centroafricana,2,1,3
2021-12,República Centroafricana,2,2,4
2022-01,República Centroafricana,3,3,6
2022-02,República Centroafricana,2,0,2
2022-03,República Centroafricana,4,3,7
2022-04,República Centroafricana,2,1,3
2022-05,República Centroafricana,1,2,3
2022-06,República Centroafricana,2,2,4
2022-07,República Centroafricana,1,2,3
2022-08,República Centroafricana,1,0,1
2022-09,República Centroafricana,1,2,3
2022-10,República Centroafricana,3,0,3
2022-11,República Centroafricana,3,5,8
2022-12,República Centroafricana,3,4,7
2023-01,República Centroafricana,3,1,4
2023-02,República Centroafricana,4,1,5
2023-03,República Centroafricana,3,2,5
2023-04,República Centroafricana,1,2,3
2023-05,República Centroafricana,0,1,1
2023-06,República Centroafricana,0,4,4
2023-07,República Centroafricana,3,1,4
2023-08,República Centroafricana,3,4,7
2023-09,República Centroafricana,2,4,6
2023-10,República Centroafricana,3,1,4
2023-11,República Centroafricana,17,13,30
2023-12,República Centroafricana,14,8,22
2024-01,República Centroafricana,3,2,5
2024-02,República Centroafricana,8,2,10
2024-03,República Centroafricana,5,6,11
2024-04,República Centroafricana,4,1,5
2024-05,República Centroafricana,1,0,1
2024-06,República Centroafricana,2,0,2
2024-07,República Centroafricana,0,1,1
2024-08,República Centroafricana,4,2,6
2024-09,República Centroafricana,1,0,1
2024-10,República Centroafricana,12,5,17
2024-11,República Centroafricana,2,2,4
2024-12,República Centroafricana,6,5,11
2025-01,República Centroafricana,7,2,9
2025-02,República Centroafricana,3,0,3
2025-04,República Centroafricana,2,5,7
2025-05,República Centroafricana,2,3,5
2025-06,República Centroafricana,6,2,8
2025-07,República Centroafricana,2,4,6
2025-08,República Centroafricana,2,6,8
2025-09,República Centroafricana,4,2,6
2025-10,República Centroafricana,1,2,3
2025-11,República Centroafricana,1,3,4
2025-12,República Centroafricana,6,0,6
