Fecha,País destino,Femenino,Masculino,Total
2012-01,República De Moldova,0,2,2
2012-02,República De Moldova,0,1,1
2012-03,República De Moldova,1,1,2
2012-04,República De Moldova,1,0,1
2012-06,República De Moldova,1,1,2
2012-08,República De Moldova,2,2,4
2012-10,República De Moldova,2,1,3
2012-11,República De Moldova,1,0,1
2013-02,República De Moldova,1,2,3
2013-05,República De Moldova,2,1,3
2013-07,República De Moldova,1,0,1
2014-08,República De Moldova,1,0,1
2016-02,República De Moldova,1,0,1
2016-12,República De Moldova,1,0,1
2018-03,República De Moldova,0,1,1
2018-05,República De Moldova,1,0,1
2018-11,República De Moldova,1,0,1
2019-01,República De Moldova,1,0,1
2019-04,República De Moldova,0,1,1
2019-07,República De Moldova,0,1,1
2019-11,República De Moldova,1,0,1
2020-01,República De Moldova,0,1,1
2020-10,República De Moldova,1,0,1
2021-01,República De Moldova,0,2,2
2021-03,República De Moldova,2,0,2
2021-06,República De Moldova,1,2,3
2021-08,República De Moldova,0,1,1
2021-09,República De Moldova,1,1,2
2021-11,República De Moldova,0,1,1
2022-02,República De Moldova,0,1,1
2022-04,República De Moldova,0,1,1
2022-09,República De Moldova,1,0,1
2022-10,República De Moldova,1,0,1
2022-12,República De Moldova,1,1,2
2023-01,República De Moldova,1,0,1
2023-02,República De Moldova,0,1,1
2023-03,República De Moldova,0,1,1
2023-04,República De Moldova,1,0,1
2023-06,República De Moldova,0,1,1
2023-07,República De Moldova,1,1,2
2023-09,República De Moldova,1,0,1
2024-01,República De Moldova,1,1,2
2024-03,República De Moldova,1,1,2
2024-09,República De Moldova,0,1,1
2024-11,República De Moldova,0,1,1
2024-12,República De Moldova,0,1,1
2025-02,República De Moldova,1,2,3
2025-04,República De Moldova,0,1,1
2025-05,República De Moldova,0,3,3
2025-06,República De Moldova,0,30,30
2025-07,República De Moldova,0,4,4
2025-09,República De Moldova,0,7,7
2025-11,República De Moldova,1,10,11
2025-12,República De Moldova,0,4,4
