Fecha,País destino,Femenino,Masculino,Total
2012-01,República Dominicana,567,554,1122
2012-02,República Dominicana,819,1081,335
2012-03,República Dominicana,313,308,621
2012-04,República Dominicana,222,255,477
2012-05,República Dominicana,1288,276,609
2012-06,República Dominicana,887,663,1550
2012-07,República Dominicana,481,409,890
2012-08,República Dominicana,476,411,887
2012-09,República Dominicana,255,293,548
2012-10,República Dominicana,472,456,928
2012-11,República Dominicana,373,347,720
2012-12,República Dominicana,509,333,843
2013-01,República Dominicana,398,394,793
2013-02,República Dominicana,857,994,307
2013-03,República Dominicana,364,358,722
2013-04,República Dominicana,1082,255,466
2013-05,República Dominicana,260,266,526
2013-06,República Dominicana,431,434,866
2013-07,República Dominicana,287,292,579
2013-08,República Dominicana,256,274,531
2013-09,República Dominicana,180,227,407
2013-10,República Dominicana,261,257,519
2013-11,República Dominicana,235,254,489
2013-12,República Dominicana,411,346,758
2014-01,República Dominicana,396,392,789
2014-02,República Dominicana,915,1033,352
2014-03,República Dominicana,184,216,400
2014-04,República Dominicana,295,293,589
2014-05,República Dominicana,258,299,558
2014-06,República Dominicana,465,412,877
2014-07,República Dominicana,266,232,499
2014-08,República Dominicana,283,264,547
2014-09,República Dominicana,231,246,478
2014-10,República Dominicana,354,381,735
2014-11,República Dominicana,355,317,672
2014-12,República Dominicana,517,435,953
2015-01,República Dominicana,518,514,1032
2015-02,República Dominicana,1178,249,468
2015-03,República Dominicana,387,407,795
2015-04,República Dominicana,400,414,814
2015-05,República Dominicana,287,254,542
2015-06,República Dominicana,816,764,1581
2015-07,República Dominicana,552,521,1073
2015-08,República Dominicana,807,594,1402
2015-09,República Dominicana,541,480,1021
2015-10,República Dominicana,527,519,1047
2015-11,República Dominicana,537,504,1042
2015-12,República Dominicana,712,470,1183
2016-01,República Dominicana,761,620,1382
2016-02,República Dominicana,328,299,628
2016-03,República Dominicana,413,381,795
2016-04,República Dominicana,456,363,819
2016-05,República Dominicana,583,480,1063
2016-06,República Dominicana,799,616,1415
2016-07,República Dominicana,531,505,1037
2016-08,República Dominicana,793,719,1513
2016-09,República Dominicana,572,450,1023
2016-10,República Dominicana,667,566,1234
2016-11,República Dominicana,488,420,909
2016-12,República Dominicana,607,526,1134
2017-01,República Dominicana,650,568,1219
2017-02,República Dominicana,346,310,657
2017-03,República Dominicana,387,410,797
2017-04,República Dominicana,621,542,1163
2017-05,República Dominicana,611,541,1152
2017-06,República Dominicana,484,414,899
2017-07,República Dominicana,394,405,800
2017-08,República Dominicana,514,485,1000
2017-09,República Dominicana,158,161,320
2017-10,República Dominicana,247,255,502
2017-11,República Dominicana,617,518,1136
2017-12,República Dominicana,582,476,1058
2018-01,República Dominicana,484,439,923
2018-02,República Dominicana,309,297,607
2018-03,República Dominicana,452,354,807
2018-04,República Dominicana,406,345,752
2018-05,República Dominicana,383,369,752
2018-06,República Dominicana,475,364,839
2018-07,República Dominicana,428,375,803
2018-08,República Dominicana,584,463,1048
2018-09,República Dominicana,678,558,1236
2018-10,República Dominicana,814,675,1490
2018-11,República Dominicana,601,493,1095
2018-12,República Dominicana,840,724,1564
2019-01,República Dominicana,680,603,1283
2019-02,República Dominicana,570,445,1015
2019-03,República Dominicana,498,421,919
2019-04,República Dominicana,684,620,1304
2019-05,República Dominicana,737,561,1300
2019-06,República Dominicana,695,608,1304
2019-07,República Dominicana,565,463,1028
2019-08,República Dominicana,821,593,1415
2019-09,República Dominicana,668,514,1183
2019-10,República Dominicana,697,863,1560
2019-11,República Dominicana,621,482,1104
2019-12,República Dominicana,849,671,1521
2020-01,República Dominicana,746,672,1418
2020-02,República Dominicana,430,306,736
2020-03,República Dominicana,269,224,493
2020-04,República Dominicana,12,17,29
2020-05,República Dominicana,4,11,15
2020-06,República Dominicana,24,28,52
2020-07,República Dominicana,11,32,43
2020-08,República Dominicana,27,42,69
2020-09,República Dominicana,25,50,75
2020-10,República Dominicana,691,703,111
2020-11,República Dominicana,273,237,510
2020-12,República Dominicana,496,366,863
2021-01,República Dominicana,461,391,853
2021-02,República Dominicana,330,268,599
2021-03,República Dominicana,927,736,566
2021-04,República Dominicana,757,549,1307
2021-05,República Dominicana,982,735,463
2021-06,República Dominicana,1323,985,858
2021-07,República Dominicana,464,358,823
2021-08,República Dominicana,616,459,1076
2021-09,República Dominicana,519,404,924
2021-10,República Dominicana,765,629,1396
2021-11,República Dominicana,416,353,770
2021-12,República Dominicana,607,493,1101
2022-01,República Dominicana,441,391,832
2022-02,República Dominicana,541,474,1015
2022-03,República Dominicana,728,579,1307
2022-04,República Dominicana,796,614,1410
2022-05,República Dominicana,696,584,1281
2022-06,República Dominicana,577,449,1027
2022-07,República Dominicana,692,575,1267
2022-08,República Dominicana,1063,899,670
2022-09,República Dominicana,1272,1073,947
2022-10,República Dominicana,1379,1175,1060
2022-11,República Dominicana,1050,910,1962
2022-12,República Dominicana,1552,1312,1457
2023-01,República Dominicana,1344,1181,1181
2023-02,República Dominicana,756,621,1377
2023-03,República Dominicana,1148,1008,1071
2023-04,República Dominicana,1263,1098,1205
2023-05,República Dominicana,1125,923,2049
2023-06,República Dominicana,1692,1422,1699
2023-07,República Dominicana,1343,1097,1182
2023-08,República Dominicana,1583,1312,1560
2023-09,República Dominicana,1689,1221,1553
2023-10,República Dominicana,1891,1445,2111
2023-11,República Dominicana,1618,1292,1866
2023-12,República Dominicana,1752,1310,1963
2024-01,República Dominicana,1184,986,1133
2024-02,República Dominicana,959,783,1744
2024-03,República Dominicana,1345,1039,2386
2024-04,República Dominicana,1286,957,2243
2024-05,República Dominicana,1681,1175,1820
2024-06,República Dominicana,1950,1467,898
2024-07,República Dominicana,1761,1316,1795
2024-08,República Dominicana,2146,1583,1040
2024-09,República Dominicana,1946,1450,2095
2024-10,República Dominicana,2289,1653,1284
2024-11,República Dominicana,1705,1283,1663
2024-12,República Dominicana,1659,1219,1436
2025-01,República Dominicana,1588,1350,1368
2025-02,República Dominicana,1116,803,1920
2025-03,República Dominicana,1382,1083,1441
2025-04,República Dominicana,1678,1214,1651
2025-05,República Dominicana,1554,1139,2695
2025-06,República Dominicana,1813,1393,777
2025-07,República Dominicana,1966,1488,1974
2025-08,República Dominicana,1277,1758,1185
2025-09,República Dominicana,1777,1254,1704
2025-10,República Dominicana,2317,1666,1251
2025-11,República Dominicana,1579,1060,2641
2025-12,República Dominicana,949,722,1672
