Fecha,País destino,Femenino,Masculino,Total
2012-01,República Unida De Tanzanía,0,1,1
2012-03,República Unida De Tanzanía,0,1,1
2012-04,República Unida De Tanzanía,0,1,1
2012-05,República Unida De Tanzanía,1,0,1
2012-08,República Unida De Tanzanía,0,1,1
2012-10,República Unida De Tanzanía,0,1,1
2013-08,República Unida De Tanzanía,1,1,2
2013-09,República Unida De Tanzanía,1,1,2
2013-10,República Unida De Tanzanía,0,3,3
2013-11,República Unida De Tanzanía,2,1,3
2013-12,República Unida De Tanzanía,0,1,1
2014-01,República Unida De Tanzanía,1,2,3
2014-03,República Unida De Tanzanía,1,0,1
2014-05,República Unida De Tanzanía,2,0,2
2014-06,República Unida De Tanzanía,1,1,2
2014-07,República Unida De Tanzanía,3,4,7
2014-08,República Unida De Tanzanía,3,2,5
2014-09,República Unida De Tanzanía,0,1,1
2014-10,República Unida De Tanzanía,0,2,2
2014-11,República Unida De Tanzanía,1,1,2
2014-12,República Unida De Tanzanía,0,1,1
2015-01,República Unida De Tanzanía,0,1,1
2015-02,República Unida De Tanzanía,1,0,1
2015-03,República Unida De Tanzanía,1,1,2
2015-04,República Unida De Tanzanía,0,2,2
2015-05,República Unida De Tanzanía,0,3,3
2015-08,República Unida De Tanzanía,0,1,1
2015-09,República Unida De Tanzanía,1,2,3
2015-10,República Unida De Tanzanía,2,3,5
2015-12,República Unida De Tanzanía,5,2,7
2016-02,República Unida De Tanzanía,0,2,2
2016-03,República Unida De Tanzanía,0,2,2
2016-04,República Unida De Tanzanía,0,1,1
2016-05,República Unida De Tanzanía,1,1,2
2016-06,República Unida De Tanzanía,0,1,1
2016-07,República Unida De Tanzanía,2,3,5
2016-08,República Unida De Tanzanía,4,3,7
2016-09,República Unida De Tanzanía,0,3,3
2016-10,República Unida De Tanzanía,1,0,1
2016-11,República Unida De Tanzanía,3,2,5
2016-12,República Unida De Tanzanía,1,1,2
2017-01,República Unida De Tanzanía,0,3,3
2017-02,República Unida De Tanzanía,2,3,5
2017-03,República Unida De Tanzanía,3,1,4
2017-05,República Unida De Tanzanía,1,1,2
