Fecha,País destino,Femenino,Masculino,Total
2012-01,Reunión,3,1,4
2012-02,Reunión,2,0,2
2012-03,Reunión,0,1,1
2012-04,Reunión,1,1,2
2012-05,Reunión,0,2,2
2012-07,Reunión,1,3,4
2012-09,Reunión,1,0,1
2012-10,Reunión,0,1,1
2012-11,Reunión,1,0,1
2012-12,Reunión,1,0,1
2013-02,Reunión,0,1,1
2013-03,Reunión,0,1,1
2013-05,Reunión,1,1,2
2013-07,Reunión,0,2,2
2013-08,Reunión,1,0,1
2013-09,Reunión,1,0,1
2013-10,Reunión,1,1,2
2014-05,Reunión,1,0,1
2014-06,Reunión,0,1,1
2014-08,Reunión,0,1,1
2014-09,Reunión,1,1,2
2014-11,Reunión,1,1,2
2015-01,Reunión,0,2,2
2015-03,Reunión,0,1,1
2015-04,Reunión,1,0,1
2015-06,Reunión,1,1,2
2015-08,Reunión,0,1,1
2015-09,Reunión,1,1,2
2015-10,Reunión,1,0,1
2015-11,Reunión,2,0,2
2015-12,Reunión,1,1,2
2016-01,Reunión,1,2,3
2016-02,Reunión,1,1,2
2016-04,Reunión,1,0,1
2016-07,Reunión,1,0,1
2016-09,Reunión,1,0,1
2016-12,Reunión,3,2,5
2017-01,Reunión,0,2,2
2017-02,Reunión,0,1,1
2017-06,Reunión,1,0,1
2017-07,Reunión,1,0,1
2017-08,Reunión,1,0,1
2017-12,Reunión,0,1,1
2018-01,Reunión,0,1,1
2018-02,Reunión,0,1,1
2018-03,Reunión,0,1,1
2018-04,Reunión,1,2,3
2018-05,Reunión,1,1,2
2018-06,Reunión,1,2,3
2018-07,Reunión,5,1,6
2018-08,Reunión,0,1,1
2018-09,Reunión,0,1,1
2018-10,Reunión,1,1,2
2018-11,Reunión,0,1,1
2019-01,Reunión,0,1,1
2019-04,Reunión,2,0,2
2019-06,Reunión,1,1,2
2019-07,Reunión,0,2,2
2019-09,Reunión,3,0,3
2019-10,Reunión,1,0,1
2019-11,Reunión,1,0,1
2019-12,Reunión,0,1,1
2020-01,Reunión,2,0,2
2020-02,Reunión,1,0,1
2020-11,Reunión,0,1,1
2020-12,Reunión,1,0,1
2021-02,Reunión,0,1,1
2021-05,Reunión,1,0,1
2021-07,Reunión,0,1,1
2021-11,Reunión,1,0,1
2021-12,Reunión,1,0,1
2022-01,Reunión,2,0,2
2022-05,Reunión,1,0,1
2022-06,Reunión,0,1,1
2022-08,Reunión,0,1,1
2022-11,Reunión,1,0,1
2023-01,Reunión,3,0,3
2023-02,Reunión,1,0,1
2023-03,Reunión,1,1,2
2023-04,Reunión,0,1,1
2023-05,Reunión,1,0,1
2023-06,Reunión,1,1,2
2023-07,Reunión,2,0,2
2023-08,Reunión,2,0,2
2023-09,Reunión,1,0,1
2023-10,Reunión,1,0,1
2023-11,Reunión,0,2,2
2024-06,Reunión,1,0,1
2024-07,Reunión,1,1,2
2024-09,Reunión,1,2,3
2024-10,Reunión,2,0,2
2024-11,Reunión,1,1,2
2024-12,Reunión,0,1,1
2025-02,Reunión,1,0,1
2025-04,Reunión,0,1,1
2025-06,Reunión,2,4,6
2025-08,Reunión,1,1,2
2025-10,Reunión,2,1,3
2025-11,Reunión,1,0,1
