Fecha,País destino,Femenino,Masculino,Total
2012-11,Ruanda,0,2,2
2013-01,Ruanda,0,3,3
2013-02,Ruanda,1,0,1
2013-03,Ruanda,0,1,1
2013-06,Ruanda,0,1,1
2013-11,Ruanda,0,1,1
2013-12,Ruanda,1,0,1
2014-01,Ruanda,0,1,1
2014-02,Ruanda,1,0,1
2014-03,Ruanda,0,1,1
2014-05,Ruanda,2,0,2
2014-08,Ruanda,1,0,1
2014-10,Ruanda,1,1,2
2014-11,Ruanda,0,1,1
2015-07,Ruanda,0,1,1
2015-08,Ruanda,1,0,1
2015-10,Ruanda,0,1,1
2016-02,Ruanda,1,0,1
2016-09,Ruanda,0,1,1
2017-01,Ruanda,0,1,1
2017-04,Ruanda,0,1,1
2017-05,Ruanda,0,1,1
2017-06,Ruanda,0,1,1
2017-08,Ruanda,1,0,1
2017-09,Ruanda,0,1,1
2017-11,Ruanda,0,1,1
2018-04,Ruanda,1,0,1
2018-05,Ruanda,0,1,1
2018-07,Ruanda,1,0,1
2018-08,Ruanda,0,2,2
2018-10,Ruanda,1,1,2
2019-03,Ruanda,1,0,1
2019-04,Ruanda,0,1,1
2019-06,Ruanda,0,2,2
2019-07,Ruanda,0,1,1
2019-08,Ruanda,1,0,1
2019-09,Ruanda,0,1,1
2019-12,Ruanda,1,1,2
2020-01,Ruanda,0,3,3
2020-02,Ruanda,1,0,1
2020-03,Ruanda,2,0,2
2021-01,Ruanda,0,2,2
2021-04,Ruanda,0,5,5
2021-06,Ruanda,0,1,1
2021-07,Ruanda,3,0,3
2021-09,Ruanda,1,1,2
2021-10,Ruanda,0,2,2
2021-11,Ruanda,1,2,3
2022-01,Ruanda,1,0,1
2022-02,Ruanda,0,1,1
2022-03,Ruanda,0,2,2
2022-04,Ruanda,0,1,1
2022-05,Ruanda,0,4,4
2022-06,Ruanda,2,2,4
2022-07,Ruanda,1,3,4
2022-08,Ruanda,1,1,2
2022-09,Ruanda,5,1,6
2022-10,Ruanda,1,0,1
2022-11,Ruanda,4,3,7
2023-01,Ruanda,0,2,2
2023-02,Ruanda,4,4,8
2023-03,Ruanda,0,3,3
2023-06,Ruanda,3,3,6
2023-07,Ruanda,3,5,8
2023-08,Ruanda,1,1,2
2023-10,Ruanda,3,2,5
2023-11,Ruanda,0,1,1
2024-02,Ruanda,0,2,2
2024-03,Ruanda,0,1,1
2024-07,Ruanda,2,1,3
2024-10,Ruanda,0,1,1
2024-11,Ruanda,1,0,1
2025-01,Ruanda,1,0,1
2025-02,Ruanda,1,1,2
2025-03,Ruanda,0,1,1
2025-05,Ruanda,0,1,1
2025-06,Ruanda,1,3,4
2025-08,Ruanda,1,0,1
2025-09,Ruanda,2,0,2
2025-11,Ruanda,0,1,1
2025-12,Ruanda,1,0,1
