Fecha,País destino,Femenino,Masculino,Total
2012-01,Rumania,5,7,12
2012-02,Rumania,1,5,6
2012-03,Rumania,1,2,3
2012-04,Rumania,5,8,13
2012-05,Rumania,4,6,10
2012-06,Rumania,8,5,13
2012-07,Rumania,5,5,10
2012-08,Rumania,7,0,7
2012-09,Rumania,6,3,9
2012-10,Rumania,1,2,3
2012-11,Rumania,5,3,8
2012-12,Rumania,7,3,10
2013-01,Rumania,11,5,16
2013-02,Rumania,0,5,5
2013-03,Rumania,1,6,7
2013-04,Rumania,4,8,12
2013-05,Rumania,5,7,12
2013-06,Rumania,6,7,13
2013-07,Rumania,4,10,14
2013-08,Rumania,11,12,23
2013-09,Rumania,6,3,9
2013-10,Rumania,2,3,5
2013-11,Rumania,4,11,15
2013-12,Rumania,4,5,9
2014-01,Rumania,2,7,9
2014-02,Rumania,1,3,4
2014-03,Rumania,1,5,6
2014-04,Rumania,3,2,5
2014-05,Rumania,6,11,17
2014-06,Rumania,10,10,20
2014-07,Rumania,5,18,23
2014-08,Rumania,6,3,9
2014-09,Rumania,5,10,15
2014-10,Rumania,3,3,6
2014-11,Rumania,1,3,4
2014-12,Rumania,2,3,5
2015-01,Rumania,5,9,14
2015-02,Rumania,2,4,6
2015-03,Rumania,0,6,6
2015-04,Rumania,3,3,6
2015-05,Rumania,5,3,8
2015-06,Rumania,5,3,8
2015-07,Rumania,4,4,8
2015-08,Rumania,5,10,15
2015-09,Rumania,11,4,15
2015-10,Rumania,2,4,6
2015-11,Rumania,5,3,8
2015-12,Rumania,4,3,7
2016-01,Rumania,4,2,6
2016-02,Rumania,3,4,7
2016-03,Rumania,2,4,6
2016-04,Rumania,7,3,10
2016-05,Rumania,5,9,14
2016-06,Rumania,6,4,10
2016-07,Rumania,3,5,8
2016-08,Rumania,7,5,12
2016-09,Rumania,2,1,3
2016-10,Rumania,1,4,5
2016-11,Rumania,0,3,3
2016-12,Rumania,5,5,10
2017-01,Rumania,3,6,9
2017-02,Rumania,4,0,4
2017-03,Rumania,2,3,5
2017-04,Rumania,2,6,8
2017-05,Rumania,4,3,7
2017-06,Rumania,7,8,15
2017-07,Rumania,7,6,13
2017-08,Rumania,7,11,18
2017-09,Rumania,3,1,4
2017-11,Rumania,1,3,4
2017-12,Rumania,1,3,4
2018-01,Rumania,2,2,4
2018-02,Rumania,2,1,3
2018-03,Rumania,3,0,3
2018-04,Rumania,5,8,13
2018-05,Rumania,12,8,20
2018-06,Rumania,6,13,19
2018-07,Rumania,6,5,11
2018-08,Rumania,4,4,8
2018-09,Rumania,19,9,28
2018-10,Rumania,3,6,9
2018-11,Rumania,6,17,23
2018-12,Rumania,4,2,6
2019-01,Rumania,3,5,8
2019-02,Rumania,4,2,6
2019-03,Rumania,4,4,8
2019-04,Rumania,3,6,9
2019-05,Rumania,10,15,25
2019-06,Rumania,4,4,8
2019-07,Rumania,16,9,25
2019-08,Rumania,12,8,20
2019-09,Rumania,10,9,19
2019-10,Rumania,7,7,14
2019-11,Rumania,3,6,9
2019-12,Rumania,2,2,4
2020-01,Rumania,9,4,13
2020-02,Rumania,3,3,6
2020-03,Rumania,4,1,5
2020-08,Rumania,1,2,3
2020-10,Rumania,4,1,5
2020-11,Rumania,5,1,6
2020-12,Rumania,3,1,4
2021-01,Rumania,6,4,10
2021-02,Rumania,3,4,7
2021-03,Rumania,5,2,7
2021-04,Rumania,2,3,5
2021-05,Rumania,8,5,13
2021-06,Rumania,3,5,8
2021-07,Rumania,15,14,29
2021-08,Rumania,14,12,26
2021-09,Rumania,15,19,34
2021-10,Rumania,21,31,52
2021-11,Rumania,7,20,27
2021-12,Rumania,10,9,19
2022-01,Rumania,11,26,37
2022-02,Rumania,14,16,30
2022-03,Rumania,6,3,9
2022-04,Rumania,28,28,56
2022-05,Rumania,25,16,41
2022-06,Rumania,16,18,34
2022-07,Rumania,18,15,33
2022-08,Rumania,12,14,26
2022-09,Rumania,18,14,32
2022-10,Rumania,10,16,26
2022-11,Rumania,6,16,22
2022-12,Rumania,19,6,25
2023-01,Rumania,12,11,23
2023-02,Rumania,13,9,22
2023-03,Rumania,6,0,6
2023-04,Rumania,10,7,17
2023-05,Rumania,36,18,54
2023-06,Rumania,10,7,17
2023-07,Rumania,16,15,31
2023-08,Rumania,6,13,19
2023-09,Rumania,21,12,33
2023-10,Rumania,7,10,17
2023-11,Rumania,6,2,8
2023-12,Rumania,7,6,13
2024-01,Rumania,10,14,24
2024-02,Rumania,10,5,15
2024-03,Rumania,8,10,18
2024-04,Rumania,10,8,18
2024-05,Rumania,16,16,32
2024-06,Rumania,28,22,50
2024-07,Rumania,8,16,24
2024-08,Rumania,8,9,17
2024-09,Rumania,6,3,9
2024-10,Rumania,10,12,22
2024-11,Rumania,3,1,4
2024-12,Rumania,7,4,11
2025-01,Rumania,9,17,26
2025-02,Rumania,4,5,9
2025-03,Rumania,10,7,17
2025-04,Rumania,11,8,19
2025-05,Rumania,15,17,32
2025-06,Rumania,27,15,42
2025-07,Rumania,12,18,30
2025-08,Rumania,6,2,8
2025-09,Rumania,5,8,13
2025-10,Rumania,5,8,13
2025-11,Rumania,4,3,7
2025-12,Rumania,7,7,14
