Fecha,País destino,Femenino,Masculino,Total
2012-03,Sahara Occidental,0,1,1
2012-04,Sahara Occidental,0,1,1
2012-07,Sahara Occidental,1,0,1
2012-10,Sahara Occidental,0,1,1
2013-03,Sahara Occidental,1,0,1
2013-06,Sahara Occidental,0,1,1
2013-08,Sahara Occidental,0,1,1
2013-09,Sahara Occidental,2,0,2
2014-03,Sahara Occidental,2,3,5
2014-05,Sahara Occidental,1,0,1
2014-07,Sahara Occidental,0,1,1
2016-07,Sahara Occidental,0,1,1
2018-01,Sahara Occidental,1,0,1
2018-10,Sahara Occidental,2,0,2
2019-01,Sahara Occidental,1,0,1
2019-07,Sahara Occidental,0,1,1
2019-10,Sahara Occidental,1,1,2
2020-07,Sahara Occidental,0,1,1
2021-07,Sahara Occidental,1,0,1
2021-12,Sahara Occidental,2,0,2
2022-01,Sahara Occidental,1,0,1
2022-04,Sahara Occidental,1,0,1
2023-03,Sahara Occidental,1,0,1
2023-04,Sahara Occidental,0,1,1
2023-05,Sahara Occidental,1,0,1
2024-10,Sahara Occidental,1,0,1
2025-06,Sahara Occidental,0,1,1
