Fecha,País destino,Femenino,Masculino,Total
2012-03,San Marino,1,0,1
2012-11,San Marino,0,1,1
2013-03,San Marino,0,1,1
2013-04,San Marino,1,0,1
2013-09,San Marino,1,1,2
2013-11,San Marino,2,1,3
2014-02,San Marino,0,1,1
2014-04,San Marino,1,2,3
2014-05,San Marino,1,0,1
2014-06,San Marino,1,0,1
2014-07,San Marino,1,0,1
2014-12,San Marino,0,1,1
2015-01,San Marino,1,0,1
2015-03,San Marino,0,2,2
2015-04,San Marino,1,0,1
2015-05,San Marino,2,0,2
2015-08,San Marino,0,1,1
2015-12,San Marino,1,2,3
2017-01,San Marino,1,4,5
2017-04,San Marino,0,1,1
2017-11,San Marino,2,3,5
2018-04,San Marino,0,1,1
2018-08,San Marino,0,2,2
2019-01,San Marino,2,0,2
2019-02,San Marino,0,4,4
2019-04,San Marino,5,0,5
2019-10,San Marino,0,3,3
2019-12,San Marino,1,0,1
2021-08,San Marino,1,0,1
2022-01,San Marino,0,1,1
2022-06,San Marino,0,1,1
2022-07,San Marino,3,2,5
2022-08,San Marino,1,3,4
2022-09,San Marino,1,0,1
2022-11,San Marino,5,6,11
2022-12,San Marino,2,2,4
2023-04,San Marino,2,3,5
2023-07,San Marino,1,0,1
2023-10,San Marino,4,4,8
2023-11,San Marino,2,0,2
2024-07,San Marino,1,0,1
2025-02,San Marino,1,0,1
2025-08,San Marino,0,1,1
2025-10,San Marino,3,0,3
2025-12,San Marino,0,2,2
