Fecha,País destino,Femenino,Masculino,Total
2013-12,Santa Sede,1,1,2
2014-04,Santa Sede,1,0,1
2014-08,Santa Sede,0,1,1
2014-09,Santa Sede,1,1,2
2015-01,Santa Sede,0,1,1
2016-02,Santa Sede,0,1,1
2016-06,Santa Sede,1,1,2
2018-03,Santa Sede,1,0,1
2018-04,Santa Sede,0,1,1
2018-09,Santa Sede,0,2,2
2019-03,Santa Sede,0,1,1
2021-11,Santa Sede,1,1,2
2022-01,Santa Sede,2,0,2
2022-02,Santa Sede,1,0,1
2022-03,Santa Sede,1,1,2
2022-05,Santa Sede,5,1,6
2022-06,Santa Sede,0,1,1
2022-07,Santa Sede,2,0,2
2022-08,Santa Sede,1,0,1
2022-09,Santa Sede,2,1,3
2022-10,Santa Sede,2,1,3
2022-12,Santa Sede,1,2,3
2023-04,Santa Sede,1,1,2
2023-05,Santa Sede,1,0,1
2023-06,Santa Sede,1,0,1
2023-07,Santa Sede,1,0,1
2023-10,Santa Sede,1,1,2
2024-02,Santa Sede,1,0,1
2024-03,Santa Sede,0,1,1
2024-04,Santa Sede,1,0,1
2024-07,Santa Sede,1,0,1
2024-09,Santa Sede,1,0,1
2024-10,Santa Sede,1,0,1
2024-11,Santa Sede,0,1,1
2025-03,Santa Sede,1,0,1
2025-05,Santa Sede,3,0,3
2025-06,Santa Sede,2,1,3
2025-07,Santa Sede,1,1,2
