Fecha,País destino,Femenino,Masculino,Total
2014-03,Seychelles,1,0,1
2014-10,Seychelles,1,0,1
2015-03,Seychelles,0,1,1
2015-06,Seychelles,1,0,1
2015-07,Seychelles,1,0,1
2015-12,Seychelles,1,0,1
2017-06,Seychelles,1,0,1
2017-12,Seychelles,0,4,4
2019-03,Seychelles,1,0,1
2021-09,Seychelles,1,0,1
2022-02,Seychelles,0,1,1
2022-09,Seychelles,1,4,5
2022-10,Seychelles,0,1,1
2022-11,Seychelles,0,1,1
2023-08,Seychelles,1,0,1
2023-10,Seychelles,0,1,1
2024-05,Seychelles,0,1,1
2024-12,Seychelles,1,1,2
2025-06,Seychelles,0,1,1
