Fecha,País destino,Femenino,Masculino,Total
2012-03,Sierra Leona,0,1,1
2012-04,Sierra Leona,1,0,1
2013-03,Sierra Leona,1,0,1
2013-04,Sierra Leona,2,0,2
2014-01,Sierra Leona,5,1,6
2015-07,Sierra Leona,0,1,1
2016-01,Sierra Leona,1,0,1
2016-04,Sierra Leona,1,0,1
2016-12,Sierra Leona,0,1,1
2017-05,Sierra Leona,0,1,1
2017-09,Sierra Leona,0,2,2
2018-01,Sierra Leona,0,1,1
2018-05,Sierra Leona,1,2,3
2018-09,Sierra Leona,1,2,3
2018-10,Sierra Leona,0,1,1
2018-12,Sierra Leona,0,1,1
2019-01,Sierra Leona,1,0,1
2019-03,Sierra Leona,1,0,1
2019-10,Sierra Leona,1,0,1
2020-11,Sierra Leona,1,0,1
2021-01,Sierra Leona,0,1,1
2021-02,Sierra Leona,1,1,2
2021-03,Sierra Leona,1,0,1
2022-02,Sierra Leona,2,0,2
2022-04,Sierra Leona,0,2,2
2022-05,Sierra Leona,2,0,2
2022-07,Sierra Leona,1,0,1
2022-08,Sierra Leona,1,0,1
2022-10,Sierra Leona,0,2,2
2022-11,Sierra Leona,1,0,1
2023-01,Sierra Leona,0,2,2
2023-02,Sierra Leona,1,1,2
2023-05,Sierra Leona,1,1,2
2023-08,Sierra Leona,1,1,2
2023-09,Sierra Leona,2,0,2
2023-11,Sierra Leona,1,0,1
2023-12,Sierra Leona,2,0,2
2024-02,Sierra Leona,0,1,1
2024-03,Sierra Leona,0,1,1
2024-04,Sierra Leona,2,1,3
2024-06,Sierra Leona,1,1,2
2024-07,Sierra Leona,1,0,1
2024-08,Sierra Leona,0,2,2
2024-12,Sierra Leona,1,1,2
