Fecha,País destino,Femenino,Masculino,Total
2012-01,Singapur,13,12,25
2012-02,Singapur,10,26,36
2012-03,Singapur,30,29,59
2012-04,Singapur,11,33,44
2012-05,Singapur,48,79,127
2012-06,Singapur,17,27,44
2012-07,Singapur,13,12,25
2012-08,Singapur,23,16,39
2012-09,Singapur,21,17,38
2012-10,Singapur,11,31,42
2012-11,Singapur,16,23,39
2012-12,Singapur,35,33,68
2013-01,Singapur,22,20,42
2013-02,Singapur,22,17,39
2013-03,Singapur,20,23,43
2013-04,Singapur,14,25,39
2013-05,Singapur,14,17,31
2013-06,Singapur,17,23,40
2013-07,Singapur,13,24,37
2013-08,Singapur,18,29,47
2013-09,Singapur,11,22,33
2013-10,Singapur,18,29,47
2013-11,Singapur,16,26,42
2013-12,Singapur,16,13,29
2014-01,Singapur,22,17,39
2014-02,Singapur,10,16,26
2014-03,Singapur,23,18,41
2014-04,Singapur,20,19,39
2014-05,Singapur,31,38,69
2014-06,Singapur,21,15,36
2014-07,Singapur,25,14,39
2014-08,Singapur,12,14,26
2014-09,Singapur,14,5,19
2014-10,Singapur,11,16,27
2014-11,Singapur,6,13,19
2014-12,Singapur,24,31,55
2015-01,Singapur,24,33,57
2015-02,Singapur,14,6,20
2015-03,Singapur,24,27,51
2015-04,Singapur,12,17,29
2015-05,Singapur,5,13,18
2015-06,Singapur,23,19,42
2015-07,Singapur,17,22,39
2015-08,Singapur,19,11,30
2015-09,Singapur,17,12,29
2015-10,Singapur,18,12,30
2015-11,Singapur,21,13,34
2015-12,Singapur,17,18,35
2016-01,Singapur,15,21,36
2016-02,Singapur,6,8,14
2016-03,Singapur,8,18,26
2016-04,Singapur,16,12,28
2016-05,Singapur,11,10,21
2016-06,Singapur,18,9,27
2016-07,Singapur,8,6,14
2016-08,Singapur,20,16,36
2016-09,Singapur,10,8,18
2016-10,Singapur,17,13,30
2016-11,Singapur,12,11,23
2016-12,Singapur,18,19,37
2017-01,Singapur,17,21,38
2017-02,Singapur,16,32,48
2017-03,Singapur,18,26,44
2017-04,Singapur,18,13,31
2017-05,Singapur,14,14,28
2017-06,Singapur,18,28,46
2017-07,Singapur,16,18,34
2017-08,Singapur,19,9,28
2017-09,Singapur,7,12,19
2017-10,Singapur,1,3,4
2017-11,Singapur,36,29,65
2017-12,Singapur,25,17,42
2018-01,Singapur,15,20,35
2018-02,Singapur,7,10,17
2018-03,Singapur,15,21,36
2018-04,Singapur,15,19,34
2018-05,Singapur,17,23,40
2018-06,Singapur,31,32,63
2018-07,Singapur,29,24,53
2018-08,Singapur,6,13,19
2018-09,Singapur,8,9,17
2018-10,Singapur,30,41,71
2018-11,Singapur,17,21,38
2018-12,Singapur,32,28,60
2019-01,Singapur,22,56,78
2019-02,Singapur,19,14,33
2019-03,Singapur,17,33,50
2019-04,Singapur,22,16,38
2019-05,Singapur,16,20,36
2019-06,Singapur,29,22,51
2019-07,Singapur,16,17,33
2019-08,Singapur,9,15,24
2019-09,Singapur,18,16,34
2019-10,Singapur,29,30,59
2019-11,Singapur,17,25,42
2019-12,Singapur,24,24,48
2020-01,Singapur,27,24,51
2020-02,Singapur,11,11,22
2020-03,Singapur,2,3,5
2020-06,Singapur,3,1,4
2020-10,Singapur,6,5,11
2020-11,Singapur,1,0,1
2020-12,Singapur,3,3,6
2021-01,Singapur,7,4,11
2021-02,Singapur,3,3,6
2021-03,Singapur,2,2,4
2021-04,Singapur,2,2,4
2021-05,Singapur,0,1,1
2021-06,Singapur,0,1,1
2021-07,Singapur,1,1,2
2021-08,Singapur,5,8,13
2021-09,Singapur,2,6,8
2021-10,Singapur,2,3,5
2021-11,Singapur,3,3,6
2021-12,Singapur,6,1,7
2022-01,Singapur,8,11,19
2022-02,Singapur,4,2,6
2022-03,Singapur,4,6,10
2022-04,Singapur,8,16,24
2022-05,Singapur,24,22,46
2022-06,Singapur,19,27,46
2022-07,Singapur,20,11,31
2022-08,Singapur,24,19,43
2022-09,Singapur,13,25,38
2022-10,Singapur,67,56,123
2022-11,Singapur,30,31,61
2022-12,Singapur,37,23,60
2023-01,Singapur,42,27,69
2023-02,Singapur,33,22,55
2023-03,Singapur,30,34,64
2023-04,Singapur,22,31,53
2023-05,Singapur,33,35,68
2023-06,Singapur,37,21,58
2023-07,Singapur,15,11,26
2023-08,Singapur,11,10,21
2023-09,Singapur,15,9,24
2023-10,Singapur,17,23,40
2023-11,Singapur,12,19,31
2023-12,Singapur,12,13,25
2024-01,Singapur,28,25,53
2024-02,Singapur,13,26,39
2024-03,Singapur,15,13,28
2024-04,Singapur,12,13,25
2024-05,Singapur,16,19,35
2024-06,Singapur,41,27,68
2024-07,Singapur,13,5,18
2024-08,Singapur,7,15,22
2024-09,Singapur,14,27,41
2024-10,Singapur,25,11,36
2024-11,Singapur,5,9,14
2024-12,Singapur,26,14,40
2025-01,Singapur,19,14,33
2025-02,Singapur,4,4,8
2025-03,Singapur,4,5,9
2025-04,Singapur,16,8,24
2025-05,Singapur,6,8,14
2025-06,Singapur,12,6,18
2025-07,Singapur,26,20,46
2025-08,Singapur,12,13,25
2025-09,Singapur,23,15,38
2025-10,Singapur,9,10,19
2025-11,Singapur,16,21,37
2025-12,Singapur,17,16,33
