Fecha,País destino,Femenino,Masculino,Total
2013-12,Somalia,0,1,1
2014-09,Somalia,0,1,1
2018-02,Somalia,0,1,1
2018-09,Somalia,1,0,1
2020-01,Somalia,0,1,1
2021-02,Somalia,0,1,1
2021-03,Somalia,1,0,1
2021-05,Somalia,0,1,1
2021-11,Somalia,1,0,1
2022-01,Somalia,0,1,1
2022-03,Somalia,0,1,1
2022-05,Somalia,1,1,2
2022-06,Somalia,0,1,1
2022-09,Somalia,0,1,1
2022-10,Somalia,0,1,1
2023-01,Somalia,1,1,2
2023-09,Somalia,0,1,1
2024-01,Somalia,0,1,1
2024-07,Somalia,0,1,1
2024-08,Somalia,0,4,4
2024-11,Somalia,0,3,3
2024-12,Somalia,0,5,5
2025-01,Somalia,0,37,37
2025-02,Somalia,0,10,10
2025-03,Somalia,0,84,84
2025-04,Somalia,0,18,18
2025-05,Somalia,0,19,19
2025-06,Somalia,0,1,1
2025-07,Somalia,0,6,6
2025-08,Somalia,0,5,5
2025-09,Somalia,0,12,12
2025-10,Somalia,0,1,1
2025-11,Somalia,0,4,4
