Fecha,País destino,Femenino,Masculino,Total
2012-01,Sudáfrica,27,34,61
2012-02,Sudáfrica,7,10,17
2012-03,Sudáfrica,10,16,26
2012-04,Sudáfrica,22,15,37
2012-05,Sudáfrica,9,9,18
2012-06,Sudáfrica,10,22,32
2012-07,Sudáfrica,20,24,44
2012-08,Sudáfrica,12,11,23
2012-09,Sudáfrica,18,22,40
2012-10,Sudáfrica,12,15,27
2012-11,Sudáfrica,12,13,25
2012-12,Sudáfrica,25,18,43
2013-01,Sudáfrica,31,35,66
2013-02,Sudáfrica,20,24,44
2013-03,Sudáfrica,35,24,59
2013-04,Sudáfrica,16,16,32
2013-05,Sudáfrica,12,10,22
2013-06,Sudáfrica,19,27,46
2013-07,Sudáfrica,11,19,30
2013-08,Sudáfrica,21,37,58
2013-09,Sudáfrica,25,24,49
2013-10,Sudáfrica,22,29,51
2013-11,Sudáfrica,9,24,33
2013-12,Sudáfrica,25,28,53
2014-01,Sudáfrica,25,35,60
2014-02,Sudáfrica,11,21,32
2014-03,Sudáfrica,16,18,34
2014-04,Sudáfrica,9,17,26
2014-05,Sudáfrica,21,27,48
2014-06,Sudáfrica,32,40,72
2014-07,Sudáfrica,20,25,45
2014-08,Sudáfrica,19,17,36
2014-09,Sudáfrica,21,20,41
2014-10,Sudáfrica,11,20,31
2014-11,Sudáfrica,29,34,63
2014-12,Sudáfrica,21,26,47
2015-01,Sudáfrica,32,48,80
2015-02,Sudáfrica,11,13,24
2015-03,Sudáfrica,12,17,29
2015-04,Sudáfrica,22,14,36
2015-05,Sudáfrica,11,10,21
2015-06,Sudáfrica,8,9,17
2015-07,Sudáfrica,15,17,32
2015-08,Sudáfrica,18,20,38
2015-09,Sudáfrica,16,20,36
2015-10,Sudáfrica,18,12,30
2015-11,Sudáfrica,13,11,24
2015-12,Sudáfrica,16,14,30
2016-01,Sudáfrica,21,22,43
2016-02,Sudáfrica,7,12,19
2016-03,Sudáfrica,26,24,50
2016-04,Sudáfrica,16,8,24
2016-05,Sudáfrica,7,9,16
2016-06,Sudáfrica,13,16,29
2016-07,Sudáfrica,13,15,28
2016-08,Sudáfrica,18,16,34
2016-09,Sudáfrica,13,9,22
2016-10,Sudáfrica,20,25,45
2016-11,Sudáfrica,14,10,24
2016-12,Sudáfrica,13,14,27
2017-01,Sudáfrica,22,27,49
2017-02,Sudáfrica,9,7,16
