Fecha,País destino,Femenino,Masculino,Total
2012-01,Sudán,1,2,3
2012-04,Sudán,0,1,1
2012-05,Sudán,1,1,2
2012-06,Sudán,2,1,3
2012-07,Sudán,1,2,3
2012-08,Sudán,1,0,1
2012-09,Sudán,0,1,1
2012-11,Sudán,0,2,2
2012-12,Sudán,1,1,2
2013-02,Sudán,1,0,1
2013-04,Sudán,1,0,1
2013-05,Sudán,0,1,1
2013-07,Sudán,0,1,1
2013-08,Sudán,1,1,2
2013-09,Sudán,2,0,2
2013-11,Sudán,1,0,1
2013-12,Sudán,0,1,1
2014-01,Sudán,2,1,3
2014-02,Sudán,0,2,2
2014-03,Sudán,1,0,1
2014-04,Sudán,1,2,3
2014-05,Sudán,0,2,2
2014-07,Sudán,0,2,2
2014-08,Sudán,0,2,2
2014-09,Sudán,0,3,3
2014-10,Sudán,3,1,4
2014-12,Sudán,0,1,1
2015-01,Sudán,0,1,1
2015-05,Sudán,1,0,1
2015-08,Sudán,3,0,3
2015-09,Sudán,1,1,2
2015-10,Sudán,0,2,2
2016-01,Sudán,1,3,4
2016-03,Sudán,0,2,2
2016-04,Sudán,0,1,1
2016-05,Sudán,0,2,2
2016-07,Sudán,0,2,2
2016-08,Sudán,0,1,1
2016-09,Sudán,1,1,2
2017-01,Sudán,1,3,4
2017-03,Sudán,0,2,2
2017-04,Sudán,0,2,2
2017-05,Sudán,0,1,1
2017-06,Sudán,0,1,1
2017-09,Sudán,1,0,1
2017-12,Sudán,0,1,1
2018-01,Sudán,0,2,2
2018-07,Sudán,0,1,1
2018-10,Sudán,1,0,1
2019-01,Sudán,1,2,3
2019-02,Sudán,1,0,1
2019-03,Sudán,0,1,1
2019-04,Sudán,0,1,1
2019-05,Sudán,1,0,1
2019-12,Sudán,0,1,1
2020-01,Sudán,0,1,1
2020-10,Sudán,0,1,1
2021-01,Sudán,1,0,1
2021-02,Sudán,1,1,2
2021-03,Sudán,0,1,1
2021-04,Sudán,0,2,2
2021-06,Sudán,0,1,1
2021-09,Sudán,0,1,1
2021-11,Sudán,1,1,2
2022-01,Sudán,1,0,1
2022-02,Sudán,1,0,1
2022-03,Sudán,1,0,1
2022-05,Sudán,1,0,1
2022-07,Sudán,2,1,3
2022-08,Sudán,0,1,1
2022-09,Sudán,1,0,1
2022-11,Sudán,1,2,3
2023-01,Sudán,0,1,1
2023-02,Sudán,0,2,2
2023-03,Sudán,1,1,2
2023-04,Sudán,0,1,1
2023-05,Sudán,0,1,1
2025-01,Sudán,0,1,1
2025-02,Sudán,0,2,2
2025-03,Sudán,0,3,3
2025-10,Sudán,0,1,1
