Fecha,País destino,Femenino,Masculino,Total
2012-03,Tayikistán,1,0,1
2014-12,Tayikistán,0,1,1
2015-12,Tayikistán,0,1,1
2016-06,Tayikistán,0,1,1
2017-04,Tayikistán,2,0,2
2017-09,Tayikistán,1,0,1
2018-01,Tayikistán,0,1,1
2018-06,Tayikistán,0,1,1
2018-08,Tayikistán,0,2,2
2019-07,Tayikistán,0,1,1
2020-02,Tayikistán,0,1,1
2021-01,Tayikistán,0,2,2
2021-07,Tayikistán,0,1,1
2021-08,Tayikistán,0,1,1
2021-09,Tayikistán,0,1,1
2021-11,Tayikistán,0,1,1
2021-12,Tayikistán,1,0,1
2022-01,Tayikistán,1,2,3
2022-03,Tayikistán,0,1,1
2022-06,Tayikistán,0,3,3
2022-12,Tayikistán,0,1,1
2023-01,Tayikistán,0,2,2
2023-03,Tayikistán,0,1,1
2023-05,Tayikistán,0,1,1
2023-06,Tayikistán,0,1,1
2023-07,Tayikistán,0,1,1
2023-08,Tayikistán,1,0,1
2023-11,Tayikistán,0,1,1
2023-12,Tayikistán,0,1,1
2024-01,Tayikistán,0,1,1
2024-07,Tayikistán,0,1,1
2024-09,Tayikistán,1,1,2
2025-04,Tayikistán,1,0,1
