Fecha,País destino,Femenino,Masculino,Total
2012-05,Togo,1,0,1
2012-06,Togo,0,2,2
2012-07,Togo,0,1,1
2012-09,Togo,0,2,2
2013-04,Togo,0,1,1
2013-06,Togo,0,1,1
2014-02,Togo,0,1,1
2014-10,Togo,0,1,1
2015-06,Togo,2,2,4
2015-11,Togo,1,0,1
2016-05,Togo,0,1,1
2017-12,Togo,3,1,4
2018-03,Togo,0,1,1
2018-10,Togo,1,0,1
2018-11,Togo,1,0,1
2018-12,Togo,1,0,1
2019-01,Togo,1,0,1
2019-03,Togo,1,1,2
2019-10,Togo,1,0,1
2020-01,Togo,0,1,1
2022-01,Togo,1,0,1
2022-05,Togo,1,0,1
2022-10,Togo,1,0,1
2023-02,Togo,0,1,1
2023-03,Togo,0,1,1
2023-04,Togo,3,0,3
2023-05,Togo,0,1,1
2023-06,Togo,0,1,1
2023-07,Togo,0,1,1
2023-10,Togo,0,1,1
2024-01,Togo,0,1,1
2024-02,Togo,1,0,1
2024-03,Togo,0,1,1
2024-06,Togo,0,1,1
2025-09,Togo,1,0,1
2025-10,Togo,1,0,1
2025-12,Togo,1,0,1
