Fecha,País destino,Femenino,Masculino,Total
2012-01,Trinidad Y Tobago,72,72,144
2012-02,Trinidad Y Tobago,48,91,139
2012-03,Trinidad Y Tobago,67,76,143
2012-04,Trinidad Y Tobago,66,97,163
2012-05,Trinidad Y Tobago,61,74,135
2012-06,Trinidad Y Tobago,58,49,107
2012-07,Trinidad Y Tobago,62,80,142
2012-08,Trinidad Y Tobago,52,52,104
2012-09,Trinidad Y Tobago,54,56,110
2012-10,Trinidad Y Tobago,48,79,127
2012-11,Trinidad Y Tobago,58,89,147
2012-12,Trinidad Y Tobago,50,63,113
2013-01,Trinidad Y Tobago,93,115,208
2013-02,Trinidad Y Tobago,39,43,82
2013-03,Trinidad Y Tobago,48,89,137
2013-04,Trinidad Y Tobago,50,70,120
2013-05,Trinidad Y Tobago,61,76,137
2013-06,Trinidad Y Tobago,44,54,98
2013-07,Trinidad Y Tobago,60,83,143
2013-08,Trinidad Y Tobago,61,76,137
2013-09,Trinidad Y Tobago,59,80,139
2013-10,Trinidad Y Tobago,48,82,130
2013-11,Trinidad Y Tobago,38,58,96
2013-12,Trinidad Y Tobago,51,58,109
2014-01,Trinidad Y Tobago,83,117,200
2014-02,Trinidad Y Tobago,33,60,93
2014-03,Trinidad Y Tobago,48,98,146
2014-04,Trinidad Y Tobago,64,72,136
2014-05,Trinidad Y Tobago,35,62,97
2014-06,Trinidad Y Tobago,45,60,105
2014-07,Trinidad Y Tobago,48,78,126
2014-08,Trinidad Y Tobago,59,86,145
2014-09,Trinidad Y Tobago,70,78,148
2014-10,Trinidad Y Tobago,47,70,117
2014-11,Trinidad Y Tobago,44,94,138
2014-12,Trinidad Y Tobago,61,50,111
2015-01,Trinidad Y Tobago,64,175,239
2015-02,Trinidad Y Tobago,33,55,88
2015-03,Trinidad Y Tobago,39,70,109
2015-04,Trinidad Y Tobago,44,59,103
2015-05,Trinidad Y Tobago,45,53,98
2015-06,Trinidad Y Tobago,47,53,100
2015-07,Trinidad Y Tobago,59,62,121
2015-08,Trinidad Y Tobago,36,50,86
2015-09,Trinidad Y Tobago,60,63,123
2015-10,Trinidad Y Tobago,33,48,81
2015-11,Trinidad Y Tobago,50,83,133
2015-12,Trinidad Y Tobago,58,63,121
2016-01,Trinidad Y Tobago,77,114,191
2016-02,Trinidad Y Tobago,34,62,96
2016-03,Trinidad Y Tobago,37,64,101
2016-04,Trinidad Y Tobago,60,160,220
2016-05,Trinidad Y Tobago,39,52,91
2016-06,Trinidad Y Tobago,52,76,128
2016-07,Trinidad Y Tobago,54,64,118
2016-08,Trinidad Y Tobago,52,79,131
2016-09,Trinidad Y Tobago,47,63,110
2016-10,Trinidad Y Tobago,33,90,123
2016-11,Trinidad Y Tobago,33,69,102
2016-12,Trinidad Y Tobago,36,37,73
2017-01,Trinidad Y Tobago,66,106,172
2017-02,Trinidad Y Tobago,26,33,59
2017-03,Trinidad Y Tobago,27,54,81
2017-04,Trinidad Y Tobago,29,46,75
2017-05,Trinidad Y Tobago,31,53,84
2017-06,Trinidad Y Tobago,43,59,102
2017-07,Trinidad Y Tobago,36,56,92
2017-08,Trinidad Y Tobago,42,53,95
2017-09,Trinidad Y Tobago,34,48,82
2017-10,Trinidad Y Tobago,3,23,26
2017-11,Trinidad Y Tobago,31,55,86
2017-12,Trinidad Y Tobago,50,42,92
2018-01,Trinidad Y Tobago,41,65,106
2018-02,Trinidad Y Tobago,14,27,41
2018-03,Trinidad Y Tobago,41,56,97
2018-04,Trinidad Y Tobago,24,53,77
2018-05,Trinidad Y Tobago,23,37,60
2018-06,Trinidad Y Tobago,34,47,81
2018-07,Trinidad Y Tobago,29,43,72
2018-08,Trinidad Y Tobago,36,46,82
2018-09,Trinidad Y Tobago,30,64,94
2018-10,Trinidad Y Tobago,42,54,96
2018-11,Trinidad Y Tobago,35,50,85
2018-12,Trinidad Y Tobago,28,33,61
2019-01,Trinidad Y Tobago,58,98,156
2019-02,Trinidad Y Tobago,25,53,78
2019-03,Trinidad Y Tobago,28,47,75
2019-04,Trinidad Y Tobago,37,65,102
2019-05,Trinidad Y Tobago,48,55,103
2019-06,Trinidad Y Tobago,36,36,72
2019-07,Trinidad Y Tobago,50,85,135
2019-08,Trinidad Y Tobago,41,84,125
2019-09,Trinidad Y Tobago,31,87,118
2019-10,Trinidad Y Tobago,37,82,119
2019-11,Trinidad Y Tobago,32,64,96
2019-12,Trinidad Y Tobago,27,37,64
2020-01,Trinidad Y Tobago,32,79,111
2020-02,Trinidad Y Tobago,22,51,73
2020-03,Trinidad Y Tobago,13,28,41
2020-09,Trinidad Y Tobago,0,12,12
2020-10,Trinidad Y Tobago,1,14,15
2020-11,Trinidad Y Tobago,0,2,2
2020-12,Trinidad Y Tobago,1,1,2
2021-01,Trinidad Y Tobago,0,2,2
2021-02,Trinidad Y Tobago,1,1,2
2021-03,Trinidad Y Tobago,0,2,2
2021-05,Trinidad Y Tobago,0,1,1
2021-06,Trinidad Y Tobago,1,0,1
2021-07,Trinidad Y Tobago,2,14,16
2021-08,Trinidad Y Tobago,5,42,47
2021-09,Trinidad Y Tobago,16,23,39
2021-10,Trinidad Y Tobago,19,24,43
2021-11,Trinidad Y Tobago,14,31,45
2021-12,Trinidad Y Tobago,23,23,46
2022-01,Trinidad Y Tobago,27,36,63
2022-02,Trinidad Y Tobago,23,35,58
2022-03,Trinidad Y Tobago,29,34,63
2022-04,Trinidad Y Tobago,24,36,60
2022-05,Trinidad Y Tobago,31,51,82
2022-06,Trinidad Y Tobago,22,37,59
2022-07,Trinidad Y Tobago,22,50,72
2022-08,Trinidad Y Tobago,35,37,72
2022-09,Trinidad Y Tobago,36,38,74
2022-10,Trinidad Y Tobago,29,46,75
2022-11,Trinidad Y Tobago,17,36,53
2022-12,Trinidad Y Tobago,26,33,59
2023-01,Trinidad Y Tobago,35,60,95
2023-02,Trinidad Y Tobago,19,29,48
2023-03,Trinidad Y Tobago,22,38,60
2023-04,Trinidad Y Tobago,19,39,58
2023-05,Trinidad Y Tobago,22,37,59
2023-06,Trinidad Y Tobago,26,42,68
2023-07,Trinidad Y Tobago,23,41,64
2023-08,Trinidad Y Tobago,31,43,74
2023-09,Trinidad Y Tobago,32,45,77
2023-10,Trinidad Y Tobago,14,30,44
2023-11,Trinidad Y Tobago,22,32,54
2023-12,Trinidad Y Tobago,28,41,69
2024-01,Trinidad Y Tobago,36,37,73
2024-02,Trinidad Y Tobago,22,31,53
2024-03,Trinidad Y Tobago,22,31,53
2024-04,Trinidad Y Tobago,35,43,78
2024-05,Trinidad Y Tobago,18,43,61
2024-06,Trinidad Y Tobago,16,38,54
2024-07,Trinidad Y Tobago,21,38,59
2024-08,Trinidad Y Tobago,33,32,65
2024-09,Trinidad Y Tobago,25,34,59
2024-10,Trinidad Y Tobago,24,62,86
2024-11,Trinidad Y Tobago,17,38,55
2024-12,Trinidad Y Tobago,18,31,49
2025-01,Trinidad Y Tobago,39,53,92
2025-02,Trinidad Y Tobago,19,23,42
2025-03,Trinidad Y Tobago,19,40,59
2025-04,Trinidad Y Tobago,16,27,43
2025-05,Trinidad Y Tobago,14,18,32
2025-06,Trinidad Y Tobago,18,22,40
2025-07,Trinidad Y Tobago,17,27,44
2025-08,Trinidad Y Tobago,26,38,64
2025-09,Trinidad Y Tobago,42,32,74
2025-10,Trinidad Y Tobago,22,38,60
2025-11,Trinidad Y Tobago,17,30,47
2025-12,Trinidad Y Tobago,23,24,47
