Fecha,País destino,Femenino,Masculino,Total
2012-08,Uzbekistán,1,0,1
2013-03,Uzbekistán,0,1,1
2013-04,Uzbekistán,3,4,7
2014-09,Uzbekistán,1,0,1
2015-12,Uzbekistán,0,1,1
2017-08,Uzbekistán,3,0,3
2017-09,Uzbekistán,2,0,2
2018-02,Uzbekistán,0,4,4
2018-07,Uzbekistán,1,2,3
2019-07,Uzbekistán,0,1,1
2019-08,Uzbekistán,3,2,5
2019-09,Uzbekistán,0,1,1
2020-10,Uzbekistán,1,1,2
2021-01,Uzbekistán,0,1,1
2021-02,Uzbekistán,0,1,1
2021-03,Uzbekistán,0,1,1
2021-05,Uzbekistán,2,5,7
2021-07,Uzbekistán,0,4,4
2021-08,Uzbekistán,0,2,2
2021-09,Uzbekistán,1,3,4
2021-11,Uzbekistán,0,1,1
2021-12,Uzbekistán,4,14,18
2022-04,Uzbekistán,1,0,1
2022-06,Uzbekistán,9,3,12
2022-08,Uzbekistán,1,1,2
2022-09,Uzbekistán,1,1,2
2022-11,Uzbekistán,2,1,3
2022-12,Uzbekistán,1,0,1
2023-04,Uzbekistán,3,8,11
2023-05,Uzbekistán,4,2,6
2023-06,Uzbekistán,0,2,2
2023-08,Uzbekistán,2,0,2
2023-09,Uzbekistán,2,2,4
2023-10,Uzbekistán,0,1,1
2023-11,Uzbekistán,4,1,5
2024-04,Uzbekistán,2,2,4
2024-08,Uzbekistán,1,4,5
2024-09,Uzbekistán,1,1,2
2025-01,Uzbekistán,0,1,1
2025-04,Uzbekistán,2,1,3
2025-05,Uzbekistán,0,2,2
2025-07,Uzbekistán,0,7,7
2025-09,Uzbekistán,0,1,1
2025-10,Uzbekistán,1,2,3
