Fecha,País destino,Femenino,Masculino,Total
2012-01,Venezuela (República Bolivariana De),761,817,490
2012-02,Venezuela (República Bolivariana De),1162,1263,891
2012-03,Venezuela (República Bolivariana De),1370,1437,901
2012-04,Venezuela (República Bolivariana De),459,525,986
2012-05,Venezuela (República Bolivariana De),1359,1534,1049
2012-06,Venezuela (República Bolivariana De),729,755,1486
2012-07,Venezuela (República Bolivariana De),514,695,1211
2012-08,Venezuela (República Bolivariana De),547,637,1184
2012-09,Venezuela (República Bolivariana De),443,577,1020
2012-10,Venezuela (República Bolivariana De),463,618,1083
2012-11,Venezuela (República Bolivariana De),558,639,1198
2012-12,Venezuela (República Bolivariana De),910,839,1750
2013-01,Venezuela (República Bolivariana De),1143,1245,1343
2013-02,Venezuela (República Bolivariana De),659,763,1425
2013-03,Venezuela (República Bolivariana De),859,961,1822
2013-04,Venezuela (República Bolivariana De),1543,1775,1487
2013-05,Venezuela (República Bolivariana De),783,943,723
2013-06,Venezuela (República Bolivariana De),848,970,769
2013-07,Venezuela (República Bolivariana De),728,879,1609
2013-08,Venezuela (República Bolivariana De),677,716,1396
2013-09,Venezuela (República Bolivariana De),594,671,1267
2013-10,Venezuela (República Bolivariana De),656,774,1432
2013-11,Venezuela (República Bolivariana De),817,784,388
2013-12,Venezuela (República Bolivariana De),1145,1027,659
2014-01,Venezuela (República Bolivariana De),1520,1490,1429
2014-02,Venezuela (República Bolivariana De),473,557,1032
2014-03,Venezuela (República Bolivariana De),432,514,947
2014-04,Venezuela (República Bolivariana De),466,621,1090
2014-05,Venezuela (República Bolivariana De),463,561,1025
2014-06,Venezuela (República Bolivariana De),457,456,916
2014-07,Venezuela (República Bolivariana De),400,429,829
2014-08,Venezuela (República Bolivariana De),319,395,714
2014-09,Venezuela (República Bolivariana De),227,352,581
2014-10,Venezuela (República Bolivariana De),272,381,656
2014-11,Venezuela (República Bolivariana De),1313,426,747
2014-12,Venezuela (República Bolivariana De),544,523,1069
2015-01,Venezuela (República Bolivariana De),491,496,989
2015-02,Venezuela (República Bolivariana De),234,348,585
2015-03,Venezuela (República Bolivariana De),326,365,692
2015-04,Venezuela (República Bolivariana De),229,330,562
2015-05,Venezuela (República Bolivariana De),1259,420,758
2015-06,Venezuela (República Bolivariana De),407,470,879
2015-07,Venezuela (República Bolivariana De),473,531,1007
2015-08,Venezuela (República Bolivariana De),536,639,1177
2015-09,Venezuela (República Bolivariana De),1138,1086,2224
2015-10,Venezuela (República Bolivariana De),1262,1092,2354
2015-11,Venezuela (República Bolivariana De),1060,1081,2141
2015-12,Venezuela (República Bolivariana De),1285,1198,2483
2016-01,Venezuela (República Bolivariana De),2469,2376,695
2016-02,Venezuela (República Bolivariana De),888,899,1787
2016-03,Venezuela (República Bolivariana De),979,966,1946
2016-04,Venezuela (República Bolivariana De),660,670,1331
