Fecha,País destino,Femenino,Masculino,Total
2012-01,Viet Nam,0,3,3
2012-02,Viet Nam,1,1,2
2012-03,Viet Nam,1,3,4
2012-04,Viet Nam,0,2,2
2012-05,Viet Nam,4,2,6
2012-06,Viet Nam,2,3,5
2012-07,Viet Nam,3,3,6
2012-08,Viet Nam,11,6,17
2012-09,Viet Nam,2,4,6
2012-10,Viet Nam,2,11,13
2012-11,Viet Nam,3,1,4
2012-12,Viet Nam,5,3,8
2013-01,Viet Nam,5,4,9
2013-02,Viet Nam,3,1,4
2013-03,Viet Nam,3,5,8
2013-04,Viet Nam,6,7,13
2013-05,Viet Nam,1,1,2
2013-06,Viet Nam,2,3,5
2013-07,Viet Nam,2,2,4
2013-08,Viet Nam,2,3,5
2013-09,Viet Nam,5,2,7
2013-10,Viet Nam,1,2,3
2013-11,Viet Nam,0,5,5
2013-12,Viet Nam,2,5,7
2014-01,Viet Nam,4,3,7
2014-02,Viet Nam,3,4,7
2014-03,Viet Nam,2,5,7
2014-04,Viet Nam,7,7,14
2014-05,Viet Nam,4,6,10
2014-06,Viet Nam,7,4,11
2014-07,Viet Nam,2,3,5
2014-08,Viet Nam,7,7,14
2014-09,Viet Nam,2,5,7
2014-10,Viet Nam,4,4,8
2014-11,Viet Nam,3,5,8
2014-12,Viet Nam,4,1,5
2015-01,Viet Nam,5,5,10
2015-02,Viet Nam,1,3,4
2015-03,Viet Nam,4,6,10
2015-04,Viet Nam,2,3,5
2015-05,Viet Nam,10,10,20
2015-06,Viet Nam,1,2,3
2015-07,Viet Nam,6,8,14
2015-08,Viet Nam,4,6,10
2015-09,Viet Nam,19,25,44
2015-10,Viet Nam,4,2,6
2015-11,Viet Nam,3,1,4
2015-12,Viet Nam,1,5,6
2016-01,Viet Nam,3,2,5
2016-02,Viet Nam,2,4,6
2016-03,Viet Nam,0,6,6
2016-04,Viet Nam,7,8,15
2016-05,Viet Nam,1,6,7
2016-06,Viet Nam,5,3,8
2016-07,Viet Nam,2,3,5
2016-08,Viet Nam,3,3,6
2016-09,Viet Nam,2,4,6
2016-10,Viet Nam,4,3,7
2016-11,Viet Nam,10,9,19
2016-12,Viet Nam,8,13,21
2017-01,Viet Nam,4,5,9
2017-02,Viet Nam,1,2,3
2017-03,Viet Nam,3,3,6
2017-04,Viet Nam,6,9,15
2017-05,Viet Nam,0,5,5
2017-06,Viet Nam,3,1,4
2017-07,Viet Nam,5,2,7
2017-08,Viet Nam,3,5,8
2017-09,Viet Nam,6,6,12
2017-11,Viet Nam,3,6,9
2017-12,Viet Nam,3,4,7
2018-01,Viet Nam,4,5,9
2018-02,Viet Nam,9,4,13
2018-03,Viet Nam,8,11,19
2018-04,Viet Nam,6,7,13
2018-05,Viet Nam,9,7,16
2018-06,Viet Nam,7,6,13
2018-07,Viet Nam,8,9,17
2018-08,Viet Nam,1,1,2
2018-09,Viet Nam,6,6,12
2018-10,Viet Nam,3,8,11
2018-11,Viet Nam,7,10,17
2018-12,Viet Nam,4,7,11
2019-01,Viet Nam,3,5,8
2019-02,Viet Nam,2,3,5
2019-03,Viet Nam,2,3,5
2019-04,Viet Nam,10,11,21
2019-05,Viet Nam,3,8,11
2019-06,Viet Nam,9,5,14
2019-07,Viet Nam,4,4,8
2019-08,Viet Nam,6,1,7
2019-09,Viet Nam,4,5,9
2019-10,Viet Nam,6,9,15
2019-11,Viet Nam,3,10,13
2019-12,Viet Nam,16,12,28
2020-01,Viet Nam,4,5,9
2020-02,Viet Nam,3,10,13
2020-03,Viet Nam,0,1,1
2020-07,Viet Nam,0,1,1
2020-11,Viet Nam,0,1,1
2020-12,Viet Nam,0,3,3
2021-04,Viet Nam,0,1,1
2021-08,Viet Nam,1,0,1
2021-09,Viet Nam,0,3,3
2021-11,Viet Nam,0,1,1
2021-12,Viet Nam,0,1,1
2022-01,Viet Nam,0,5,5
2022-02,Viet Nam,4,2,6
2022-03,Viet Nam,0,3,3
2022-04,Viet Nam,5,7,12
2022-05,Viet Nam,3,4,7
2022-06,Viet Nam,1,3,4
2022-07,Viet Nam,6,11,17
2022-08,Viet Nam,11,6,17
2022-09,Viet Nam,4,8,12
2022-10,Viet Nam,1,1,2
2022-11,Viet Nam,5,6,11
2022-12,Viet Nam,12,9,21
2023-01,Viet Nam,16,17,33
2023-02,Viet Nam,12,5,17
2023-03,Viet Nam,12,6,18
2023-04,Viet Nam,6,6,12
2023-05,Viet Nam,5,8,13
2023-06,Viet Nam,4,5,9
2023-07,Viet Nam,3,3,6
2023-08,Viet Nam,6,2,8
2023-09,Viet Nam,5,5,10
2023-10,Viet Nam,8,3,11
2023-11,Viet Nam,6,4,10
2023-12,Viet Nam,11,11,22
2024-01,Viet Nam,8,5,13
2024-02,Viet Nam,2,6,8
2024-03,Viet Nam,9,4,13
2024-04,Viet Nam,4,7,11
2024-05,Viet Nam,3,1,4
2024-06,Viet Nam,13,7,20
2024-07,Viet Nam,8,3,11
2024-08,Viet Nam,3,8,11
2024-09,Viet Nam,3,3,6
2024-10,Viet Nam,5,9,14
2024-11,Viet Nam,5,8,13
2024-12,Viet Nam,7,8,15
2025-01,Viet Nam,2,4,6
2025-02,Viet Nam,3,6,9
2025-03,Viet Nam,9,7,16
2025-04,Viet Nam,6,10,16
2025-05,Viet Nam,2,4,6
2025-06,Viet Nam,11,8,19
2025-07,Viet Nam,6,6,12
2025-08,Viet Nam,6,0,6
2025-09,Viet Nam,5,1,6
2025-10,Viet Nam,3,4,7
2025-11,Viet Nam,2,10,12
2025-12,Viet Nam,5,1,6
