Fecha,País destino,Femenino,Masculino,Total
2012-01,Yemen,0,1,1
2012-06,Yemen,1,1,2
2012-07,Yemen,0,1,1
2012-09,Yemen,1,1,2
2012-11,Yemen,0,1,1
2013-01,Yemen,0,2,2
2013-04,Yemen,1,1,2
2013-07,Yemen,0,1,1
2013-08,Yemen,0,1,1
2013-11,Yemen,0,2,2
2013-12,Yemen,1,0,1
2014-01,Yemen,1,0,1
2014-03,Yemen,0,1,1
2014-04,Yemen,0,1,1
2014-06,Yemen,1,0,1
2014-09,Yemen,0,1,1
2014-10,Yemen,0,1,1
2014-12,Yemen,1,1,2
2015-02,Yemen,0,1,1
2015-03,Yemen,1,0,1
2015-05,Yemen,0,1,1
2017-11,Yemen,1,0,1
2018-12,Yemen,0,1,1
2019-02,Yemen,0,1,1
2019-06,Yemen,0,1,1
2019-10,Yemen,1,0,1
2020-01,Yemen,1,0,1
2021-02,Yemen,1,1,2
2021-08,Yemen,0,1,1
2022-01,Yemen,0,1,1
2023-02,Yemen,2,1,3
2023-04,Yemen,0,1,1
2024-01,Yemen,0,1,1
2024-06,Yemen,0,1,1
2024-11,Yemen,0,1,1
2025-01,Yemen,1,0,1
2025-09,Yemen,0,1,1
