Concepto,Grupo,2004-03-01,2004-06-01,2004-09-01,2004-12-01,2005-03-01,2005-06-01,2005-09-01,2005-12-01,2006-03-01,2006-06-01,2006-09-01,2006-12-01,2007-03-01,2007-06-01,2007-09-01,2007-12-01,2008-03-01,2008-06-01,2008-09-01,2008-12-01,2009-03-01,2009-06-01,2009-09-01,2009-12-01,2010-03-01,2010-06-01,2010-09-01,2010-12-01,2011-03-01,2011-06-01,2011-09-01,2011-12-01,2012-03-01,2012-06-01,2012-09-01,2012-12-01,2013-03-01,2013-06-01,2013-09-01,2013-12-01,2014-03-01,2014-06-01,2014-09-01,2014-12-01,2015-03-01,2015-06-01,2015-09-01,2015-12-01,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01,2017-09-01,2017-12-01,2018-03-01,2018-06-01,2018-09-01,2018-12-01,2019-03-01,2019-06-01,2019-09-01,2019-12-01,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01,2025-06-01,2025-09-01,2025-12-01,2026-01-01,2026-02-01
INGRESOS TOTALES,,8927.570608173752,11246.622906148774,10531.123431846754,9246.483240458789,9981.174373000136,13056.880571104793,12218.02601027172,10620.084107367751,12104.142726964004,15131.917931077056,16550.314575142496,12560.43350851652,14787.234905829242,19432.25822971438,16792.507297016877,13693.254128527864,19891.84887469982,19805.16463114169,18092.962640966645,17268.663014628204,17337.770332158816,22989.6476179219,20635.282313553304,16192.811027880292,19520.926720582596,19611.653733645235,19668.739509685576,16155.70018579776,20581.597012150894,29997.76538138321,24137.370189215195,19530.499077705164,22088.718113812367,41085.80054363744,25658.65593279973,18232.82642570435,28164.579458140026,38135.71877095838,27191.697721933208,26252.367997017864,30137.45418905708,35522.007713941864,31598.307443257643,28645.788138983266,28198.769503435255,38673.531837743816,29813.65699782891,27986.59607894859,30671.75203572135,40235.578263840245,29449.311324389233,28010.44401965499,30555.272171470053,42386.597202555946,41515.24867802987,29605.327208856957,34558.59098268217,41142.56346719162,36659.696470135816,36931.37568197266,40828.5785227638,49445.12510524896,43389.768363177165,38197.773333053854,48617.500528144046,34626.98764750443,32700.38497268714,36623.33251330214,47589.880230021314,44494.976658630774,56698.36040488287,43275.1855576694,52672.986548548084,68870.05640658466,63977.66991408229,52742.1632598671,64144.65176052897,92738.93609334597,82826.36470883247,56655.36327538851,77912.60157062025,73581.10548001935,71648.64232098608,58317.87543498908,77718.436689714,81135.14734284807,78715.97644965083,65195.523332563826,88629.3542078025,86539.94562805964
Ingresos corrientes de la Nación,INGRESOS TOTALES,8584.489984853848,10909.313815512,9139.397773811534,8303.938496543093,9646.775543846,12687.458989456663,10457.567279912,9726.073758741,11601.800783214001,14426.510697617001,13360.093582331,12086.038098015999,14268.041340331998,16487.792220662002,14879.174081403,12614.02236285121,16779.735437354,18129.567485551004,16289.567440725,13798.97341029,15740.096152934,19688.903849698,17461.784970162,12768.21499732,17311.904384913003,17649.790387049004,18089.987437262997,14356.605163829001,19262.930497529,27477.878955000997,20687.2209143469,16949.553385584102,21178.664275306,36325.721536349,21496.017974786,17345.547435456,23355.567094094,34520.690747551,25067.141886797,18819.872176817,27575.657896981997,34485.549308591,26239.34860161,20657.548510535,27436.236199748004,37672.632149454,29376.173447239,22598.800971817,28724.902545353994,38923.841263441005,27616.113074008,22716.682982645998,29411.10494666823,40257.83359940062,37059.57679838691,25679.986819373615,32757.748013008975,37874.86106771088,33924.74656344837,31456.29374075085,36538.22322797902,42069.413315801896,38820.50662323976,32466.840462715423,40745.02266275555,31670.164474741614,28964.719527407047,31041.0507546288,39385.31743480101,42691.87315620996,41726.28942782662,39875.95555694001,50481.37928648896,57150.619627254375,57892.1222248983,47778.5668593417,60623.214147450606,82372.48117228458,72491.13509250703,48900.39854613183,63799.94735512449,63300.59546473474,67430.79029288839,52403.89554392894,64527.22122881836,71265.09709896,76817.40228434376,60086.535817768774,72868.52290352856,80592.68898843744
Tributarios,INGRESOS TOTALES > Ingresos corrientes de la Nación,8537.269695209001,10859.899847179,9087.562683549,8250.755636437,9608.890789539,12590.648102632998,10407.4492974,9681.435903712001,11553.905716819001,14359.935177119001,13268.581622024,12038.449278942,14218.965771198997,16418.370974406003,14819.776636824,12408.923091034001,16640.054886260998,18000.249191989,16176.32494047,13531.964043933,15643.887191508999,19565.210111132998,17361.536071305,12625.352418086,17108.314956751,17573.769801079,17951.032087015996,14148.290709319,19155.527918907,27372.248440863994,20519.5891932899,16760.507606862102,20933.09813934,36061.653184579,21218.473713687003,16926.028904504,23190.896551117,34147.972291121,24844.215683995,18596.854593187,27408.710392490997,34386.728682443,26135.462204404,20411.581719238002,27236.036841174002,37537.209891160004,29244.058662616997,22385.846066968,28576.033529981996,38708.377663942,27485.69719984,22558.468513088,29073.480635759,40099.135052129,32329.864427962,25455.389627926997,32607.815763143,37551.91749011,33800.998338241,31226.441182968658,36245.353196184,41824.536697327,38509.91740090495,31838.21788147901,40379.84675706503,31496.892585487964,28456.928484145996,30429.275803620192,39071.998656924,42221.380926107995,41436.63182446301,39498.09748044801,50192.151870293994,56773.002343133,57527.37509503901,47506.042511850625,60373.17148037182,82163.70710681163,72176.97242530901,48476.087223992996,63294.757736777494,62849.888791028134,67174.03875047324,51731.39722610879,64398.76267025393,71027.84363460925,76502.10629162344,59993.145241154845,72704.15261866906,80410.93077650643
No tributarios,INGRESOS TOTALES > Ingresos corrientes de la Nación,47.220289644849,49.41396833300001,51.83509026253384,53.18286010609211,37.884754307,96.8108868236666,50.117982512,44.637855029,47.895066395,66.575520498,91.51196030700001,47.58881907400001,49.075569133,69.421246256,59.397444579,205.09927181720852,139.68055109300002,129.31829356199998,113.242500255,267.009366357,96.20896142500001,123.69373856499999,100.248898857,142.862579234,203.58942816200005,76.02058597,138.95535024699998,208.31445451000002,107.402578622,105.630514137,167.631721057,189.04577872200002,245.56613596600005,264.06835177,277.544261099,419.51853095200005,164.670542977,372.71845642999995,222.92620280199998,223.01758363000002,166.94750449100002,98.820626148,103.886397206,245.966791297,200.19935857400003,135.422258294,132.114784622,212.954904849,148.86901537200004,215.46359949900003,130.415874168,158.21446955800002,337.6243109092319,158.6985472716185,4729.712370424914,224.59719144661437,149.9322498659731,322.94357760087996,123.74822520736059,229.8525577821925,292.87003179502506,244.87661847489133,310.58922233480786,628.6225812364085,365.17590569051885,173.27188925364794,507.7910432610517,611.7749510086046,313.3187778770049,470.49223010196306,289.6576033636118,377.8580764920067,289.22741619496566,377.6172841213754,364.7471298593013,272.52434749107755,250.04266707877997,208.77406547294999,314.16266719802996,424.31132213882995,505.189618347,450.7066737065905,256.75154241514724,672.4983178201571,128.45855856443,237.25346435074997,315.29599272032004,93.39057661392997,164.37028485951,181.758211931
Fondos especiales,INGRESOS TOTALES,65.080421458,82.54702065149999,98.75219811350001,134.552886894,70.17872555599999,121.06528319649999,118.286502804,162.33727655299998,108.171242044,97.26398527849997,165.2947177205,206.231113451,143.40672104100003,129.635939541,141.914678998,222.163903026,232.183267602,183.54679277900004,201.84686851500004,276.797501411,215.28718697200003,271.615878716,250.59573721,323.99701739600005,192.331892519,244.11259330000004,247.777517418,326.00934144100006,300.524369707,304.22091624899997,430.92001033700006,269.51312705500004,397.79488187799996,318.457194647,422.40751398399993,354.571206533,264.62276824900005,234.18980044000003,350.482501423,419.135782803,308.14907709,409.83580126699997,526.151976451,324.501495861,0.0,0.0,0.0,0.0,422.04447375100006,348.84438968600006,523.5539804593748,412.229302970879,399.87471987799995,291.455251609,318.56811210499995,522.393755086,339.553426781,423.5915116849999,312.63215989,470.84870581999996,300.161647953,311.99233467600004,360.69390836900004,508.28898989000004,341.768545852,234.92265160099998,281.37852121400005,555.701643137,575.5495665550001,437.731736129,522.398408826,1306.2899269499999,633.7689237530001,718.7315653559999,943.7568149660001,1333.4688757539998,944.458856227,1466.639645587,884.607343834,1108.825252144,1075.1334570480099,1015.97884519782,894.4553436045401,2197.1694360074302,923.4373702500002,997.9759453959999,1015.572790881,2430.013187806,1034.772823449,1142.58302258
Ingresos de capital,INGRESOS TOTALES,246.64425337986071,223.406121503233,1261.6175114396797,776.6359085396564,233.51966413397048,217.65585898746463,1611.4717880915546,700.9726326095848,378.4354039203787,592.4079503959314,3009.1909773053735,252.42899926389822,366.2706177178359,2805.3138427729737,1761.902309877469,847.5516359122466,2875.740477243817,1487.86066031169,1597.3586392266432,3188.7024104272077,1378.1972997528167,3024.938197007901,2918.7119136813053,3096.4093206642933,2012.500750650598,1713.561060796231,1326.784862504582,1468.8959880277598,1013.9524524148956,2211.475817633212,3015.039572031296,2307.242872566064,512.2589566283633,4441.621812641434,3740.230444029729,532.707783715352,4544.3895957970235,3380.8382229673834,1774.0733337132087,7013.360037397866,2253.6472149850806,626.6226040838675,4832.806865196643,7663.738132587263,762.5333036872509,1000.8996882898194,437.4835505899118,5387.795107131594,1524.8050166163514,962.8926107132388,1309.6442699218592,4881.53173403811,744.29250492382,1837.3083515463206,4137.1037675379575,3402.9466343973436,1461.2895428922047,2844.1108877957427,2422.317746797448,5004.233235401808,3990.193646831774,7063.719454771073,4208.567831568407,5222.643880448437,7530.709319536489,2721.9005211618164,3454.2869240660943,5026.580115536342,7629.013228665307,1365.3717662918161,14449.672568230255,2092.9400737793903,1557.8383383061205,11000.705213974286,5141.790874217974,3630.127524771398,2576.9787568513657,8899.815275474388,9450.622272491431,6646.139477112679,13037.52075844774,9264.5311700868,3323.396684493152,3716.8104550527087,12267.778090645643,8872.074298492063,883.0013744260783,2678.9743269890373,14726.058480824946,4804.673617042212
Ingresos causados,INGRESOS TOTALES,31.355948482040517,31.355948482040517,31.355948482040517,31.355948482040517,30.70043946416473,30.70043946416473,30.70043946416473,30.70043946416473,15.735297785623821,15.735297785623821,15.735297785623821,15.735297785623821,9.516226738409262,9.516226738409262,9.516226738409262,9.516226738409262,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,4.1896925000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GASTOS TOTALES,,13100.654658035666,13094.654216304561,11340.431328683233,15831.0628359494,16122.504507638989,13041.06972475683,13545.072570622728,16353.257660223124,18508.358619309205,16493.689801463624,16529.5510692211,17474.90763070669,20512.563161648028,18300.05323275562,18338.189519250885,18911.513826767594,25360.694254969236,14559.211177190013,20879.050254667498,25161.28102077635,20559.33822703592,23890.155005540164,23899.758066384205,29345.322996269082,18756.10290465132,24642.765151726035,21221.848498476233,31141.37718246666,16779.15924569838,25712.370160088874,26208.20586372198,42871.35221472277,19064.73377648986,27983.61354970957,29112.498765230255,46283.952257034456,25036.112356164103,31590.029083749847,31773.21927075737,47992.53413336516,29618.981350949165,34940.829304914776,36676.5097272899,43034.923370332675,25613.516927475932,33292.766129580836,34000.091598221916,36643.694645147516,37716.75151760857,41988.642876244805,42428.43309725891,41253.457134560595,41295.673767264874,44289.93500968243,47163.442477828816,45041.040237118505,39757.33270331888,47069.762062822585,49490.90299977524,43556.78573782739,47253.521740151074,48141.98437823842,50696.116497059484,51992.31209586034,51103.2423252325,62779.32428613801,61853.55738628745,54689.522900069554,62452.56454866772,64804.59754581559,61267.32036419326,86701.91581424727,69526.03149879769,85193.88320708566,79602.67507167392,81525.36760186631,77963.12273371496,92388.73231444095,93187.13058640104,99807.90587104822,94341.8069542276,112266.90790619259,87388.58286124081,102120.7685792981,115225.41075823779,112159.0772288409,84982.495139877,108309.70137907153,124568.23669941822,116814.7886407472
Intereses,GASTOS TOTALES,3533.733161564799,3173.3210682520257,2707.8993252089463,1464.214311315894,3240.556630415947,2542.825049968007,3833.0621287965946,900.0793632467784,3555.880814863188,3138.374411356521,5114.670282444185,2155.519444654241,4337.19224218853,3829.550213272396,5079.00620675358,2662.537972166127,3246.6307821588384,3813.0293587718047,5014.9894553287095,3290.9274583048223,3156.7147969736307,3731.7039639452823,4995.622137888723,3265.093898642495,2799.894743774734,4424.115679119121,4837.137705668801,2785.8739207427434,2808.207322913928,5118.876765093468,5099.031443406088,3772.180969796368,3168.2644488380683,4359.001450462903,5393.572531218973,4131.479864738652,2678.4768417355112,4701.983845997156,4936.435490007032,4046.594554472624,3198.282269968564,3881.3407239808957,7167.2083476779135,2732.6025902970164,3112.6333724578244,4731.902483621523,8141.920547695962,4659.358021452979,5043.631864032573,6316.899065567409,10868.255630382588,3152.9247367261173,4928.983301085713,7850.443573577339,11148.085680431159,2689.4336650050536,4816.673158326275,6816.1253482244465,12284.642781991286,3556.5623322245574,5934.8346838066855,8341.93834603876,12140.763666159688,4382.852924955003,5998.728447694958,9941.611686927969,7100.581980086439,5295.626675182975,6521.861795454434,12361.826699547179,11258.409270444467,9535.442331821869,12249.495771056776,18176.02349564816,18476.885934057787,14262.321016907496,17396.2292184513,18855.12457467216,12858.402741100206,12358.347811892807,15970.088185716282,24315.382577444732,15055.222155313524,18869.930245073716,21796.2567864687,21096.55710420504,-521.8092756662804,9713.54371776992,26847.288335514524,16027.445656089094
Intereses deuda externa,GASTOS TOTALES > Intereses,1573.5747616077003,778.7222689435442,1108.9673279572073,858.7008059984341,1363.5898363760562,873.7212687923154,1286.0541394061943,744.3730049237877,1211.8067306973526,879.8691110780435,892.6886251114238,890.9615989436905,1351.2311659255147,729.7897141172128,893.569936381029,883.9720575840245,1150.4231899736815,761.7582383129309,831.4511454391293,918.3694183060413,1126.677799045487,927.6685970694091,947.3632873407063,844.1852834854448,1068.9683663431433,812.2336665808589,924.5581636734659,845.777198685087,922.5114453740703,940.5723581245584,877.5547889824785,827.2513651117274,973.7750785603894,856.303578052293,928.1758256481714,779.634127688337,943.8815389931099,844.2228115410176,965.373150002381,785.6133932366614,1092.4130519428052,838.9565751398047,1122.6011368546183,691.540339587607,1546.2742226763003,969.3890297785199,1762.7675810497346,1098.343659834185,2074.8067681290627,1189.7165369022518,1869.677357522115,827.3049743683029,2094.9682709194185,1307.399769216732,1735.2301893737847,1171.6295076013284,1916.4058471036428,1449.729298724958,1834.7569051325258,1430.856735007966,2183.927480261953,1858.45987966728,2030.1069021889703,1534.31025262897,2291.0427402671585,2186.93440468948,2061.2745606302,1836.67489592936,2683.510316974772,2413.06466868382,2246.8608489189,2025.093711960194,2622.7776344841527,2473.12823962556,2842.15574020841,3103.8174563578496,3885.2487577434727,3234.78528084356,3496.0518249030297,3144.9087743501304,3775.45728988122,3400.4422465692705,3673.5387538845907,4084.875350734922,3927.3857082742998,4534.9597025624,-384.98205468642027,6258.586059780177,3119.4942489086898,-1160.629912296823
