Concepto,Grupo,2004-03-01,2004-06-01,2004-09-01,2004-12-01,2005-03-01,2005-06-01,2005-09-01,2005-12-01,2006-03-01,2006-06-01,2006-09-01,2006-12-01,2007-03-01,2007-06-01,2007-09-01,2007-12-01,2008-03-01,2008-06-01,2008-09-01,2008-12-01,2009-03-01,2009-06-01,2009-09-01,2009-12-01,2010-03-01,2010-06-01,2010-09-01,2010-12-01,2011-03-01,2011-06-01,2011-09-01,2011-12-01,2012-03-01,2012-06-01,2012-09-01,2012-12-01,2013-03-01,2013-06-01,2013-09-01,2013-12-01,2014-03-01,2014-06-01,2014-09-01,2014-12-01,2015-03-01,2015-06-01,2015-09-01,2015-12-01,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01,2017-09-01,2017-12-01,2018-03-01,2018-06-01,2018-09-01,2018-12-01,2019-03-01,2019-06-01,2019-09-01,2019-12-01,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01,2025-06-01,2025-09-01,2025-12-01,2026-03-01
INGRESOS TOTALES,,2.951120077349084,3.71771180732215,3.4811945108907816,3.0565406350084023,2.953377157220764,3.863462492707618,3.6152498269819735,3.1424271972753317,3.1719119105051354,3.9653457330313806,4.337039070644572,3.2914837130943417,3.450881645958105,4.534885912849383,3.9188499804009442,3.1955804886110952,4.174101754407649,4.155911949357617,3.7966238119849276,3.6236529364202608,3.4566724615228916,4.583500663495698,4.114105259354217,3.228399204879101,3.5880099107786987,3.6046858312769228,3.6151783828411514,2.9694703131635762,3.3248517441437406,4.845985590419617,3.8992687168675815,3.1550522480917795,3.31410144436778,6.164346442518596,3.8497203979552683,2.7355791350584977,3.9441052437343616,5.340441479045218,3.807865043059265,3.6763233916335625,3.950365143282577,4.656163065808086,4.141851250192704,3.754840148614341,3.558091809623523,4.805129252788796,4.182840798292369,3.5248159994199875,3.5508672368400065,4.658070932693693,3.409345335326417,3.2427677376531334,3.3195257831555867,4.604881327337413,4.510217994703786,3.2163237308787527,3.498573178200876,4.165108152148751,3.711280672747156,3.7387843867754116,3.8515056131081997,4.664335222386583,4.093111796901444,3.603332364815643,4.869195052048992,3.4680013387974675,3.275046042667956,3.667941533935605,3.99031724970314,3.73081571182583,4.754045281474925,3.6285386426742656,3.5805681784923666,4.681601492125543,4.349030196290738,3.5852706255619538,4.041371708702685,5.842926921203757,5.2183949539335,3.5695163353949435,4.5474741128093275,4.294660499290229,4.181869679672991,3.4038014840805255,4.1920566778327615,4.376350718214414,4.245862999603518,3.5190034987834413,4.3825138467637865
Ingresos corrientes de la Nación,INGRESOS TOTALES,2.837710488104074,3.6062100703614637,3.0211421952216955,2.744970686177892,2.854430297210308,3.75415258388814,3.0943393202445315,2.877894223170043,3.040272319790676,3.7804925256593256,3.5010360432099796,3.1671675606167673,3.329717983022874,3.8477389396325834,3.472337395836463,2.9437212927826466,3.5210564673371763,3.8043049655550076,3.4181997088944813,2.895573935018908,3.138140364718668,3.92542353664624,3.4813975545307394,2.545629358244249,3.181984410710766,3.2440889583959485,3.324998609944305,2.638790788484541,3.111827912295506,4.438910824799888,3.3419147453886064,2.738113670345708,3.1775606670756638,5.450163544621285,3.225175125660494,2.60245540338751,3.270661817731583,4.8342009720794055,3.5103469557602427,2.6354931608091654,3.6145693354177397,4.520305898468219,3.4394082342853545,2.7077555745009527,3.409532616174639,4.681621309700361,3.650610848279718,2.808378978766661,3.325480566318121,4.506211204151163,3.1971160633131968,2.629909280657156,3.1952234178663135,4.373612378814827,4.0261536537693114,2.789874620642434,3.316263056963367,3.8342990640440053,3.4344053107842045,3.1845090450055618,3.446781077061005,3.968557990223451,3.6620770198930437,3.062713001686255,4.0807417203659995,3.1718662309412733,2.900907440216799,3.1088585201401773,3.302380900844934,3.579629052520663,3.498666768338025,3.3435199361329064,3.431588602119779,3.8849456510285707,3.9353510063988453,3.2478586714055324,3.8195069397335337,5.189798460955433,4.567233813792028,3.0809222874327027,3.723770008283615,3.694624661459693,3.935689055194045,3.0586240684105532,3.4805353809961637,3.843969834118325,4.143455760767618,3.2432400104209695,3.6085941161672657
Tributarios,INGRESOS TOTALES > Ingresos corrientes de la Nación,2.8221012310121663,3.5898756653537345,3.0040074580912037,2.727390426875743,2.843220397072717,3.725506750138483,3.0795096720302566,2.8646861159410384,3.0277213333243393,3.7630462933090367,3.477055172908044,3.154696826800037,3.318265268444081,3.831538175522863,3.458475875909321,2.8958574888178923,3.49174592727393,3.777168839625521,3.3944369243506523,2.8395447407708265,3.1189589555098567,3.900762422121763,3.461410693398185,2.5171465064150076,3.1445640107251025,3.2301161270960908,3.2994581639922047,2.600501913266734,3.0944775749700755,4.421846755429767,3.3148346981113646,2.7075742915630134,3.1407169226039624,5.410543802927649,3.1835335133294915,2.5395125489310684,3.247601720100462,4.782006306058313,3.4791288647270027,2.6042622730074365,3.5926861465338313,4.5073526624542035,3.425790985800816,2.6755146747670415,3.38465361171405,4.6647922299662525,3.6341927921014525,2.7819148279053376,3.3082460076711477,4.481266993748654,3.1820178239231653,2.611592799234992,3.1585439015198746,4.356371363370385,3.512317544818034,2.7654743743069585,3.301084517184611,3.8016055511854274,3.4218775366692995,3.161239693717466,3.4191536011071015,3.9454579043351026,3.632778029419338,3.0034127887530833,4.044168208897911,3.1545125081737972,2.850050575744916,3.0475873414070334,3.276109741556959,3.5401792103997574,3.4743795516940055,3.3118372844162387,3.411927699052877,3.8592762421005706,3.9105564759963047,3.229333198095004,3.8037532434710095,5.176644852999728,4.547440298973605,3.0541889632052057,3.6942839345910214,3.6683185583411437,3.920703405003704,3.0193727967350337,3.473606451630217,3.831172613639723,4.126449002422052,3.238199146431254,3.6004541728943384
No tributarios,INGRESOS TOTALES > Ingresos corrientes de la Nación,0.015609257091908824,0.016334405007729067,0.0171347371304922,0.017580259302148713,0.011209900137591077,0.028645833749657276,0.014829648214275166,0.013208107229004807,0.012550986466336842,0.017446232350289848,0.023980870301936064,0.012470733816731494,0.01145271457879236,0.016200764109720746,0.013861519927142206,0.047863803964753926,0.02931054006324573,0.027136125929485437,0.023762784543829248,0.056029194248081025,0.01918140920881068,0.02466111452447696,0.01998686113255473,0.02848285182924157,0.03742039998566334,0.013972831299856625,0.02554044595210086,0.03828887521780685,0.01735033732543057,0.017064069370120345,0.027080047277241732,0.030539378782694686,0.03684374447170097,0.03961974169363561,0.041641612331003254,0.0629428544564423,0.02306009763112087,0.05219466602109247,0.031218091033240754,0.0312308878017289,0.021883188883907917,0.012953236014014886,0.013617248484538663,0.03224089973391112,0.024879004460588675,0.01682907973410946,0.016418056178264494,0.026464150861323366,0.01723455864697343,0.024944210402508965,0.015098239390031278,0.01831648142216439,0.03667951634643916,0.01724101544444296,0.5138361089512777,0.02440024633547547,0.015178539778756162,0.03269351285857842,0.012527774114904949,0.023269351288095635,0.02762747595390346,0.023100085888347874,0.02929899047370623,0.05930021293317117,0.03657351146808662,0.01735372276747628,0.05085686447188273,0.06127117873314349,0.026271159287974518,0.039449842120905916,0.024287216644019973,0.03168265171666787,0.019660903066902474,0.02566940892799969,0.024794530402541544,0.01852547331052839,0.015753696262523948,0.01315360795570502,0.019793514818424278,0.02673332422749686,0.029486073692593782,0.026306103118548512,0.014985650190341263,0.0392512716755203,0.006928929365946197,0.01279722047860171,0.017006758345565885,0.005040863989716189,0.008139943272927837
Fondos especiales,INGRESOS TOTALES,0.021513146950773016,0.027286949682252228,0.03264377369004308,0.04447813894796985,0.020765516885530178,0.03582258245003822,0.03500035590339633,0.04803474886021346,0.028346464409178124,0.025488198571948947,0.043315771774011844,0.05404322634222917,0.03346667748899665,0.030253004518256448,0.03311848118766131,0.05184615921970753,0.048721292361830995,0.03851542380905419,0.04235550819319534,0.05808313463133245,0.042922317937532685,0.05415270303404886,0.049961867483163044,0.06459605509775232,0.03535122826875711,0.04486868972172185,0.04554231471124506,0.059921578767231545,0.048548175060862064,0.04914533325078392,0.0696129239684148,0.043538467400242024,0.059683526486293444,0.04778002251244171,0.06337630572282059,0.05319842200201946,0.03705718558353043,0.03279542026598776,0.049080792196954715,0.05869484546172555,0.040391645738711214,0.05372056490366403,0.06896708709377208,0.042535092385401554,0.045184780301283006,0.03809795061476941,0.06605721186189085,0.044192543686652826,0.04886006813652055,0.040385697975415094,0.060611818775961376,0.047723766294143544,0.04344240284354423,0.031663708211231,0.03460925027567409,0.05675287489622163,0.03437502738747371,0.04288270612761205,0.03164962627620624,0.047666834970150625,0.02831532014483979,0.029431351071440726,0.03402554443384767,0.047948715543719884,0.03422919101826696,0.023528239838813567,0.028180940779852427,0.05565526120808722,0.048258691813954036,0.036702939553022486,0.043802072454909545,0.1095298244800753,0.04308190952521371,0.0488574417442566,0.06415405393404097,0.09064563330074497,0.05950471624414066,0.0924042115415197,0.05573382962663813,0.06986046195463713,0.06275161482458637,0.05929897609068148,0.052206092956847444,0.1282407586228945,0.0498093111416017,0.05382984918902079,0.05477900587263623,0.1311627619945503,0.05124400733649335
Ingresos de capital,INGRESOS TOTALES,0.08153134151027208,0.07384968649447038,0.417043441195079,0.25672670909857676,0.06909724407588246,0.0644032273203963,0.47682605178500187,0.207414126196032,0.09916966381913687,0.1552415463139621,0.7885637931744363,0.06614946364920138,0.08547619349970263,0.6546731767520112,0.4111733114302876,0.19779224466220927,0.6034448304376457,0.3122123957225604,0.3351894306262551,0.6691167024990261,0.2747744699192577,0.6030891148679763,0.5819105283928806,0.6173384825896668,0.3699041926718739,0.31495810403195057,0.24386737905829897,0.26998786678450154,0.16379883338985726,0.3572526089714297,0.48706422411304545,0.3727232869483146,0.07685725080582247,0.6664028753848696,0.5611689665719531,0.07992530966896849,0.6363862404192482,0.4734450866998251,0.24843729510206766,0.9821353853626718,0.2954041621261262,0.08213660243620323,0.6334759288135771,1.0045494817279867,0.10337441314760076,0.08540999247366571,0.46617273815076143,0.672244476966674,0.17652660238536472,0.11147403056711518,0.1516174532372588,0.5651346907018333,0.08085996244572835,0.19960524031135377,0.44945509065879957,0.36969623534009705,0.14793509385003573,0.2879263819771334,0.24522573568674455,0.5066085067996989,0.3764092159023551,0.6663458810916922,0.39700923257455284,0.49267064758566825,0.7542241406647259,0.2726068680173805,0.3459576616713052,0.5034277525873407,0.6396776570442525,0.11448371975214441,1.2115764406819907,0.1754888820612845,0.10589766684737331,0.7477983993527157,0.34952513595785095,0.2467663208556761,0.16236005272501053,0.5607242487068039,0.5954273105148334,0.4187335860076035,0.760952489701126,0.5407368617398544,0.19397453152209823,0.21693665704707768,0.6617119856949963,0.47855103490706785,0.04762823296326356,0.14460072636792048,0.7226757232600264
Ingresos causados,INGRESOS TOTALES,0.01036510078396373,0.01036510078396373,0.01036510078396373,0.01036510078396373,0.00908409904904301,0.00908409904904301,0.00908409904904301,0.00908409904904301,0.004123462486143708,0.004123462486143708,0.004123462486143708,0.004123462486143708,0.0022207919465326645,0.0022207919465326645,0.0022207919465326645,0.0022207919465326645,0.0008791642709955225,0.0008791642709955225,0.0008791642709955225,0.0008791642709955225,0.0008353089474334801,0.0008353089474334801,0.0008353089474334801,0.0008353089474334801,0.0007700791273021356,0.0007700791273021356,0.0007700791273021356,0.0007700791273021356,0.000676823397515117,0.000676823397515117,0.000676823397515117,0.000676823397515117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GASTOS TOTALES,,4.330585182081755,4.328601661049794,3.7487213541872766,5.233155740954956,4.770564539865608,3.858784146182913,4.007915945360887,4.838843187681057,4.850147959483973,4.322200449016163,4.331597957364471,4.579330308567705,4.7869955523722005,4.270664409076097,4.279564234631692,4.413360332589879,5.3216832205729565,3.0551020822802912,4.381255902724036,5.279838385739362,4.098964106400239,4.763036960755578,4.764951545810633,5.850646763243131,3.44743280238417,4.529420496218436,3.9006448734470873,5.7238865534070955,2.710587368433546,4.1537019076979185,4.23380162994299,6.925647708521783,2.860395131107378,4.198547584602946,4.367920931847714,6.944255987864259,3.5060016491079025,4.423797612320781,4.449451159828953,6.720768041888822,3.882404624303373,4.579983209518743,4.807493184230485,5.6409429993502025,3.9523066420358695,4.65873765603551,4.914102636652387,5.563857347940477,4.366466483164568,4.86102313734771,4.911937629779146,4.775910719899302,4.486363369108302,4.811660009895199,5.123837956636203,4.893260106740844,4.024872944106489,4.765153971115614,5.010260571292439,4.409514334290092,4.457593450623084,4.541405304021861,4.782345707733799,4.904620467353074,5.118149883695425,6.287546086580188,6.194827630075136,5.4773271231783,5.236523908071118,5.433737218863808,5.137143529478879,7.269784008358397,4.726192917350629,5.791251402316668,5.411176087799786,5.541875562838792,4.911991099654423,5.820862671020728,5.871164981502084,6.2883005211093925,5.506386851825795,6.5526095539989475,5.100552546129309,5.960416442693474,6.215146279300066,6.049751239257116,4.583872906146108,5.846140940704279,6.168866721917382
Intereses,GASTOS TOTALES,1.1681196754176564,1.0489809520878262,0.8951299762051266,0.48401434626683143,0.9588637139573413,0.7524085981003588,1.134182983920073,0.26632876370637165,0.9318248275340906,0.8224165394902894,1.3403083517060068,0.564857665185439,1.0121660471938618,0.8936981543484559,1.1852824013557755,0.621353720173376,0.6812723809177637,0.8001253496501564,1.0523444258843093,0.6905675869481367,0.6293617286728644,0.7439986849289008,0.9959890540356411,0.6509695276554401,0.514629773145376,0.8131668711390505,0.889081664829026,0.5120527002063636,0.45365153199702263,0.8269283637431034,0.8237224535124044,0.6093765449420087,0.475353514492431,0.6540068522105398,0.8092296901936471,0.6198704386808618,0.37508795657365507,0.6584553897037437,0.6912874779625385,0.5666761268451901,0.41922528420632293,0.5087593998163457,0.9394652200447388,0.3581848007278797,0.3868105278116133,0.5880389619409075,1.01180582728497,0.5790237782223489,0.5839010148431631,0.7313070966479283,1.2582174241165696,0.365013942953907,0.5354849094741403,0.852872450471263,1.21112839844288,0.2921801626564068,0.4876206766741427,0.6900371989848515,1.2436479763422932,0.3600521094264436,0.5598541493382208,0.7869248336935712,1.1452815919506765,0.4134501678151785,0.6007914549040446,0.9956835688695993,0.7111455395385992,0.5303736087661014,0.5468452010552595,1.0365146976336874,0.9439953304974347,0.7995279634306678,0.8326878279437849,1.235557267671987,1.2560090883045656,0.9695142829524923,1.0960325868479908,1.1879488769324704,0.8101312210874632,0.7786257441968759,0.9321157443061459,1.419200111213853,0.878718354075578,1.1013689386589351,1.1756688336162415,1.1379277151578069,-0.028145883419466874,0.5242997153969475,1.3295310905484603
Intereses deuda externa,GASTOS TOTALES > Intereses,0.5201648103391738,0.2574163816138367,0.36658301460671977,0.2838542869319527,0.40347908212738215,0.2585295417751072,0.3805366759793217,0.22025606877889817,0.31755608712103484,0.2305712495356559,0.23393062575639265,0.2334780555087712,0.3153354132557104,0.1703102673281617,0.20853148762935148,0.20629164062674135,0.24140458163685163,0.1598472026911811,0.17447154896173983,0.1927104626770611,0.2246284295129907,0.1849514921166986,0.1888780693059662,0.16830722555105435,0.1964798673571192,0.1492911933575081,0.1699368017633102,0.15545660380933843,0.14902700632675533,0.15194465441906987,0.14176448839259267,0.1336382275152503,0.14610125303416002,0.12847630678331853,0.1392597265517348,0.11697313421889592,0.13217907737411086,0.11822309020547986,0.1351887149156175,0.11001555725047875,0.14319160521623395,0.10996897051654073,0.14714860694670467,0.09064590643733307,0.19215727541423322,0.12046708924389964,0.21906115396322273,0.13649242938095393,0.24020027832590427,0.1377334254363082,0.21645245646727007,0.0957770565221668,0.22759742250645798,0.14203595433389346,0.18851546538389424,0.1272858686043698,0.1940092435650502,0.1467647810847598,0.18574343207546212,0.14485419840917438,0.20601767813592664,0.17531515710947615,0.19150723370472197,0.14473696523515203,0.2294551108912688,0.21902833479284645,0.2064431075745016,0.18394874722744695,0.22500702787702684,0.2023306956344052,0.1883948343595088,0.16980009892948844,0.17828938043298215,0.1681166164362521,0.19320211494615094,0.210989175748387,0.24478633806347497,0.20380451618218007,0.22026536195205593,0.1981419338678259,0.22035965869000354,0.19847139970497396,0.2144110458248561,0.23841926128833926,0.21183935480492247,0.2446113035022648,-0.0207655565646186,0.33781439454759593,0.1544835567331696
